Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Throttle Position [%],Accelerator Pedal Position [%],Steering Wheel Angle [deg]
0,45,66,1201,0,0.0,0.0,3.1
1,45,33,1130,0,0.0,0.0,3.1
2,45,35,973,0,0.0,0.0,3.1
3,45,35,958,0,0.0,0.0,3.1
4,45,37,940,0,0.0,0.0,3.1
5,45,39,892,0,0.0,0.0,3.1
6,45,42,915,0,0.0,0.0,3.1
7,46,39,896,0,0.0,0.0,3.1
8,46,40,880,0,0.0,0.0,3.1
9,47,41,902,0,0.0,0.0,3.1
10,47,51,818,0,0.0,0.0,3.1
11,47,57,808,0,0.0,0.0,2.6
12,48,54,822,0,0.0,0.0,0.8
13,48,55,826,0,0.0,0.0,-218.5
14,48,56,810,2,0.0,0.0,-408.0
15,48,54,802,3,0.0,0.0,-476.8
16,48,52,860,3,1.4,0.0,-464.5
17,48,70,1264,6,7.1,8.2,-415.9
18,48,75,1671,11,8.9,9.4,-316.1
19,48,53,1560,12,3.8,3.1,-135.6
20,49,51,1170,13,3.3,2.3,-72.8
21,49,53,1054,12,1.0,1.2,-42.1
22,49,39,1037,12,0.0,0.0,-8.6
23,49,35,963,10,0.0,0.0,5.3
24,50,40,796,7,0.0,0.0,92.5
25,50,48,818,5,0.0,0.0,204.7
26,50,47,818,5,0.0,0.0,345.6
27,50,48,826,5,1.4,0.0,479.6
28,51,77,1502,10,10.8,11.3,453.1
29,51,73,1866,15,9.9,10.5,231.8
30,51,72,2038,17,10.4,10.5,7.5
31,51,74,1845,21,10.8,10.9,-5.5
32,51,75,1856,24,11.8,10.9,-17.5
33,51,56,1583,25,1.4,1.6,-21.1
34,52,38,1268,24,0.0,0.0,-22.8
35,52,34,1230,24,0.0,0.0,-18.7
36,53,34,1203,23,0.0,0.0,-11.1
37,53,35,1163,22,0.0,0.0,-9.7
38,53,35,1130,21,0.0,0.0,-21.7
39,53,36,1017,15,0.0,0.0,-109.1
40,54,42,864,12,0.0,0.0,-237.7
41,54,45,839,12,0.0,0.0,-283.7
42,54,67,1179,19,0.0,0.0,-15.4
43,54,41,1084,19,1.0,0.0,-4.8
44,54,55,1194,20,3.3,3.9,-2.9
45,54,68,1272,21,6.1,6.6,-9.5
46,55,75,1226,23,6.6,7.0,-13.4
47,55,74,1279,25,6.1,6.6,-10.5
48,55,57,1347,26,1.9,2.0,-9.3
49,56,34,1303,24,0.0,0.0,-52.0
50,56,33,1251,24,0.0,0.0,-44.5
51,56,34,1207,23,0.0,0.0,-17.7
52,56,67,1453,23,9.9,10.2,-7.0
53,57,81,1429,21,9.4,9.4,0.8
54,57,91,1809,21,24.4,19.5,-4.8
55,57,96,1930,21,30.5,20.7,-8.1
56,57,89,1898,21,20.2,14.8,-10.9
57,57,91,1874,21,22.6,20.7,-8.1
58,58,97,1937,22,33.8,28.1,-0.8
59,58,97,1951,23,33.8,28.1,0.8
60,58,96,1961,23,32.9,24.6,14.4
61,59,59,1516,23,1.0,0.0,3.0
62,59,66,1352,22,7.1,8.2,-21.1
63,60,77,1700,25,9.4,9.4,-44.5
64,60,47,1404,25,0.5,0.4,-56.2
65,60,36,1286,24,0.0,0.0,-53.7
66,60,36,1255,24,0.0,0.0,-50.3
67,60,37,1178,20,0.0,0.0,-45.9
68,61,40,1003,16,0.0,0.0,-87.8
69,61,43,896,15,0.0,0.0,-135.5
