Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Throttle Position [%],Accelerator Pedal Position [%],Steering Wheel Angle [deg]
0,28,58,1510,0,0.0,0.0,-5.1
1,28,62,1496,0,0.0,0.0,-5.1
2,28,60,1504,0,0.0,0.0,-5.1
3,28,61,1485,0,0.0,0.0,-5.1
4,28,62,1484,0,0.0,0.0,-5.2
5,29,62,1468,0,0.0,0.0,-5.2
6,29,55,1513,0,0.0,0.0,-5.2
7,29,41,1568,0,0.0,0.0,-5.2
8,29,41,1518,0,0.0,0.0,-5.2
9,30,43,1510,0,0.0,0.0,-5.2
10,30,44,1525,0,0.0,0.0,-5.1
11,30,45,1531,0,0.0,0.0,-5.1
12,30,44,1512,0,0.0,0.0,-5.2
13,30,44,1466,0,0.0,0.0,-5.2
14,30,43,1451,0,0.0,0.0,-5.2
15,30,42,1414,0,0.0,0.0,-5.1
16,31,42,1383,0,0.0,0.0,-5.1
17,31,42,1383,0,0.0,0.0,-5.2
18,31,42,1366,0,0.0,0.0,-5.2
19,32,43,1346,0,0.0,0.0,-5.2
20,32,42,1336,0,0.0,0.0,-5.2
21,32,42,1313,0,0.0,0.0,-5.2
22,33,43,1289,0,0.0,0.0,-5.2
23,33,43,1265,0,0.0,0.0,-5.2
24,33,43,1236,0,0.0,0.0,-5.2
25,33,43,1191,0,0.0,0.0,-5.1
26,33,44,1184,0,0.0,0.0,-5.2
27,33,43,1168,0,0.0,0.0,-5.2
28,34,42,1130,0,0.0,0.0,-5.2
29,34,43,1123,0,0.0,0.0,-5.2
30,34,43,1119,0,0.0,0.0,-5.2
31,34,43,1101,0,0.0,0.0,-5.2
32,35,43,1072,0,0.0,0.0,-5.2
33,35,43,1069,0,0.0,0.0,-5.2
34,35,43,1056,0,0.0,0.0,-5.2
35,36,43,1025,0,0.0,0.0,-5.2
36,36,44,1020,0,0.0,0.0,-5.2
37,36,44,1022,0,0.0,0.0,-5.2
38,36,44,1008,0,0.0,0.0,-5.2
39,36,43,986,0,0.0,0.0,-5.2
40,36,42,976,0,0.0,0.0,-5.2
41,36,43,976,0,0.0,0.0,-5.2
42,37,43,968,0,0.0,0.0,-5.2
43,37,44,978,0,0.0,0.0,-5.2
44,37,45,1001,0,0.0,0.0,-5.2
45,38,44,1002,0,0.0,0.0,-5.2
46,38,45,981,0,0.0,0.0,-5.2
47,38,44,979,0,0.0,0.0,-5.2
48,38,43,983,0,0.0,0.0,-5.2
49,39,42,981,0,0.0,0.0,-5.2
50,39,42,976,0,0.0,0.0,-5.1
51,39,42,975,0,0.0,0.0,-5.1
52,39,42,968,0,0.0,0.0,-5.1
53,39,42,973,0,0.0,0.0,-5.4
54,39,43,921,0,0.0,0.0,-1.0
55,39,57,792,0,0.0,0.0,28.7
56,40,59,799,0,0.0,0.0,75.2
57,40,62,794,0,0.0,0.0,223.7
58,40,59,793,2,0.0,0.0,267.9
59,40,54,807,3,0.0,0.0,291.3
60,41,53,816,0,0.0,0.0,284.4
61,41,52,818,0,0.0,0.0,283.2
62,41,51,818,0,0.0,0.0,283.0
63,42,51,821,0,0.0,0.0,282.8
64,42,51,820,0,0.0,0.0,282.7
65,42,51,820,0,0.0,0.0,282.7
66,42,51,815,0,0.0,0.0,282.7
67,42,57,800,0,0.0,0.0,441.2
68,42,60,796,2,0.0,0.0,446.2
69,42,57,798,3,0.0,0.0,459.5
70,42,53,811,4,0.0,0.0,462.4
71,42,52,826,4,1.0,0.0,480.1
72,43,58,1147,7,2.4,2.7,395.4
73,43,49,971,7,3.3,4.3,280.5
74,43,57,1274,8,3.8,5.1,87.7
75,44,40,1003,8,0.0,0.0,-8.5
76,44,41,880,8,0.0,0.0,14.6
77,44,43,860,5,0.0,0.0,100.6
78,44,48,835,5,0.0,0.0,263.6
79,45,50,844,5,0.0,0.0,376.3
80,45,50,846,5,0.0,0.0,483.5
81,45,51,832,5,0.0,0.0,519.6
82,45,53,958,6,2.4,1.2,421.7
83,45,49,945,6,0.0,0.0,234.8
84,45,43,870,6,0.0,0.0,66.8
85,45,45,865,6,0.0,0.0,-35.9
86,46,45,872,6,0.0,0.0,-171.3
87,46,46,884,5,1.0,0.0,-323.7
88,46,61,1205,7,5.7,7.0,-375.7
89,46,46,1203,8,0.5,0.0,-382.1
90,47,38,894,7,0.0,0.0,-287.4
91,47,43,901,7,1.0,0.8,-150.3
92,47,43,886,7,1.9,0.8,-25.2
93,47,53,1143,8,2.4,3.9,79.1
94,48,42,900,5,0.0,0.0,149.2
95,48,52,779,3,0.0,0.0,331.2
96,48,58,961,5,2.8,2.7,444.3
97,48,60,1194,7,4.7,6.2,460.2
98,48,60,1405,10,5.7,7.8,351.8
99,48,50,1402,12,1.9,3.5,189.6
100,48,40,925,11,0.0,0.0,0.3
101,49,45,978,11,2.4,2.0,-10.3
102,49,49,1083,11,2.4,1.6,-27.5
103,49,39,936,11,0.0,0.0,-11.7
104,49,37,871,9,0.0,0.0,-12.5
105,50,43,814,9,0.0,0.0,-12.3
106,50,43,847,9,0.0,0.0,-14.2
107,50,42,854,8,0.0,0.0,-11.8
