Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Throttle Position [%],Accelerator Pedal Position [%],Steering Wheel Angle [deg]
0,22,49,1863,0,0.0,0.0,1.1
1,22,33,1792,0,0.0,0.0,1.1
2,22,45,1694,0,0.0,0.0,1.1
3,22,64,1493,0,0.0,0.0,1.5
4,22,61,1541,0,0.0,0.0,1.5
5,23,56,1580,0,0.0,0.0,1.8
6,23,57,1543,0,0.0,0.0,1.8
7,23,59,1520,0,0.0,0.0,1.9
8,23,59,1542,0,0.0,0.0,1.9
9,23,43,1635,0,0.0,0.0,1.9
10,24,39,1586,0,0.0,0.0,1.8
11,24,40,1560,0,0.0,0.0,1.5
12,24,41,1572,0,0.0,0.0,1.5
13,24,42,1590,0,0.0,0.0,0.8
14,24,42,1575,0,0.0,0.0,0.9
15,24,43,1563,0,0.0,0.0,0.9
16,24,42,1544,0,0.0,0.0,0.9
17,25,42,1532,0,0.0,0.0,0.6
18,25,42,1521,0,0.0,0.0,0.6
19,25,42,1499,0,0.0,0.0,0.6
20,26,42,1496,0,0.0,0.0,0.3
21,26,42,1488,0,0.0,0.0,0.3
22,26,42,1486,0,0.0,0.0,0.3
23,27,41,1478,0,0.0,0.0,0.3
24,27,42,1463,0,0.0,0.0,0.2
25,27,42,1447,0,0.0,0.0,0.2
26,27,41,1402,0,0.0,0.0,0.6
27,27,41,1380,0,0.0,0.0,0.6
28,27,41,1355,0,0.0,0.0,0.6
29,28,42,1330,0,0.0,0.0,0.5
30,28,42,1307,0,0.0,0.0,0.8
31,28,42,1272,0,0.0,0.0,0.8
32,29,42,1245,0,0.0,0.0,0.8
33,29,42,1223,0,0.0,0.0,0.8
34,29,41,1197,0,0.0,0.0,0.8
35,30,41,1173,0,0.0,0.0,0.8
36,30,41,1159,0,0.0,0.0,0.8
37,30,41,1139,0,0.0,0.0,0.8
38,30,41,1127,0,0.0,0.0,0.8
39,30,40,1105,0,0.0,0.0,0.8
40,30,41,1090,0,0.0,0.0,0.8
41,31,40,1060,0,0.0,0.0,0.8
42,31,42,1068,0,0.0,0.0,0.8
43,31,41,1064,0,0.0,0.0,0.8
44,31,40,1044,0,0.0,0.0,0.8
45,32,40,1024,0,0.0,0.0,0.8
46,32,40,1017,0,0.0,0.0,0.6
47,32,41,1024,0,0.0,0.0,0.9
48,32,41,1017,0,0.0,0.0,0.9
49,33,41,1013,0,0.0,0.0,0.9
50,33,40,1019,0,0.0,0.0,0.9
51,33,39,1021,0,0.0,0.0,0.9
52,33,39,1018,0,0.0,0.0,0.9
53,33,39,1010,0,0.0,0.0,0.9
54,33,39,1011,0,0.0,0.0,0.9
55,33,39,1014,0,0.0,0.0,0.9
56,33,39,1007,0,0.0,0.0,0.9
57,34,39,1007,0,0.0,0.0,1.2
58,34,42,928,0,0.0,0.0,1.8
59,34,52,791,0,0.0,0.0,2.0
60,34,51,803,1,0.0,0.0,1.0
61,35,49,814,0,0.0,0.0,1.6
62,35,48,823,0,0.0,0.0,1.5
63,35,47,819,0,0.0,0.0,1.6
64,35,47,818,0,0.0,0.0,1.3
65,35,47,812,1,0.0,0.0,0.6
66,36,47,808,2,0.0,0.0,-4.3
67,36,47,814,2,0.0,0.0,-21.2
68,36,48,809,1,0.0,0.0,-105.1
69,36,54,799,0,0.0,0.0,-258.1
