Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Throttle Position [%],Accelerator Pedal Position [%],Steering Wheel Angle [deg]
0,57,41,821,0,0.0,0.0,-0.2
1,57,41,820,0,0.0,0.0,-0.2
2,57,40,821,0,0.0,0.0,-0.2
3,58,41,813,0,0.0,0.0,-0.2
4,58,41,817,0,0.0,0.0,-0.3
5,58,40,813,0,0.0,0.0,-0.3
6,58,40,818,0,0.0,0.0,-0.3
7,58,40,816,0,0.0,0.0,-0.3
8,59,40,809,0,0.0,0.0,-0.3
9,59,40,807,0,0.0,0.0,-0.3
10,59,40,810,0,0.0,0.0,-0.3
11,59,40,807,0,0.0,0.0,-0.3
12,59,39,812,0,0.0,0.0,-0.3
13,59,38,802,0,0.0,0.0,-0.3
14,60,40,803,0,0.0,0.0,-0.3
15,60,41,802,0,0.0,0.0,-0.3
16,60,41,800,0,0.0,0.0,-0.3
17,60,40,805,0,0.0,0.0,-0.3
18,60,40,805,0,0.0,0.0,-0.3
19,60,40,807,0,0.0,0.0,-0.3
20,60,40,804,0,0.0,0.0,-0.3
21,60,40,797,0,0.0,0.0,-0.3
22,60,40,792,0,0.0,0.0,-0.3
23,60,41,794,0,0.0,0.0,-0.3
24,60,41,793,0,0.0,0.0,-0.3
25,60,41,795,0,0.0,0.0,-0.3
26,60,41,798,0,0.0,0.0,-0.3
27,60,41,787,0,0.0,0.0,-0.3
28,61,41,790,0,0.0,0.0,-0.3
29,61,41,786,0,0.0,0.0,-0.3
30,61,41,790,0,0.0,0.0,-0.3
31,61,41,787,0,0.0,0.0,-0.3
32,61,41,793,0,0.0,0.0,-0.3
33,61,41,788,0,0.0,0.0,-0.3
34,61,41,792,0,0.0,0.0,-0.3
35,62,41,785,0,0.0,0.0,-0.3
36,62,41,788,0,0.0,0.0,-1.1
37,62,41,784,0,0.0,0.0,-1.4
38,62,41,781,0,0.0,0.0,-1.5
39,62,41,784,0,0.0,0.0,-1.9
40,63,42,774,0,0.0,0.0,-2.4
41,63,42,787,0,0.0,0.0,-2.6
42,63,42,784,0,0.0,0.0,-2.7
43,63,42,782,0,0.0,0.0,-3.7
44,63,42,783,0,0.0,0.0,-3.6
45,63,42,780,0,0.0,0.0,-2.3
46,63,44,767,0,0.0,0.0,-2.1
47,63,51,751,1,0.0,0.0,-3.2
48,63,51,768,0,0.0,0.0,-3.2
49,63,50,780,0,0.0,0.0,-3.2
50,63,49,779,0,0.0,0.0,-3.3
51,63,49,782,0,0.0,0.0,-3.4
52,64,49,777,0,0.0,0.0,-3.4
53,64,49,772,0,0.0,0.0,-3.4
54,64,49,766,0,0.0,0.0,-3.9
55,64,48,768,1,0.0,0.0,-53.6
56,64,49,755,3,0.0,0.0,-59.8
57,64,49,759,4,0.0,0.0,228.8
58,64,50,773,4,1.0,0.0,521.9
59,64,73,1178,8,7.1,9.0,521.3
60,64,77,1705,14,9.9,10.5,427.9
61,65,42,1372,13,0.0,0.0,205.1
62,65,40,980,11,0.0,0.0,17.8
63,65,41,791,6,0.0,0.0,-27.7
64,66,50,756,4,0.0,0.0,-148.7
65,66,48,785,3,0.0,0.0,-44.8
66,66,48,785,1,0.0,0.0,99.7
67,66,64,1921,14,11.8,13.7,397.1
68,66,67,1922,16,7.5,8.6,171.6
69,66,71,1789,18,10.8,12.9,-2.6
70,66,86,1955,24,16.5,15.6,-2.8
71,66,53,1881,25,4.2,2.7,-9.4
72,67,33,1397,24,0.0,0.0,-12.6
73,67,30,1200,23,0.0,0.0,-1.9
74,68,48,1289,23,5.2,5.9,-12.1
75,68,69,1467,25,4.2,5.9,-1.4
76,68,35,1241,23,0.0,0.0,-3.6
77,68,33,1069,18,0.0,0.0,-102.1
78,69,38,923,15,0.0,0.0,-234.5
79,69,40,893,15,0.0,0.0,-267.6
80,69,58,1105,15,8.9,7.4,-205.6
81,69,93,1854,21,22.6,18.4,-102.4
82,69,81,1494,25,11.3,9.8,-35.8
83,69,61,1370,26,4.2,3.9,-28.9
84,69,51,1357,27,3.3,2.7,6.2
85,69,58,1375,27,5.2,5.5,-7.2
86,70,75,1449,29,7.1,7.4,-5.7
