Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Throttle Position [%],Accelerator Pedal Position [%],Steering Wheel Angle [deg]
1,92,0,1292,0,5.7,0.0,3.8
2,92,0,883,0,6.1,0.0,3.8
3,92,0,759,0,6.1,0.0,4.0
4,92,0,704,0,5.7,0.0,4.0
5,92,0,735,0,5.7,0.0,3.8
6,92,0,693,0,6.1,0.0,3.8
7,91,0,641,0,6.6,0.0,3.8
8,91,0,641,0,6.6,0.0,3.7
9,91,0,663,0,7.1,0.0,3.8
10,90,0,670,0,7.1,0.0,3.8
11,90,0,664,0,7.5,0.0,4.0
12,90,0,659,0,7.1,0.0,3.8
13,90,0,657,0,7.1,0.0,3.8
14,90,0,654,0,7.1,0.0,4.1
15,90,0,662,0,6.6,0.0,3.9
16,90,0,662,0,6.6,0.0,3.8
17,90,0,664,0,6.6,0.0,4.0
18,90,0,666,0,6.6,0.0,3.9
19,90,0,668,0,6.6,0.0,4.0
20,90,0,669,0,6.6,0.0,4.1
21,90,0,668,0,7.1,0.0,3.8
22,90,0,670,0,6.6,0.0,3.8
23,90,0,667,0,6.6,0.0,4.0
24,90,0,665,0,6.6,0.0,3.8
25,90,0,666,0,6.6,0.0,3.8
26,90,0,666,0,6.6,0.0,4.0
27,90,0,667,0,6.6,0.0,3.8
28,90,0,666,0,6.6,0.0,3.8
29,90,0,665,0,6.6,0.0,3.8
30,90,0,668,0,6.6,0.0,4.0
31,90,0,666,0,6.6,0.0,3.8
32,90,0,669,0,6.6,0.0,3.9
33,90,0,668,0,6.6,0.0,4.0
34,90,0,669,0,6.6,0.0,3.8
35,90,0,670,0,6.6,0.0,3.8
36,90,0,668,0,6.6,0.0,3.7
37,90,0,665,0,6.6,0.0,3.8
38,90,0,668,0,6.6,0.0,4.0
39,90,0,670,0,6.6,0.0,4.0
40,90,0,671,0,7.1,0.0,54.1
41,90,0,672,0,7.5,0.0,47.5
42,90,0,668,0,7.1,0.0,47.3
43,89,0,662,0,7.1,0.0,50.4
44,89,0,664,0,7.1,0.0,84.5
45,89,0,691,0,7.1,0.0,264.0
46,88,17,988,1,11.3,0.0,521.8
47,88,17,1383,7,10.8,0.0,528.9
48,88,1,1135,8,7.5,0.0,505.3
49,87,20,1242,8,10.4,0.0,215.3
50,87,28,1511,9,11.3,0.0,43.7
51,87,1,1608,10,8.0,0.0,73.7
52,87,0,1145,10,8.0,0.0,266.0
53,87,40,1636,11,14.1,0.0,427.0
54,86,46,2064,15,17.9,0.0,260.0
55,86,42,1930,17,18.8,0.0,49.3
56,85,0,1748,19,8.0,0.0,-7.3
57,85,0,1239,18,8.0,0.0,-1.0
58,84,0,1204,18,8.9,0.0,-2.4
59,84,40,1591,19,16.5,0.0,-9.1
60,84,9,1562,21,11.8,0.0,-4.1
61,84,0,1356,20,8.0,0.0,-3.6
62,84,0,1166,18,7.5,0.0,0.0
63,84,0,1049,15,7.5,0.0,4.2
64,84,0,932,12,8.0,0.0,50.0
65,84,4,964,11,9.4,0.0,145.8
66,84,29,1581,13,13.6,0.0,176.7
67,84,0,1218,15,8.0,0.0,207.4
68,84,0,1041,16,7.5,0.0,161.4
69,84,0,999,15,7.1,0.0,88.8
70,84,0,962,14,7.1,0.0,55.4
71,84,0,924,13,7.1,0.0,22.2
72,84,0,878,12,7.1,0.0,1.2
73,84,0,843,11,7.1,0.0,-16.7
74,84,0,839,9,7.1,0.0,-8.8
75,84,0,843,6,7.1,0.0,-14.5
76,85,0,795,4,7.1,0.0,-83.6
77,85,33,1305,6,11.8,0.0,-48.2
78,85,30,1743,10,11.8,0.0,-18.9
79,85,23,1952,13,11.3,0.0,-13.5
80,85,0,1423,14,7.1,0.0,-21.4
81,86,0,1307,14,6.6,0.0,-23.2
82,86,0,1187,14,6.6,0.0,-43.7
83,86,0,1073,13,7.1,0.0,-102.3
84,86,34,1509,13,12.2,0.0,-243.3
85,86,36,1733,15,14.1,0.0,-265.8
86,86,55,1888,18,16.5,0.0,-116.5
87,85,75,2249,23,25.4,0.0,-10.6
88,85,80,2646,28,34.8,0.0,1.6
89,85,80,2214,32,88.3,0.0,1.8
90,85,80,2355,37,96.3,0.0,-2.0
91,84,80,2676,41,72.3,0.0,-0.9
92,84,80,2271,44,90.2,0.0,3.6
93,84,80,2298,48,100.0,0.0,5.9
94,84,37,2421,50,39.5,0.0,4.8
95,84,0,1878,50,8.0,0.0,6.6
96,84,0,1633,46,8.9,0.0,7.9
97,84,0,1380,40,7.5,0.0,6.3
98,84,0,1119,36,7.1,0.0,6.6
99,84,62,1748,35,22.6,0.0,19.6
100,84,80,2184,38,85.0,0.0,11.4
101,84,88,2220,40,100.0,0.0,1.7
102,84,82,2211,43,98.6,0.0,-2.7
103,84,37,1964,45,35.7,0.0,-0.7
104,84,0,1465,45,5.7,0.0,4.9
105,84,0,1448,44,6.6,0.0,5.3
106,84,0,1442,42,6.6,0.0,8.8
107,85,0,1346,40,5.7,0.0,2.4
108,85,0,1554,37,6.1,0.0,1.8
109,85,7,1686,35,7.1,0.0,-0.5
110,85,0,1654,34,6.6,0.0,-0.9
111,85,39,1697,34,12.2,0.0,-3.0
112,85,6,1678,34,8.0,0.0,-0.3
113,85,29,1736,35,11.3,0.0,-7.5
114,85,0,1571,34,5.7,0.0,-9.5
115,85,0,1518,32,7.1,0.0,-11.4
116,85,0,1315,28,6.1,0.0,-12.7
117,85,0,973,23,6.1,0.0,-25.6
118,84,0,1048,19,6.6,0.0,-19.6
119,84,1,1211,18,8.0,0.0,-9.9
120,84,24,1338,18,10.4,0.0,-14.5
121,84,32,1429,19,12.7,0.0,-5.7
122,84,65,1468,21,26.3,0.0,33.7
123,84,84,1607,25,94.4,0.0,-6.3
124,84,85,1845,29,100.0,0.0,-9.9
125,84,81,2121,33,98.1,0.0,-9.1
126,84,6,2306,36,13.2,0.0,-5.6
127,84,46,2098,38,19.3,0.0,1.7
128,84,65,2216,41,23.5,0.0,-4.9
129,84,38,2203,44,17.9,0.0,-1.2
130,84,0,1711,45,7.1,0.0,3.0
131,84,36,1699,45,14.1,0.0,-3.5
132,84,54,1677,47,29.1,0.0,-0.9
133,84,0,1606,48,6.1,0.0,-8.2
134,84,38,1719,48,12.7,0.0,-10.9
135,84,37,1739,49,15.0,0.0,-7.1
136,84,0,1610,48,5.7,0.0,-10.6
137,84,38,1718,48,13.6,0.0,-15.3
138,84,0,1625,47,6.1,0.0,-12.4
139,84,0,1500,45,6.6,0.0,-4.9
140,85,0,1445,43,5.2,0.0,-2.9
141,85,7,1450,42,7.5,0.0,-5.9
142,85,56,1575,42,17.9,0.0,-7.2
143,85,74,1542,44,72.8,0.0,-2.5
144,85,56,1571,45,70.9,0.0,6.5
145,84,0,1560,45,6.6,0.0,1.3
146,84,30,1576,45,10.4,0.0,-2.3
147,85,13,1557,44,8.9,0.0,1.4
148,85,0,1301,39,5.2,0.0,-5.0
149,85,0,1111,36,6.6,0.0,-3.9
150,85,0,1018,34,6.6,0.0,4.6
151,85,30,1628,32,10.8,0.0,1.6
152,85,44,1789,32,15.0,0.0,0.5
153,85,48,1692,33,16.9,0.0,0.1
154,85,30,1680,34,12.7,0.0,-0.7
155,85,0,1540,33,5.7,0.0,2.4
156,85,0,1397,29,6.6,0.0,3.7
157,85,13,1348,27,9.4,0.0,9.5
158,85,61,1904,28,19.7,0.0,-1.4
159,85,37,1934,30,16.5,0.0,-4.1
160,85,0,1394,30,5.7,0.0,-1.5
161,85,0,1377,29,6.6,0.0,3.7
162,85,12,1338,27,8.0,0.0,0.0
163,85,30,1359,27,10.4,0.0,1.5
164,85,37,1401,28,13.2,0.0,3.0
165,85,0,1393,29,6.6,0.0,16.6
166,85,35,1529,29,11.8,0.0,34.6
167,85,28,1655,30,11.8,0.0,47.3
168,85,23,1529,30,9.9,0.0,61.1
169,85,0,1435,31,6.1,0.0,75.6
170,85,0,1151,30,7.5,0.0,77.9
171,85,36,1619,30,13.2,0.0,63.5
172,85,50,1662,31,18.3,0.0,23.0
173,85,43,1625,33,17.4,0.0,6.3
174,85,60,1701,35,20.2,0.0,3.6
175,85,74,1839,38,52.6,0.0,3.1
176,85,78,2001,41,75.6,0.0,-0.9
177,85,81,2179,45,100.0,0.0,-10.1
178,85,84,2352,49,100.0,0.0,-1.1
179,85,69,2524,52,63.4,0.0,3.9
180,85,63,2280,55,21.6,0.0,8.3
181,85,57,2016,57,30.5,0.0,9.5
182,85,20,2015,57,11.3,0.0,4.1
183,85,72,2064,58,26.8,0.0,5.1
184,85,85,2102,60,91.6,0.0,4.8
185,85,69,2145,62,84.1,0.0,-2.1
