Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Throttle Position [%],Accelerator Pedal Position [%],Steering Wheel Angle [deg]
1,92,0,1192,0,6.1,0.0,-1.5
2,92,0,1058,0,6.1,0.0,-1.9
3,92,0,787,0,6.1,0.0,-1.9
4,92,0,700,0,5.7,0.0,-1.9
5,92,0,709,0,5.7,0.0,-2.0
6,92,0,732,0,5.7,0.0,-1.9
7,91,0,676,0,5.7,0.0,-1.9
8,91,0,631,0,6.1,0.0,-1.9
9,91,0,618,0,7.1,0.0,-1.9
10,90,0,660,0,7.1,0.0,-3.2
11,90,0,667,0,7.1,0.0,-3.3
12,90,0,663,0,7.1,0.0,-3.3
13,90,0,656,0,7.1,0.0,-3.0
14,90,0,654,0,7.1,0.0,-3.1
15,90,0,655,0,6.6,0.0,-3.1
16,90,0,662,0,7.1,0.0,-3.3
17,90,0,666,0,7.1,0.0,-3.1
18,90,0,669,0,7.1,0.0,-3.3
19,90,0,670,0,7.1,0.0,-3.1
20,90,0,669,0,7.1,0.0,-3.3
21,90,0,668,0,7.1,0.0,-3.1
22,90,0,667,0,7.1,0.0,-3.3
23,90,0,666,0,7.1,0.0,-3.3
24,90,0,666,0,7.1,0.0,-3.9
25,90,0,668,0,7.1,0.0,-3.7
26,90,0,667,0,7.1,0.0,-3.9
27,90,0,670,0,7.1,0.0,-4.0
28,90,0,668,0,7.1,0.0,-3.8
29,90,0,669,0,7.1,0.0,-3.9
30,90,0,667,0,7.1,0.0,-3.8
31,90,0,670,0,7.1,0.0,-3.8
32,90,0,671,0,7.1,0.0,-3.8
33,90,0,670,0,6.6,0.0,-3.8
34,90,0,667,0,6.6,0.0,-3.9
35,90,0,667,0,7.1,0.0,-4.0
36,90,0,669,0,7.1,0.0,-4.0
37,90,0,669,0,7.1,0.0,-3.7
38,90,0,669,0,7.1,0.0,-3.8
39,90,0,673,0,7.1,0.0,-3.7
40,90,0,678,0,6.6,0.0,-3.9
41,90,0,673,0,6.6,0.0,-3.8
42,89,0,673,0,6.6,0.0,-4.0
43,89,0,672,0,6.6,0.0,-4.0
44,88,0,664,0,6.6,0.0,-3.8
45,88,0,668,0,6.6,0.0,-4.0
46,88,0,661,0,6.6,0.0,-3.9
47,87,0,674,0,6.6,0.0,-3.9
48,87,0,663,0,6.6,0.0,-3.8
49,87,0,675,0,6.6,0.0,-4.0
50,87,0,665,0,6.6,0.0,-3.8
51,87,0,671,0,6.6,0.0,-4.0
52,87,0,669,0,6.6,0.0,-4.0
53,87,0,668,0,6.6,0.0,-3.7
54,87,0,670,0,6.6,0.0,-3.8
55,86,0,670,0,6.6,0.0,-3.7
56,86,0,669,0,6.6,0.0,-3.7
57,86,0,664,0,6.6,0.0,-3.7
58,86,0,666,0,7.5,0.0,-3.7
59,86,0,673,0,7.1,0.0,-3.7
60,86,0,706,0,7.1,0.0,-3.7
61,86,0,692,0,7.1,0.0,-3.5
62,86,0,674,0,7.1,0.0,-14.8
63,86,0,721,0,7.1,0.0,-225.1
64,86,0,792,0,7.5,0.0,-422.1
65,86,0,811,0,8.0,0.0,-516.4
66,85,0,837,2,8.5,0.0,-516.4
67,85,0,812,2,8.0,0.0,-516.7
68,85,0,788,2,8.0,0.0,-516.7
69,85,0,769,2,8.0,0.0,-516.5
70,85,0,793,2,8.0,0.0,-516.7
71,85,0,802,2,8.0,0.0,-516.4
72,85,0,779,0,7.5,0.0,-446.4
73,85,0,702,0,6.6,0.0,-337.6
74,85,0,661,0,7.1,0.0,-77.1
75,85,0,742,0,7.1,0.0,21.9
76,85,1,840,3,8.0,0.0,38.5
77,85,12,1226,5,9.4,0.0,59.8
78,85,10,1354,8,8.9,0.0,21.9
79,85,0,1270,8,6.1,0.0,-39.1
80,85,0,949,8,6.6,0.0,-151.8
81,85,0,907,8,6.1,0.0,-263.9
82,85,0,860,7,5.7,0.0,-289.9
83,85,0,852,6,6.1,0.0,-241.9
84,85,6,1159,6,7.1,0.0,-206.2
85,85,0,1067,7,5.2,0.0,-141.4
86,85,0,874,7,5.7,0.0,-92.2
87,85,0,853,7,5.7,0.0,29.0
88,85,18,1102,7,8.0,0.0,153.6
89,85,26,1443,9,9.4,0.0,179.1
90,85,24,1698,11,8.9,0.0,187.3
91,85,24,1693,12,8.9,0.0,124.7
92,85,34,1455,13,11.8,0.0,78.9
93,85,4,1493,15,7.1,0.0,54.9
94,84,0,1239,14,6.1,0.0,52.0
95,84,0,1001,11,7.1,0.0,57.3
96,84,0,887,9,7.1,0.0,54.8
97,84,0,878,9,7.1,0.0,6.9
98,84,4,953,8,8.5,0.0,-29.4
99,84,55,1817,10,16.5,0.0,-29.8
100,84,31,2453,15,15.0,0.0,-29.3
101,84,0,1811,16,6.6,0.0,-28.3
102,84,0,1389,16,6.6,0.0,-25.4
103,84,0,1158,12,6.6,0.0,-21.9
104,84,0,873,8,7.5,0.0,-14.8
105,84,0,816,5,7.1,0.0,-12.0
106,84,0,783,4,7.1,0.0,-11.8
107,84,0,764,4,7.1,0.0,-12.4
108,84,0,781,3,7.1,0.0,-15.7
109,84,0,757,0,7.1,0.0,-19.4
110,84,0,679,0,6.6,0.0,-21.7
111,84,0,675,0,6.6,0.0,-21.5
112,84,0,671,0,7.1,0.0,-21.6
113,84,0,672,0,6.6,0.0,-22.3
114,84,0,666,0,6.6,0.0,-21.1
115,84,0,671,0,6.6,0.0,-21.2
116,84,0,665,0,6.6,0.0,-21.5
117,84,0,683,0,6.6,0.0,-24.0
118,84,0,725,1,7.1,0.0,-94.9
119,85,0,764,3,7.1,0.0,-197.8
120,85,0,789,4,6.6,0.0,-301.5
121,85,0,809,4,6.6,0.0,-242.5
122,85,0,767,4,7.1,0.0,-239.7
123,86,2,891,4,8.0,0.0,-229.3
124,86,12,1194,6,8.9,0.0,-221.7
125,86,32,1387,7,10.8,0.0,-200.6
126,86,80,2233,12,27.7,0.0,-134.7
127,86,80,3111,19,32.9,0.0,-10.1
128,86,80,2789,26,60.1,0.0,-39.2
129,86,51,3159,32,39.9,0.0,0.1
130,86,12,2138,34,10.4,0.0,7.3
131,86,57,2079,36,20.7,0.0,3.0
132,85,50,2154,38,19.7,0.0,3.1
133,84,44,2038,40,15.5,0.0,2.7
134,84,44,2051,42,15.0,0.0,7.7
135,84,33,2095,44,13.2,0.0,9.4
136,83,0,1828,44,6.6,0.0,4.9
137,83,0,1514,43,8.5,0.0,3.3
138,83,33,1586,44,12.7,0.0,6.6
139,83,0,1449,44,5.7,0.0,6.1
140,83,0,1398,43,5.2,0.0,3.7
141,83,0,1414,42,5.2,0.0,4.3
142,83,0,1376,40,5.7,0.0,8.8
143,83,0,1110,36,6.1,0.0,24.6
144,83,0,956,34,5.7,0.0,18.7
145,84,0,1052,32,8.0,0.0,-1.3
146,84,105,2254,33,67.6,0.0,-1.7
147,84,99,2639,37,100.0,0.0,-7.8
148,84,78,2904,41,92.0,0.0,-2.1
149,84,49,2840,45,24.9,0.0,-2.5
150,84,0,2097,46,7.1,0.0,-2.2
151,84,0,1591,46,8.0,0.0,2.6
152,84,0,1562,45,7.5,0.0,-2.2
153,84,0,1417,41,6.6,0.0,-5.0
154,84,0,1065,36,5.7,0.0,-11.6
155,84,0,998,33,5.7,0.0,-12.3
156,84,0,1034,31,5.2,0.0,-14.7
157,84,0,973,30,5.2,0.0,-20.0
158,84,0,930,29,5.2,0.0,-25.2
159,84,38,1392,28,10.8,0.0,-17.0
160,84,47,1800,29,15.5,0.0,-3.4
161,84,35,1835,31,14.1,0.0,-1.9
162,84,0,1539,32,6.1,0.0,-2.0
163,84,0,1467,31,5.2,0.0,-0.3
164,84,0,1430,30,6.6,0.0,4.7
165,84,0,1374,29,6.1,0.0,0.8
166,84,0,1325,28,5.7,0.0,0.1
167,84,0,1028,27,5.7,0.0,0.7
168,84,0,940,26,6.1,0.0,-24.3
169,84,30,1156,25,21.6,0.0,2.6
170,84,141,2787,28,95.3,0.0,4.0
171,84,67,3421,35,55.4,0.0,3.6
172,84,0,2594,37,8.0,0.0,0.1
173,84,0,1737,37,8.9,0.0,1.8
174,84,0,1780,37,8.5,0.0,1.9
175,84,1,1760,37,7.5,0.0,-0.9
176,83,14,1724,36,8.0,0.0,-12.9
177,83,35,1779,36,12.7,0.0,-12.1
178,83,40,1808,37,14.1,0.0,-20.0
179,82,41,1876,39,14.6,0.0,-21.6
180,82,39,1943,40,14.1,0.0,-13.5
181,82,39,2010,42,14.6,0.0,-6.7
182,82,39,2071,43,15.0,0.0,-3.9
183,82,37,2119,44,14.1,0.0,-7.5
184,82,35,2113,45,13.6,0.0,-9.8
185,82,34,1756,45,12.7,0.0,-5.1
186,82,8,1586,45,7.5,0.0,-2.8
187,83,37,1594,45,12.2,0.0,-1.5
188,83,42,1646,46,16.0,0.0,-1.4
189,83,22,1594,46,9.9,0.0,0.7
190,83,26,1573,45,9.4,0.0,1.6
191,84,37,1558,45,13.2,0.0,2.0
192,84,7,1527,45,7.5,0.0,8.4
193,84,5,1468,43,6.6,0.0,5.5
194,84,8,1439,42,7.1,0.0,1.7
195,84,0,1269,40,5.7,0.0,-1.5
196,84,0,1081,39,5.7,0.0,-3.8
197,85,0,945,36,6.1,0.0,-2.2
198,85,0,922,32,5.7,0.0,-1.1
199,85,0,895,26,5.7,0.0,-2.7
200,85,0,860,21,5.7,0.0,-4.1
201,85,0,925,15,6.6,0.0,4.4
202,85,0,858,10,7.1,0.0,8.7
203,85,0,818,5,6.6,0.0,7.3
204,85,0,766,4,6.6,0.0,3.8
205,85,0,769,3,7.1,0.0,3.1
206,85,0,760,0,6.6,0.0,3.4
207,86,0,685,0,6.1,0.0,2.2
208,86,0,670,0,6.1,0.0,2.9
209,86,0,716,0,6.6,0.0,2.9
210,86,0,759,2,6.6,0.0,3.7
211,86,0,784,3,6.6,0.0,3.3
212,86,0,799,4,6.6,0.0,4.4
213,86,0,818,4,6.6,0.0,7.3
214,86,0,798,4,6.1,0.0,7.3
215,86,0,769,4,6.6,0.0,6.2
216,86,0,768,3,7.1,0.0,-54.9
217,86,0,759,0,6.6,0.0,25.1
218,86,0,688,0,6.1,0.0,13.1
219,86,0,667,0,6.1,0.0,6.7
220,87,0,665,0,6.1,0.0,7.9
221,87,0,665,0,6.1,0.0,7.7
222,87,0,665,0,6.1,0.0,7.9
223,87,0,669,0,6.1,0.0,7.9
224,87,0,667,0,6.1,0.0,8.0
225,87,0,668,0,6.1,0.0,7.8
226,87,0,670,0,6.1,0.0,8.0
227,87,0,667,0,6.1,0.0,8.5
228,87,0,668,0,6.6,0.0,8.8
229,87,0,665,0,6.6,0.0,9.0
230,87,0,668,0,6.1,0.0,8.3
231,87,0,667,0,6.1,0.0,7.7
232,87,0,671,0,6.1,0.0,8.0
233,87,0,667,0,6.6,0.0,10.9
234,87,0,665,0,6.6,0.0,10.5
235,87,0,666,0,6.6,0.0,10.1
236,87,0,668,0,6.6,0.0,10.1
237,87,0,669,0,6.6,0.0,10.1
238,87,0,670,0,6.6,0.0,10.0
239,87,0,669,0,6.6,0.0,9.8
240,87,0,662,0,6.6,0.0,-61.3
241,87,0,675,0,6.6,0.0,3.2
