Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C],Accelerator Pedal Position [%]
0.0,90,102.0,768.0,0.0,46.0,7.22,83.5,21.0,14.1
0.9,90,102.0,771.0,0.0,47.0,7.02,83.5,21.0,14.1
1.8,90,102.0,767.0,0.0,47.0,9.02,83.5,21.0,22.0
2.73,90,105.0,984.0,3.0,52.0,13.08,83.5,21.0,22.0
3.632,90,109.0,1103.0,10.0,53.0,13.38,83.5,21.0,25.5
4.5600000000000005,90,107.0,1353.0,12.0,52.0,13.22,83.5,21.0,24.7
5.5200000000000005,90,105.0,1412.0,12.0,51.0,12.58,83.5,21.0,24.3
6.420000000000001,90,103.0,1430.0,12.0,51.0,12.3,83.5,21.0,22.7
7.32,90,102.0,1342.0,12.0,51.0,11.66,83.5,21.0,14.1
8.223,90,106.0,1088.0,9.0,50.0,16.61,83.5,21.0,14.1
9.151,90,106.0,891.0,7.0,51.0,8.69,83.5,21.0,14.1
10.05,90,105.0,869.0,7.0,49.0,8.33,83.5,21.0,14.1
10.950000000000001,90,104.0,894.0,8.0,47.0,8.11,83.5,21.0,14.1
11.850000000000001,90,104.0,898.0,8.0,47.0,8.41,83.5,21.0,14.1
12.780000000000001,90,104.0,900.0,8.0,47.0,8.33,83.5,21.0,14.1
13.681000000000001,90,104.0,899.0,8.0,47.0,8.11,83.5,21.0,14.1
14.581000000000001,90,104.0,898.0,8.0,47.0,8.33,83.5,21.0,14.1
15.481000000000002,90,104.0,897.0,8.0,47.0,8.16,83.5,21.0,14.1
16.382,90,104.0,915.0,8.0,47.0,8.38,83.5,21.0,14.1
17.281000000000002,90,104.0,909.0,7.0,47.0,8.24,83.5,21.0,14.1
18.212,90,104.0,903.0,6.0,48.0,8.24,83.5,21.0,14.1
19.141000000000002,90,104.0,901.0,4.0,47.0,8.16,83.5,21.0,14.1
20.071,90,104.0,901.0,4.0,47.0,8.16,83.5,21.0,15.7
20.971,90,104.0,877.0,4.0,47.0,8.3,83.5,21.0,15.7
21.871000000000002,90,105.0,899.0,8.0,47.0,14.19,83.5,21.0,29.8
22.771,90,110.0,1452.0,13.0,48.0,25.8,83.5,21.0,40.8
23.700000000000003,90,132.0,2022.0,18.0,56.0,25.47,83.5,21.0,14.1
24.601000000000003,90,120.0,1094.0,18.0,53.0,13.44,83.5,21.0,14.1
