Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C],Accelerator Pedal Position [%]
0.0,54,99.0,769.0,0.0,41.0,11.91,83.1,23.0,14.1
0.81,54,99.0,772.0,0.0,41.0,11.83,83.1,23.0,14.1
1.649,54,99.0,770.0,0.0,41.0,11.63,83.1,23.0,14.1
2.5490000000000004,54,99.0,772.0,0.0,41.0,11.97,83.1,23.0,14.1
3.3890000000000002,54,99.0,771.0,0.0,41.0,11.94,83.1,23.0,14.1
4.3180000000000005,54,99.0,770.0,0.0,41.0,12.24,83.1,23.0,14.1
5.25,54,99.0,770.0,0.0,41.0,12.02,83.1,23.0,14.1
6.149,54,99.0,771.0,0.0,41.0,11.72,83.1,23.0,14.1
6.99,54,99.0,771.0,0.0,41.0,11.66,83.1,23.0,14.1
7.829000000000001,54,99.0,851.0,0.0,41.0,14.91,83.1,23.0,14.5
8.669,54,100.0,930.0,0.0,42.0,14.74,83.1,23.0,14.1
9.511000000000001,54,100.0,946.0,0.0,42.0,14.94,83.1,23.0,14.1
10.41,54,101.0,936.0,1.0,42.0,14.74,83.1,23.0,14.1
11.249,55,101.0,915.0,3.0,42.0,14.47,83.1,23.0,14.1
11.999,55,101.0,973.0,4.0,42.0,15.38,83.1,23.0,14.1
12.81,55,101.0,929.0,4.0,42.0,15.22,83.1,23.0,14.1
13.561000000000002,55,101.0,939.0,3.0,42.0,14.97,83.1,23.0,14.5
14.4,55,101.0,911.0,3.0,42.0,14.02,83.1,23.0,16.1
15.15,55,101.0,905.0,4.0,41.0,14.47,83.1,23.0,16.1
15.899000000000001,55,101.0,906.0,6.0,41.0,14.3,83.1,23.0,16.1
16.649,55,102.0,984.0,8.0,41.0,16.3,83.1,23.0,20.0
17.399,55,103.0,1115.0,10.0,41.0,18.02,83.1,23.0,14.1
18.209,55,100.0,1031.0,10.0,42.0,16.08,83.1,23.0,14.1
18.962,55,101.0,953.0,8.0,42.0,14.91,83.1,23.0,14.1
19.711000000000002,55,101.0,921.0,6.0,41.0,14.74,83.1,23.0,14.1
20.463,55,101.0,909.0,6.0,41.0,14.49,83.1,23.0,20.4
21.21,55,101.0,917.0,7.0,41.0,13.44,83.1,23.0,27.5
21.962,55,102.0,1136.0,10.0,41.0,19.63,83.1,23.0,38.4
22.8,55,107.0,1488.0,13.0,42.0,29.05,83.1,23.0,14.1
23.549000000000003,55,111.0,1059.0,14.0,44.0,15.58,83.1,23.0,14.1
24.3,56,106.0,919.0,11.0,41.0,14.72,83.1,23.0,14.1
25.049000000000003,56,103.0,903.0,7.0,40.0,14.38,83.1,23.0,14.1
25.8,56,102.0,904.0,4.0,40.0,14.27,83.1,23.0,14.1
26.55,56,101.0,901.0,3.0,40.0,14.19,83.1,23.0,14.9
27.3,56,101.0,830.0,3.0,40.0,12.94,83.1,23.0,16.1
28.051000000000002,56,100.0,893.0,2.0,40.0,14.3,83.1,23.0,15.7
28.8,56,101.0,907.0,3.0,40.0,14.24,83.1,23.0,15.7
29.55,56,101.0,922.0,5.0,40.0,14.74,83.1,23.0,14.1
30.299000000000003,56,101.0,1016.0,5.0,41.0,15.83,83.1,23.0,14.1
31.110000000000003,56,102.0,939.0,4.0,41.0,14.61,83.1,23.0,16.5
31.949,56,101.0,854.0,4.0,40.0,13.3,83.1,23.0,18.8
32.791000000000004,56,102.0,893.0,8.0,40.0,15.36,83.1,23.0,14.1
33.602000000000004,56,102.0,988.0,7.0,41.0,15.3,83.1,23.0,14.1
34.35,56,102.0,925.0,6.0,41.0,12.69,83.1,23.0,19.6
35.104,56,101.0,893.0,8.0,40.0,14.83,83.1,23.0,30.2
35.851,56,103.0,1151.0,10.0,40.0,20.44,83.1,23.0,46.7
36.689,57,113.0,1519.0,14.0,41.0,35.36,83.1,23.0,45.1
37.499,57,147.0,1998.0,18.0,43.0,35.44,31.4,23.0,14.1
38.249,57,104.0,1233.0,15.0,45.0,19.19,74.1,23.0,14.1
39.057,57,107.0,951.0,11.0,42.0,15.27,83.5,23.0,14.1
39.899,57,104.0,913.0,11.0,39.0,14.83,83.5,23.0,14.1
40.741,57,103.0,900.0,10.0,39.0,14.44,83.5,23.0,20.8
41.641000000000005,57,103.0,825.0,10.0,39.0,11.72,83.5,23.0,22.4
42.389,57,103.0,858.0,13.0,38.0,12.77,83.5,23.0,38.4
43.139,57,104.0,993.0,17.0,38.0,16.72,83.5,23.0,45.5
43.89,57,110.0,1236.0,21.0,40.0,23.16,83.5,23.0,39.6
44.641000000000005,57,122.0,1386.0,25.0,42.0,21.33,31.0,23.0,14.1
45.389,57,102.0,1071.0,25.0,41.0,16.97,82.7,23.0,14.1
46.14,57,106.0,965.0,22.0,40.0,15.55,83.5,23.0,14.1
46.888000000000005,58,104.0,930.0,18.0,39.0,14.72,83.5,23.0,14.1
47.639,58,103.0,914.0,12.0,39.0,14.49,83.5,23.0,14.1
48.388000000000005,58,102.0,904.0,6.0,39.0,14.44,83.5,23.0,14.1
49.228,58,102.0,903.0,4.0,39.0,14.22,83.5,23.0,14.1
50.188,58,101.0,901.0,4.0,39.0,14.19,83.5,23.0,14.1
51.148,58,101.0,900.0,4.0,39.0,14.27,83.5,23.0,14.1
52.080000000000005,58,101.0,899.0,3.0,39.0,13.8,83.5,23.0,14.1
53.099000000000004,58,101.0,797.0,2.0,39.0,11.88,83.5,23.0,14.1
54.03,58,100.0,762.0,1.0,38.0,11.83,83.5,23.0,15.7
54.963,58,99.0,858.0,2.0,38.0,13.38,83.5,23.0,18.4
55.861000000000004,59,101.0,912.0,7.0,39.0,14.63,83.5,23.0,21.2
56.759,59,103.0,1216.0,10.0,40.0,21.69,83.5,23.0,41.2
57.688,59,113.0,1677.0,15.0,41.0,34.97,83.5,23.0,14.1
58.620000000000005,59,101.0,1180.0,16.0,44.0,18.58,77.3,23.0,14.1
59.519000000000005,59,105.0,964.0,14.0,42.0,15.58,83.5,23.0,14.1
60.418000000000006,59,103.0,921.0,9.0,39.0,14.74,83.5,23.0,14.1
61.43900000000001,59,102.0,911.0,2.0,39.0,14.22,83.5,23.0,14.1
62.36900000000001,59,101.0,826.0,0.0,39.0,12.52,83.5,23.0,14.1
63.29900000000001,59,100.0,768.0,0.0,38.0,11.88,83.5,23.0,14.1
64.289,59,100.0,768.0,0.0,37.0,11.94,83.5,23.0,14.1
65.18900000000001,59,99.0,768.0,0.0,37.0,12.16,83.5,23.0,14.1
66.119,59,99.0,767.0,0.0,38.0,11.8,83.5,23.0,14.1
67.049,59,99.0,769.0,0.0,38.0,11.97,83.5,23.0,14.1
67.979,59,99.0,770.0,0.0,38.0,12.02,83.5,23.0,14.1
68.88000000000001,59,99.0,768.0,0.0,38.0,11.91,83.5,23.0,14.1
69.78,59,99.0,770.0,0.0,38.0,11.52,83.5,23.0,14.1
70.68,60,99.0,769.0,0.0,38.0,11.74,83.5,23.0,14.1
71.57900000000001,60,99.0,769.0,0.0,38.0,11.88,83.5,23.0,14.1
72.48,60,99.0,770.0,0.0,38.0,11.91,83.5,23.0,14.1
73.43900000000001,60,99.0,771.0,0.0,38.0,12.19,83.5,23.0,14.1
74.339,60,99.0,772.0,0.0,39.0,12.02,83.5,23.0,15.7
75.38900000000001,60,99.0,873.0,0.0,39.0,13.74,83.5,23.0,15.7
76.38000000000001,60,101.0,905.0,4.0,39.0,14.3,83.5,23.0,15.7
77.4,60,102.0,1048.0,9.0,40.0,18.24,83.5,23.0,30.6
78.302,60,107.0,1415.0,12.0,42.0,26.99,83.5,23.0,37.6
79.20100000000001,60,120.0,1756.0,15.0,43.0,37.97,83.5,23.0,29.8
80.099,60,122.0,1608.0,17.0,44.0,24.16,83.5,23.0,20.4
81.028,60,112.0,1030.0,17.0,42.0,17.44,83.5,23.0,20.4
81.988,60,107.0,1048.0,18.0,39.0,16.97,83.5,23.0,14.1
82.92,60,104.0,1008.0,17.0,39.0,16.47,83.5,23.0,25.1
83.82000000000001,60,104.0,1023.0,17.0,39.0,16.72,83.5,23.0,23.5
84.811,60,104.0,1040.0,17.0,39.0,17.44,83.5,23.0,46.7
85.82900000000001,60,108.0,1218.0,21.0,40.0,23.41,78.0,23.0,52.9
86.82000000000001,60,130.0,1563.0,27.0,42.0,39.02,81.6,23.0,53.7
87.78200000000001,60,194.0,1993.0,34.0,43.0,55.58,36.1,23.0,43.9
88.769,60,162.0,2120.0,39.0,45.0,31.83,31.0,23.0,35.7
89.66900000000001,61,118.0,1457.0,39.0,42.0,31.86,51.0,23.0,41.6
90.599,61,154.0,1558.0,42.0,40.0,24.33,27.8,23.0,29.8
91.49900000000001,61,102.0,1564.0,42.0,40.0,16.47,24.3,23.0,27.8
92.46100000000001,61,79.0,1549.0,42.0,36.0,14.72,24.7,23.0,27.1
93.35900000000001,61,74.0,1545.0,41.0,36.0,14.74,25.1,23.0,27.1
94.26,61,74.0,1539.0,41.0,36.0,14.8,25.1,23.0,27.1
95.159,61,75.0,1534.0,41.0,36.0,14.74,25.1,23.0,27.1
96.061,61,75.0,1518.0,41.0,37.0,14.61,25.1,23.0,28.2
96.96100000000001,61,78.0,1506.0,40.0,37.0,15.61,25.9,23.0,29.8
97.95100000000001,61,82.0,1510.0,41.0,37.0,15.61,25.5,23.0,29.4
98.909,61,81.0,1509.0,40.0,37.0,15.05,25.1,23.0,29.8
99.9,62,82.0,1505.0,40.0,37.0,15.3,25.5,23.0,29.4
100.86,62,81.0,1490.0,40.0,37.0,14.44,24.7,23.0,28.2
101.76100000000001,62,77.0,1473.0,39.0,37.0,13.63,23.5,23.0,14.1
102.78200000000001,62,79.0,973.0,38.0,37.0,8.05,20.8,23.0,14.1
103.68,62,62.0,1251.0,37.0,35.0,15.27,26.3,23.0,14.1
104.63900000000001,62,79.0,1958.0,33.0,37.0,14.8,31.0,23.0,14.1
105.629,62,85.0,1767.0,30.0,38.0,13.27,29.4,23.0,14.1
106.58900000000001,63,82.0,1560.0,27.0,37.0,12.83,27.5,23.0,14.1
107.521,63,78.0,1335.0,23.0,37.0,11.8,25.9,23.0,20.8
108.47900000000001,63,75.0,1251.0,21.0,37.0,18.86,32.9,23.0,38.8
109.349,63,110.0,1374.0,23.0,40.0,27.24,67.1,23.0,41.6
110.24900000000001,63,139.0,1526.0,26.0,42.0,36.24,71.8,23.0,48.6
111.11900000000001,63,177.0,1792.0,31.0,42.0,49.63,36.1,23.0,48.6
112.018,63,170.0,2140.0,37.0,43.0,46.36,31.0,23.0,14.1
112.92,63,114.0,1547.0,37.0,42.0,26.63,34.9,23.0,41.2
113.75800000000001,63,131.0,1439.0,39.0,39.0,28.8,40.8,23.0,36.1
114.63000000000001,64,124.0,1480.0,40.0,39.0,23.99,27.5,23.0,32.2
115.52900000000001,64,98.0,1486.0,40.0,37.0,19.27,25.9,23.0,32.2
116.43,64,103.0,1479.0,40.0,36.0,18.74,26.7,23.0,32.5
117.269,64,104.0,1475.0,39.0,37.0,21.55,27.8,23.0,32.9
118.10900000000001,64,112.0,1468.0,39.0,37.0,21.38,28.2,23.0,35.7
118.95,64,126.0,1485.0,40.0,37.0,26.27,30.6,23.0,39.2
119.73,64,139.0,1514.0,41.0,38.0,27.86,29.0,23.0,38.0
120.57000000000001,65,132.0,1557.0,42.0,39.0,21.22,26.3,23.0,27.8
