Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C],Accelerator Pedal Position [%]
0.0,31,97.0,0.0,0.0,22.0,0.91,89.0,22.0,14.1
0.751,31,97.0,0.0,0.0,22.0,0.91,89.0,22.0,14.1
1.5990000000000002,31,97.0,0.0,0.0,22.0,0.91,89.0,22.0,14.1
2.462,31,97.0,0.0,0.0,22.0,0.91,89.0,22.0,14.1
3.2110000000000003,31,97.0,0.0,0.0,22.0,2.47,89.0,22.0,14.1
3.991,31,91.0,1107.0,0.0,30.0,8.8,83.1,22.0,14.1
4.774,31,96.0,928.0,0.0,35.0,9.49,83.1,22.0,14.1
5.521,31,96.0,874.0,0.0,33.0,8.74,83.1,22.0,14.1
6.421,31,96.0,860.0,0.0,32.0,8.74,83.1,22.0,14.1
7.173,31,96.0,833.0,0.0,31.0,8.66,83.1,22.0,14.1
7.922000000000001,31,96.0,819.0,0.0,31.0,8.72,83.1,22.0,14.1
8.73,31,96.0,804.0,0.0,31.0,9.88,83.1,22.0,14.9
9.600000000000001,31,97.0,930.0,0.0,30.0,10.33,83.1,22.0,14.1
10.47,31,98.0,938.0,0.0,32.0,10.63,83.1,22.0,14.1
11.312000000000001,31,98.0,930.0,0.0,32.0,10.44,83.1,22.0,14.1
12.15,31,99.0,938.0,0.0,31.0,10.86,83.1,22.0,14.1
12.991000000000001,31,99.0,948.0,1.0,31.0,10.91,83.1,22.0,14.1
13.83,31,100.0,1025.0,2.0,31.0,11.16,83.1,22.0,14.1
14.641000000000002,31,100.0,964.0,1.0,31.0,9.91,83.1,22.0,14.5
15.450000000000001,31,100.0,942.0,0.0,30.0,9.86,83.1,22.0,14.1
16.32,31,99.0,924.0,0.0,29.0,9.72,83.1,22.0,14.1
17.162000000000003,31,99.0,934.0,0.0,29.0,9.99,83.1,22.0,14.1
17.911,30,99.0,987.0,0.0,29.0,10.52,83.1,22.0,14.1
18.751,30,100.0,927.0,0.0,29.0,9.8,83.1,22.0,14.1
19.5,30,99.0,876.0,0.0,29.0,9.3,83.1,22.0,14.1
20.25,30,99.0,852.0,0.0,27.0,9.05,83.1,22.0,14.1
21.0,30,99.0,850.0,0.0,27.0,9.11,83.1,22.0,14.1
21.752000000000002,30,98.0,845.0,0.0,27.0,8.97,83.1,22.0,14.1
22.5,30,98.0,845.0,0.0,27.0,8.99,83.1,22.0,14.5
23.25,30,98.0,936.0,0.0,27.0,10.86,83.1,22.0,14.9
24.0,30,99.0,939.0,0.0,29.0,10.11,83.1,22.0,14.9
24.752000000000002,30,99.0,933.0,0.0,29.0,10.13,83.1,22.0,14.9
25.5,29,100.0,919.0,0.0,28.0,10.05,83.1,22.0,14.5
26.251,29,100.0,925.0,0.0,28.0,10.77,83.1,22.0,14.1
27.0,29,100.0,934.0,0.0,28.0,10.8,83.1,22.0,14.1
27.751,29,100.0,942.0,0.0,28.0,10.94,83.1,22.0,14.1
28.504,29,100.0,933.0,1.0,28.0,10.72,83.1,22.0,14.1
29.251,29,100.0,934.0,2.0,28.0,10.8,83.1,22.0,14.1
30.000000000000004,29,101.0,933.0,3.0,28.0,11.02,83.1,22.0,14.1
30.750000000000004,29,100.0,1001.0,2.0,28.0,10.66,83.1,22.0,14.1
31.501,29,101.0,937.0,1.0,28.0,10.08,83.1,22.0,14.1
32.251000000000005,29,100.0,881.0,1.0,27.0,9.44,83.1,22.0,14.1
