Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C],Accelerator Pedal Position [%]
0.0,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1
0.752,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1
1.62,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1
2.519,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1
3.4200000000000004,31,97.0,0.0,0.0,22.0,1.91,89.0,20.0,14.1
4.32,31,90.0,1081.0,0.0,32.0,8.16,83.1,20.0,14.1
5.219,31,96.0,902.0,0.0,34.0,9.49,83.1,20.0,14.1
6.119000000000001,31,97.0,867.0,0.0,33.0,8.88,83.1,20.0,14.1
7.019,31,96.0,847.0,0.0,32.0,8.58,83.1,20.0,14.5
7.9190000000000005,31,96.0,919.0,0.0,31.0,10.36,83.1,20.0,14.5
8.819,31,97.0,896.0,0.0,33.0,10.19,83.1,20.0,14.5
9.72,31,97.0,944.0,1.0,32.0,10.63,83.1,20.0,14.1
10.620000000000001,31,98.0,960.0,1.0,33.0,10.86,83.1,20.0,14.1
11.520000000000001,31,99.0,947.0,2.0,32.0,10.77,83.1,20.0,14.1
12.42,31,100.0,962.0,3.0,32.0,11.36,83.1,20.0,14.1
13.350000000000001,31,100.0,955.0,3.0,31.0,9.8,83.1,20.0,14.1
14.249,31,100.0,930.0,2.0,31.0,10.3,83.1,20.0,14.1
15.15,31,99.0,980.0,2.0,30.0,10.36,83.1,20.0,14.1
16.049,31,100.0,941.0,2.0,30.0,9.8,83.1,20.0,14.1
16.95,31,100.0,900.0,4.0,29.0,11.05,83.1,20.0,14.1
17.85,30,100.0,908.0,7.0,30.0,11.91,83.1,20.0,15.7
18.749000000000002,30,100.0,1080.0,9.0,30.0,14.11,83.1,20.0,30.2
19.68,30,102.0,1378.0,12.0,31.0,18.22,83.1,20.0,33.3
20.579,30,106.0,1578.0,14.0,32.0,15.97,83.1,20.0,14.1
21.48,30,104.0,990.0,14.0,30.0,10.36,83.1,20.0,14.1
