Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C],Accelerator Pedal Position [%]
0.0,30,96.0,853.0,0.0,27.0,9.02,83.1,19.0,14.1
0.9,30,96.0,854.0,0.0,27.0,9.05,83.1,19.0,14.1
1.8,29,96.0,853.0,0.0,26.0,9.13,83.1,19.0,14.5
2.7,29,96.0,955.0,0.0,26.0,10.49,83.1,19.0,14.5
3.6,29,97.0,914.0,0.0,28.0,9.77,83.1,19.0,14.5
4.53,29,98.0,954.0,0.0,27.0,10.27,83.1,19.0,14.1
5.4590000000000005,29,98.0,977.0,0.0,28.0,10.41,83.1,19.0,14.9
6.36,29,98.0,947.0,0.0,27.0,9.74,83.1,19.0,14.9
7.259,29,98.0,913.0,0.0,27.0,10.3,83.1,19.0,14.1
8.16,29,98.0,957.0,1.0,27.0,10.38,83.1,19.0,14.1
9.06,29,98.0,952.0,2.0,27.0,10.33,83.1,19.0,14.1
9.991000000000001,29,99.0,989.0,3.0,27.0,10.8,83.1,19.0,14.1
10.919,29,99.0,963.0,2.0,27.0,10.02,83.1,19.0,14.1
11.850000000000001,29,98.0,899.0,2.0,26.0,9.41,83.1,19.0,14.5
12.780000000000001,29,98.0,923.0,1.0,25.0,10.61,83.1,19.0,14.5
13.680000000000001,29,98.0,945.0,1.0,25.0,10.3,83.1,19.0,14.5
14.58,29,98.0,906.0,2.0,26.0,9.91,83.1,19.0,14.5
15.510000000000002,29,98.0,914.0,3.0,25.0,10.52,83.1,19.0,14.5
16.44,29,99.0,896.0,6.0,26.0,11.55,83.1,19.0,16.1
17.400000000000002,29,99.0,1070.0,9.0,27.0,14.44,83.1,19.0,34.5
18.3,29,102.0,1456.0,13.0,28.0,21.13,83.1,19.0,14.1
19.17,29,103.0,1180.0,14.0,29.0,9.36,83.1,19.0,14.1
20.073,29,102.0,993.0,14.0,26.0,10.72,83.1,19.0,14.1
20.941000000000003,29,100.0,956.0,14.0,25.0,10.19,83.1,19.0,14.1
21.84,29,99.0,944.0,14.0,25.0,10.05,83.1,19.0,14.1
22.740000000000002,29,99.0,937.0,14.0,25.0,9.91,83.1,19.0,14.1
23.580000000000002,29,98.0,935.0,14.0,25.0,9.72,83.1,19.0,14.1
24.481,29,98.0,931.0,14.0,24.0,9.88,83.1,19.0,14.1
25.35,29,98.0,933.0,14.0,24.0,9.72,83.1,19.0,14.1
26.192,29,98.0,934.0,14.0,24.0,10.05,83.1,19.0,14.1
27.03,29,98.0,933.0,14.0,24.0,9.83,83.1,19.0,14.1
27.930000000000003,29,98.0,932.0,13.0,24.0,10.08,83.1,19.0,14.1
28.770000000000003,29,98.0,931.0,12.0,24.0,9.86,83.1,19.0,14.1
29.520000000000003,30,98.0,931.0,11.0,24.0,9.86,83.1,19.0,14.1
30.360000000000003,30,98.0,933.0,10.0,24.0,9.88,83.1,19.0,14.1
31.23,30,98.0,933.0,9.0,24.0,9.88,83.1,18.0,14.1
32.042,30,98.0,932.0,9.0,25.0,9.77,83.1,18.0,14.1
32.88,30,98.0,931.0,7.0,24.0,9.99,83.1,18.0,14.1
33.781,30,98.0,932.0,4.0,25.0,9.88,83.1,18.0,14.1
34.650000000000006,30,98.0,876.0,0.0,25.0,9.08,83.1,18.0,14.1
35.551,30,98.0,854.0,0.0,24.0,8.99,83.1,18.0,14.1
36.42,30,97.0,852.0,0.0,23.0,8.88,83.1,18.0,14.1
37.32,30,97.0,850.0,0.0,23.0,8.86,83.1,18.0,14.1
38.22,30,97.0,850.0,0.0,23.0,8.72,83.1,18.0,14.1
39.03,30,97.0,849.0,0.0,23.0,8.69,83.1,18.0,14.1
39.903000000000006,30,97.0,848.0,0.0,23.0,8.66,83.1,18.0,14.1
40.830000000000005,30,97.0,847.0,0.0,23.0,8.83,83.1,18.0,14.1
41.759,30,97.0,850.0,0.0,23.0,8.72,83.1,18.0,14.1
42.631,30,97.0,870.0,0.0,23.0,12.77,83.1,18.0,22.4
43.473000000000006,31,99.0,998.0,0.0,26.0,15.77,83.1,18.0,22.0
44.34,31,102.0,925.0,2.0,28.0,15.38,83.1,18.0,21.6
45.18,31,104.0,939.0,8.0,28.0,16.19,83.1,18.0,21.6
46.02,31,104.0,1037.0,9.0,27.0,13.27,83.1,18.0,24.7
46.861000000000004,31,104.0,1132.0,10.0,26.0,14.44,83.1,18.0,22.4
47.669000000000004,31,100.0,1070.0,9.0,26.0,10.74,83.1,18.0,14.1
48.481,31,100.0,981.0,6.0,25.0,9.77,83.1,18.0,17.6
49.260000000000005,31,100.0,866.0,3.0,23.0,10.33,83.1,18.0,18.0
49.980000000000004,31,99.0,856.0,3.0,24.0,9.41,83.1,18.0,18.0
50.729000000000006,31,99.0,802.0,4.0,23.0,10.44,83.1,18.0,17.6
51.534000000000006,31,99.0,852.0,7.0,23.0,11.33,83.1,18.0,20.4
52.315000000000005,31,99.0,1173.0,10.0,24.0,14.05,83.1,18.0,25.5
53.064,31,98.0,1412.0,12.0,26.0,13.8,83.1,18.0,14.1
53.814,32,97.0,1066.0,13.0,27.0,10.52,83.1,18.0,14.1
54.564,32,98.0,978.0,12.0,24.0,9.77,83.1,18.0,14.1
55.314,32,99.0,947.0,8.0,24.0,9.66,83.1,18.0,14.1
56.064,32,99.0,936.0,5.0,24.0,9.72,83.1,18.0,14.1
56.814,32,99.0,932.0,3.0,24.0,9.49,83.1,17.0,14.1
57.565000000000005,32,98.0,878.0,2.0,23.0,8.88,83.1,17.0,14.1
58.315000000000005,32,98.0,843.0,1.0,23.0,8.74,83.1,17.0,14.1
59.06400000000001,32,98.0,840.0,0.0,23.0,8.88,83.1,17.0,14.1
59.87500000000001,32,97.0,838.0,1.0,22.0,8.91,83.1,17.0,14.1
60.62500000000001,32,97.0,839.0,2.0,23.0,8.88,83.1,17.0,14.1
61.37500000000001,33,97.0,837.0,2.0,23.0,8.72,83.1,17.0,14.1
62.12500000000001,33,97.0,835.0,2.0,22.0,8.88,83.1,17.0,15.3
62.87500000000001,33,97.0,949.0,2.0,23.0,9.99,83.1,17.0,15.7
63.62500000000001,33,98.0,881.0,4.0,24.0,10.41,83.1,17.0,15.7
64.434,33,99.0,898.0,8.0,24.0,11.88,83.1,17.0,20.4
65.215,33,99.0,1122.0,10.0,26.0,15.55,83.1,17.0,34.5
65.96600000000001,33,103.0,1444.0,13.0,28.0,20.63,83.1,17.0,39.6
66.804,33,114.0,1750.0,15.0,29.0,31.74,83.1,17.0,42.0
67.555,33,135.0,2160.0,19.0,31.0,35.33,83.1,17.0,14.1
68.305,33,91.0,1612.0,20.0,31.0,23.33,31.0,17.0,14.1
