Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C],Accelerator Pedal Position [%]
0.0,25,97.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1
0.75,25,96.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1
1.5,25,97.0,0.0,0.0,17.0,2.88,89.0,18.0,14.1
2.25,25,93.0,1090.0,0.0,19.0,17.61,89.0,18.0,14.1
3.0010000000000003,25,95.0,960.0,0.0,33.0,15.99,83.1,18.0,14.1
3.7510000000000003,25,96.0,901.0,0.0,34.0,15.11,83.1,18.0,14.1
4.501,25,96.0,886.0,0.0,33.0,14.47,83.1,18.0,14.1
5.25,25,96.0,863.0,0.0,32.0,14.47,83.1,18.0,15.7
6.062,25,96.0,899.0,0.0,31.0,14.83,83.1,18.0,15.7
6.811000000000001,25,96.0,923.0,0.0,30.0,15.33,83.1,18.0,16.5
7.562,25,97.0,911.0,0.0,30.0,15.19,83.1,18.0,14.1
8.341000000000001,25,98.0,977.0,1.0,30.0,16.19,83.1,18.0,14.9
9.151,25,99.0,946.0,1.0,30.0,15.91,83.1,18.0,14.9
9.991000000000001,25,99.0,938.0,2.0,29.0,15.8,83.1,18.0,15.3
10.74,25,100.0,907.0,4.0,29.0,15.41,83.1,18.0,15.7
11.49,25,100.0,905.0,7.0,28.0,15.22,83.1,18.0,23.5
12.24,25,101.0,1230.0,10.0,28.0,25.22,83.1,18.0,47.1
13.052000000000001,25,120.0,1883.0,17.0,30.0,53.91,83.1,18.0,32.5
13.801,25,118.0,2066.0,21.0,33.0,29.22,31.0,18.0,32.9
14.551,25,97.0,1296.0,22.0,30.0,25.88,83.5,18.0,62.7
15.393,25,124.0,1591.0,27.0,29.0,43.16,83.5,18.0,32.5
16.14,25,110.0,1769.0,31.0,30.0,27.88,31.0,18.0,14.1
16.951,25,109.0,1062.0,30.0,27.0,18.66,83.5,18.0,14.1
17.791,25,105.0,978.0,27.0,26.0,16.97,83.5,18.0,14.1
18.541,25,103.0,955.0,23.0,25.0,16.49,83.5,18.0,14.1
19.291,25,101.0,947.0,17.0,25.0,16.27,83.5,18.0,14.1
