Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C],Accelerator Pedal Position [%]
0.0,27,100.0,861.0,0.0,25.0,9.58,83.1,21.0,14.1
0.901,27,100.0,862.0,0.0,24.0,9.63,83.1,21.0,14.1
1.8,27,100.0,861.0,0.0,24.0,9.74,83.1,21.0,14.1
2.7310000000000003,27,100.0,863.0,0.0,24.0,9.74,83.1,21.0,14.1
3.6310000000000002,27,100.0,860.0,0.0,24.0,9.61,83.1,21.0,15.3
4.532,27,100.0,950.0,0.0,24.0,10.97,83.1,21.0,15.3
5.432,27,101.0,922.0,0.0,26.0,10.33,83.1,21.0,15.3
6.331,27,101.0,935.0,0.0,25.0,10.49,83.1,21.0,14.1
7.231000000000001,27,101.0,973.0,1.0,25.0,11.11,83.1,21.0,14.1
8.131,28,102.0,980.0,1.0,25.0,11.11,83.1,21.0,14.1
9.031,28,102.0,928.0,1.0,25.0,10.11,83.1,21.0,14.9
9.931000000000001,28,101.0,923.0,1.0,25.0,10.91,83.1,21.0,14.9
10.832,28,101.0,938.0,1.0,24.0,11.13,83.1,21.0,14.1
11.74,28,101.0,940.0,1.0,25.0,10.55,83.1,21.0,14.1
12.644,28,101.0,946.0,2.0,25.0,10.38,83.1,21.0,14.5
13.531,28,102.0,922.0,3.0,24.0,10.97,83.1,21.0,14.1
14.431000000000001,28,102.0,940.0,4.0,25.0,11.27,83.1,21.0,14.1
15.331000000000001,28,102.0,936.0,5.0,25.0,10.91,83.1,21.0,14.1
16.231,28,102.0,929.0,7.0,25.0,10.72,83.1,21.0,15.3
17.131,28,102.0,930.0,8.0,25.0,11.91,83.1,21.0,22.0
18.062,28,103.0,1140.0,10.0,25.0,14.41,83.1,21.0,23.1
18.961000000000002,28,99.0,1283.0,11.0,27.0,14.38,83.1,21.0,23.1
19.861,28,98.0,1325.0,12.0,26.0,14.66,83.1,21.0,23.9
20.763,28,97.0,1349.0,12.0,26.0,14.58,83.1,21.0,24.3
21.662000000000003,28,97.0,1368.0,12.0,26.0,15.08,83.1,21.0,29.4
22.561,29,99.0,1495.0,13.0,26.0,18.22,83.1,21.0,38.0
23.461000000000002,29,109.0,1704.0,15.0,27.0,25.49,83.1,21.0,14.1
24.392000000000003,29,114.0,1010.0,15.0,28.0,16.49,83.1,21.0,31.8
25.291,29,108.0,1093.0,18.0,26.0,21.74,83.1,21.0,43.5
26.192,29,119.0,1377.0,24.0,28.0,18.27,83.1,21.0,30.6
27.093,29,108.0,1487.0,25.0,26.0,16.52,83.1,21.0,24.7
28.022000000000002,29,99.0,1463.0,25.0,26.0,15.72,83.1,21.0,24.3
28.922,29,97.0,1434.0,24.0,26.0,14.88,83.1,21.0,20.0
29.821,29,97.0,1354.0,23.0,25.0,13.19,83.1,21.0,14.1
30.722,29,102.0,1217.0,21.0,24.0,12.69,83.1,21.0,22.7
31.621000000000002,29,103.0,1148.0,19.0,24.0,12.63,83.1,21.0,25.5
32.523,29,99.0,1155.0,19.0,24.0,13.99,83.1,21.0,33.7
33.423,29,100.0,1234.0,21.0,24.0,17.58,83.1,21.0,37.6
34.322,29,108.0,1355.0,23.0,26.0,20.69,83.1,21.0,36.9
35.252,30,118.0,1492.0,26.0,26.0,16.36,83.1,21.0,14.1
36.181000000000004,30,106.0,1371.0,23.0,25.0,13.91,83.1,21.0,14.1
37.082,30,106.0,1152.0,20.0,24.0,11.8,83.1,21.0,23.9
37.981,30,106.0,1034.0,17.0,24.0,11.74,83.1,21.0,14.1
38.914,30,104.0,917.0,17.0,23.0,10.19,83.1,21.0,14.1
39.812000000000005,30,103.0,926.0,14.0,22.0,10.44,83.1,21.0,14.1
40.745000000000005,30,102.0,931.0,9.0,23.0,10.55,83.1,21.0,14.1
41.641000000000005,30,102.0,927.0,3.0,23.0,10.22,83.1,21.0,14.1
42.572,30,102.0,859.0,0.0,23.0,9.13,83.1,21.0,14.1
43.442,31,101.0,845.0,0.0,21.0,9.22,83.1,21.0,14.1
44.342000000000006,31,101.0,847.0,0.0,21.0,9.22,83.1,21.0,14.1
45.242000000000004,31,101.0,845.0,0.0,21.0,9.3,83.1,21.0,14.1
46.143,31,101.0,846.0,0.0,22.0,9.13,83.1,21.0,14.1
47.012,31,101.0,843.0,0.0,22.0,9.11,83.1,21.0,15.7
47.912000000000006,31,100.0,865.0,0.0,22.0,10.88,83.1,21.0,17.3
48.812000000000005,31,102.0,830.0,5.0,25.0,13.86,83.1,21.0,25.9
49.712,31,105.0,1442.0,13.0,27.0,28.58,83.1,21.0,42.4
50.612,31,128.0,1959.0,17.0,30.0,39.83,83.1,21.0,43.5
51.512,32,148.0,2309.0,21.0,31.0,33.41,30.6,21.0,17.6
52.447,32,95.0,1327.0,19.0,29.0,21.05,83.5,21.0,52.2
53.342000000000006,32,118.0,1283.0,22.0,27.0,28.61,83.5,21.0,37.6
54.24100000000001,32,132.0,1379.0,24.0,28.0,21.86,31.0,21.0,14.1
55.173,32,107.0,1049.0,20.0,27.0,10.41,83.5,21.0,14.1
56.072,32,105.0,962.0,15.0,23.0,10.38,83.5,21.0,14.1
56.972,32,104.0,937.0,11.0,22.0,10.13,83.5,21.0,14.1
57.87200000000001,33,103.0,930.0,7.0,22.0,9.99,83.5,21.0,14.1
58.773,33,103.0,929.0,6.0,22.0,10.13,83.5,21.0,14.1
59.672000000000004,33,102.0,928.0,5.0,22.0,9.97,83.5,21.0,14.1
60.601000000000006,33,102.0,927.0,3.0,22.0,9.91,83.5,21.0,14.1
61.501000000000005,33,102.0,839.0,2.0,22.0,8.86,83.5,21.0,14.1
62.431000000000004,33,101.0,951.0,2.0,21.0,10.8,83.5,21.0,14.1
63.328,34,102.0,908.0,1.0,23.0,9.74,83.5,21.0,14.1
64.16300000000001,34,102.0,933.0,2.0,23.0,10.22,83.5,21.0,14.1
65.031,34,103.0,916.0,3.0,23.0,10.33,83.5,21.0,14.1
65.86800000000001,34,103.0,919.0,4.0,23.0,10.16,83.5,21.0,14.5
66.733,34,103.0,886.0,6.0,23.0,11.58,83.5,21.0,16.1
67.571,34,103.0,1044.0,9.0,24.0,12.55,83.5,21.0,22.7
68.319,34,101.0,1246.0,11.0,25.0,13.63,83.5,21.0,23.1
69.153,35,99.0,1320.0,11.0,26.0,14.33,83.5,21.0,30.6
70.05000000000001,35,99.0,1473.0,13.0,26.0,18.66,83.5,21.0,36.5
70.858,35,110.0,1727.0,15.0,27.0,22.22,83.5,21.0,14.1
71.63300000000001,35,115.0,1163.0,16.0,27.0,10.36,83.5,21.0,34.5
72.44200000000001,35,110.0,1101.0,19.0,24.0,21.72,83.5,21.0,53.3
73.254,35,121.0,1413.0,24.0,28.0,34.66,83.5,21.0,52.5
74.003,35,163.0,1786.0,31.0,30.0,47.33,83.5,20.0,45.5
74.754,35,163.0,2034.0,36.0,31.0,28.52,83.5,20.0,30.2
75.504,36,110.0,2074.0,36.0,31.0,22.38,83.5,20.0,27.5
76.253,36,99.0,2028.0,35.0,27.0,20.97,83.5,20.0,28.6
77.006,36,98.0,1977.0,34.0,26.0,20.44,83.5,20.0,29.0
77.754,36,101.0,1945.0,33.0,26.0,20.77,83.5,20.0,28.6
78.503,36,103.0,1904.0,33.0,26.0,20.11,83.5,20.0,28.6
79.342,36,104.0,1874.0,32.0,25.0,19.94,83.5,20.0,28.2
80.09400000000001,36,104.0,1839.0,32.0,25.0,19.33,83.5,20.0,27.5
80.903,36,104.0,1808.0,31.0,25.0,19.11,83.5,20.0,18.0
81.74300000000001,37,103.0,1718.0,29.0,25.0,17.38,83.5,20.0,14.1
82.58200000000001,37,110.0,1585.0,27.0,25.0,17.19,83.5,20.0,14.1
83.42200000000001,37,111.0,1452.0,25.0,25.0,15.3,83.5,20.0,14.1
84.29400000000001,37,109.0,934.0,21.0,23.0,10.27,83.5,20.0,14.1
85.134,37,105.0,914.0,16.0,21.0,9.8,83.5,20.0,14.1
85.912,37,103.0,916.0,11.0,21.0,9.58,83.5,20.0,14.1
86.694,37,103.0,919.0,6.0,21.0,9.63,83.5,20.0,14.1
87.53200000000001,38,102.0,919.0,4.0,21.0,9.58,83.5,20.0,14.1
88.283,38,102.0,911.0,3.0,22.0,9.11,83.5,20.0,14.9
89.033,38,102.0,953.0,3.0,22.0,10.38,83.5,20.0,15.3
89.78200000000001,38,102.0,928.0,3.0,22.0,9.88,83.1,20.0,15.3
90.53200000000001,38,102.0,872.0,3.0,23.0,9.66,83.1,20.0,15.7
91.345,38,103.0,857.0,7.0,22.0,14.8,83.5,20.0,24.7
92.093,38,106.0,1404.0,12.0,24.0,26.91,83.5,20.0,45.1
92.84400000000001,38,132.0,2045.0,18.0,28.0,42.33,83.5,20.0,15.7
93.59400000000001,39,102.0,1979.0,21.0,30.0,28.08,31.0,20.0,32.9
94.343,39,106.0,1306.0,23.0,29.0,25.8,83.5,20.0,58.4
95.093,39,128.0,1601.0,27.0,28.0,39.24,54.5,20.0,14.1
95.932,39,106.0,1658.0,28.0,29.0,26.97,31.0,20.0,14.1
96.683,39,111.0,1532.0,26.0,26.0,15.3,83.5,20.0,14.1
97.494,39,111.0,1410.0,24.0,24.0,14.86,83.5,20.0,14.1
98.245,39,109.0,1293.0,22.0,24.0,13.47,83.5,20.0,14.1
98.992,39,107.0,1185.0,20.0,24.0,12.19,83.5,20.0,14.1
99.74600000000001,39,106.0,986.0,17.0,23.0,10.38,83.5,20.0,14.1
100.49300000000001,40,104.0,940.0,13.0,22.0,9.72,83.5,20.0,14.1
101.33200000000001,40,103.0,924.0,8.0,21.0,9.55,83.5,20.0,14.1
102.08200000000001,40,103.0,920.0,4.0,21.0,9.47,83.5,20.0,14.1
102.83200000000001,40,102.0,902.0,2.0,21.0,9.22,83.5,20.0,14.1
103.58200000000001,40,102.0,822.0,0.0,21.0,8.38,83.5,20.0,14.1
104.33300000000001,40,101.0,807.0,0.0,20.0,8.33,83.5,20.0,14.1
105.08200000000001,40,101.0,806.0,0.0,20.0,8.49,83.5,20.0,14.1
105.95200000000001,40,101.0,805.0,0.0,21.0,8.24,83.5,20.0,14.1
106.733,41,101.0,806.0,0.0,21.0,8.36,83.5,20.0,14.1
107.483,41,100.0,806.0,0.0,21.0,8.33,83.5,20.0,14.1
108.23200000000001,41,100.0,805.0,0.0,21.0,8.33,83.5,20.0,14.1
108.98200000000001,41,100.0,804.0,0.0,21.0,8.22,83.5,20.0,14.1
109.73200000000001,41,100.0,805.0,0.0,21.0,8.3,83.5,20.0,14.1
110.483,41,100.0,805.0,0.0,21.0,8.16,83.5,20.0,14.1
111.293,41,100.0,804.0,0.0,21.0,8.16,83.5,20.0,14.1
112.043,41,100.0,805.0,0.0,21.0,8.11,83.5,20.0,22.4
112.82300000000001,41,100.0,1058.0,0.0,23.0,14.91,83.5,20.0,23.5
113.57300000000001,42,104.0,1157.0,8.0,27.0,18.83,83.5,20.0,31.4
114.322,42,113.0,1646.0,14.0,29.0,35.74,83.5,20.0,47.5
115.045,42,158.0,2341.0,21.0,32.0,41.91,34.1,20.0,14.1
115.882,42,94.0,1716.0,22.0,32.0,25.13,63.9,20.0,53.3
116.78200000000001,42,120.0,1549.0,27.0,30.0,39.16,83.5,20.0,45.1
117.652,42,156.0,1848.0,33.0,29.0,28.77,30.6,20.0,15.3
118.55300000000001,42,105.0,1285.0,33.0,27.0,14.22,83.5,20.0,33.3
119.453,42,106.0,1262.0,34.0,24.0,15.74,83.5,20.0,33.3
120.35300000000001,42,110.0,1310.0,35.0,25.0,14.99,83.5,20.0,32.2
121.25200000000001,43,108.0,1341.0,36.0,25.0,15.16,83.5,20.0,31.4
122.152,43,106.0,1374.0,37.0,25.0,15.22,83.5,20.0,31.8
123.052,43,105.0,1399.0,38.0,25.0,15.63,83.5,20.0,31.8
123.95200000000001,43,107.0,1420.0,38.0,25.0,15.86,83.5,20.0,31.4
124.85600000000001,43,108.0,1436.0,39.0,25.0,15.69,83.5,20.0,30.2
125.78200000000001,43,108.0,1445.0,39.0,25.0,15.02,83.5,20.0,25.5
126.683,43,102.0,1415.0,39.0,25.0,14.19,83.5,20.0,14.1
127.58300000000001,44,105.0,1376.0,37.0,25.0,13.74,83.5,20.0,14.1
128.483,44,107.0,1328.0,35.0,24.0,13.22,83.5,20.0,14.1
129.383,44,107.0,1270.0,34.0,24.0,12.8,83.5,20.0,14.1
130.28300000000002,44,106.0,1212.0,32.0,24.0,12.16,83.5,20.0,14.1
131.243,44,105.0,1156.0,31.0,24.0,11.47,83.5,20.0,14.1
132.173,44,104.0,915.0,28.0,22.0,9.52,83.5,20.0,14.1
133.074,44,103.0,903.0,22.0,21.0,9.11,83.5,20.0,14.1
134.002,44,102.0,903.0,16.0,22.0,9.22,83.5,20.0,14.1
134.904,45,102.0,904.0,11.0,22.0,8.91,83.5,20.0,14.1
135.803,45,102.0,907.0,8.0,22.0,8.88,83.5,20.0,14.1
136.704,45,102.0,906.0,5.0,22.0,8.97,83.5,20.0,15.3
137.603,45,102.0,934.0,5.0,22.0,9.49,83.5,20.0,16.1
138.502,45,102.0,898.0,5.0,22.0,9.24,83.5,20.0,16.1
139.40300000000002,45,103.0,955.0,8.0,22.0,10.58,83.5,20.0,20.8
140.333,45,104.0,1149.0,10.0,25.0,14.8,83.5,20.0,33.3
141.233,45,106.0,1466.0,13.0,27.0,14.58,83.5,20.0,14.1
142.133,46,107.0,977.0,13.0,24.0,10.11,83.5,20.0,14.1
143.03300000000002,46,104.0,928.0,12.0,24.0,9.24,83.5,20.0,14.1
143.935,46,103.0,911.0,10.0,23.0,9.13,83.5,20.0,14.1
144.835,46,103.0,906.0,5.0,22.0,8.99,83.5,20.0,14.1
145.763,46,102.0,877.0,1.0,22.0,8.47,83.5,20.0,14.1
146.663,46,102.0,785.0,0.0,22.0,7.63,83.5,20.0,14.1
147.56300000000002,46,101.0,782.0,0.0,21.0,7.77,83.5,20.0,14.1
148.465,46,101.0,784.0,0.0,21.0,7.91,83.5,20.0,14.1
149.36200000000002,46,100.0,782.0,0.0,21.0,7.83,83.5,20.0,14.1
150.263,47,100.0,783.0,0.0,21.0,7.58,83.5,20.0,14.1
151.193,47,100.0,781.0,0.0,21.0,7.66,83.5,20.0,14.1
152.09300000000002,47,100.0,780.0,0.0,21.0,7.66,83.5,20.0,14.1
152.995,47,100.0,781.0,0.0,22.0,7.63,83.5,20.0,14.1
153.894,47,100.0,781.0,0.0,22.0,7.66,83.5,20.0,14.1
154.79500000000002,47,100.0,780.0,0.0,22.0,7.74,83.5,20.0,14.1
155.75400000000002,47,100.0,779.0,0.0,22.0,7.66,83.5,20.0,14.1
156.654,47,100.0,780.0,0.0,22.0,7.83,83.5,20.0,14.1
157.55200000000002,47,100.0,780.0,0.0,22.0,7.52,83.5,20.0,14.1
158.483,47,100.0,778.0,0.0,22.0,7.63,83.5,20.0,14.1
159.383,48,100.0,778.0,0.0,22.0,7.52,83.5,20.0,14.1
160.28300000000002,48,100.0,780.0,0.0,22.0,7.99,83.5,20.0,14.1
161.273,48,100.0,778.0,0.0,22.0,7.83,83.5,20.0,14.1
