Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C],Accelerator Pedal Position [%]
0.0,75,101.0,941.0,16.0,50.0,7.88,83.5,26.0,22.0
1.231,75,101.0,965.0,16.0,50.0,12.05,83.5,26.0,34.5
2.491,75,105.0,1104.0,19.0,53.0,12.3,83.5,26.0,29.8
3.8120000000000003,75,108.0,1212.0,21.0,53.0,11.94,83.5,25.0,26.7
4.952,75,103.0,1234.0,21.0,53.0,11.69,83.5,25.0,27.5
6.45,76,102.0,1259.0,21.0,52.0,11.27,83.5,25.0,22.0
7.7090000000000005,76,99.0,1202.0,20.0,52.0,9.8,83.5,25.0,27.1
8.88,76,98.0,1169.0,20.0,52.0,11.11,83.5,25.0,26.7
10.17,76,102.0,1178.0,20.0,52.0,11.38,83.5,25.0,26.3
11.521,76,103.0,1196.0,20.0,52.0,11.3,83.5,25.0,14.1
13.56,76,102.0,1123.0,18.0,51.0,8.27,83.5,25.0,14.1
14.673,76,100.0,888.0,8.0,49.0,7.74,83.5,25.0,14.1
15.811000000000002,76,100.0,897.0,3.0,49.0,7.61,83.5,25.0,14.1
17.55,76,100.0,906.0,1.0,49.0,8.69,83.5,25.0,19.2
18.723000000000003,77,101.0,911.0,5.0,51.0,9.16,83.5,25.0,18.8
20.043000000000003,77,102.0,1000.0,9.0,51.0,11.19,83.5,25.0,14.1
21.450000000000003,77,101.0,1003.0,8.0,52.0,8.72,83.5,25.0,14.1
22.681,77,101.0,917.0,2.0,51.0,8.24,83.5,24.0,14.1
23.731,77,100.0,795.0,0.0,49.0,6.86,83.5,24.0,14.1
25.680000000000003,77,99.0,772.0,0.0,48.0,6.77,83.5,24.0,14.1
27.844,77,99.0,942.0,0.0,49.0,7.99,83.5,24.0,14.1
28.862000000000002,77,100.0,832.0,0.0,50.0,7.19,83.5,24.0,14.1
29.882,78,99.0,774.0,0.0,49.0,6.74,83.5,24.0,14.1
31.44,78,99.0,768.0,0.0,49.0,6.41,83.5,24.0,22.4
32.46,78,101.0,1060.0,2.0,54.0,12.38,83.5,24.0,22.4
33.512,78,105.0,1013.0,7.0,54.0,14.97,83.5,24.0,27.8
34.744,78,113.0,1574.0,14.0,57.0,32.05,83.5,24.0,45.5
35.732,78,166.0,2457.0,22.0,59.0,46.8,31.4,24.0,15.7
36.902,78,89.0,1712.0,23.0,58.0,23.72,83.5,24.0,47.5
38.1,78,131.0,1691.0,30.0,55.0,36.41,83.5,24.0,21.2
39.24,78,112.0,1590.0,33.0,55.0,22.61,31.0,24.0,34.9
40.293,78,114.0,1266.0,34.0,53.0,15.33,83.5,24.0,32.9
42.330000000000005,78,116.0,1312.0,35.0,49.0,12.77,83.5,24.0,26.7
43.471000000000004,78,104.0,1341.0,36.0,49.0,10.58,83.5,24.0,22.4
44.489000000000004,79,100.0,1327.0,35.0,49.0,10.38,83.5,24.0,20.4
45.814,79,104.0,1270.0,34.0,49.0,10.91,83.5,24.0,23.9
46.952000000000005,79,106.0,1247.0,33.0,49.0,10.61,83.5,24.0,26.3
48.092000000000006,79,101.0,1259.0,34.0,49.0,9.83,83.5,24.0,27.8
49.112,79,102.0,1267.0,34.0,50.0,12.16,83.5,24.0,29.8
50.137,79,108.0,1307.0,35.0,50.0,12.13,83.5,24.0,26.3
51.243,79,108.0,1324.0,36.0,51.0,11.33,83.5,24.0,22.4
52.441,79,99.0,1316.0,35.0,50.0,10.69,83.5,24.0,18.0
53.645,79,103.0,1307.0,34.0,50.0,11.44,83.5,24.0,26.3
54.661,79,101.0,1307.0,35.0,50.0,10.94,83.5,24.0,14.1
56.853,79,103.0,1276.0,34.0,50.0,11.66,83.5,23.0,14.1
57.993,80,101.0,890.0,34.0,48.0,7.94,83.5,23.0,14.1
59.043000000000006,80,100.0,900.0,29.0,48.0,7.91,83.5,23.0,14.1
60.213,80,100.0,901.0,22.0,48.0,7.83,83.5,23.0,14.1
61.236000000000004,80,100.0,900.0,17.0,48.0,7.83,83.5,23.0,14.1
62.193000000000005,80,100.0,899.0,14.0,48.0,7.83,83.5,23.0,14.1
63.393,80,100.0,899.0,10.0,48.0,7.77,83.5,23.0,14.1
64.742,80,100.0,900.0,6.0,48.0,7.77,83.5,23.0,14.1
66.15100000000001,80,100.0,901.0,4.0,48.0,7.8,83.5,23.0,14.1
67.531,80,100.0,859.0,3.0,49.0,7.24,83.5,23.0,14.1
68.851,80,99.0,766.0,0.0,47.0,6.77,83.5,23.0,14.1
69.875,81,99.0,769.0,0.0,47.0,6.72,83.5,23.0,15.3
70.891,81,99.0,686.0,0.0,48.0,11.13,83.5,23.0,19.2
72.12400000000001,81,101.0,828.0,7.0,52.0,18.44,83.5,23.0,26.7
73.68,81,110.0,1631.0,15.0,55.0,23.74,83.5,23.0,36.1
74.82000000000001,81,122.0,2091.0,19.0,56.0,24.77,83.5,23.0,14.1
75.91000000000001,81,115.0,1183.0,20.0,52.0,19.55,83.5,23.0,38.4
77.07600000000001,81,113.0,1368.0,24.0,53.0,20.49,83.5,23.0,38.8
78.48100000000001,81,126.0,1624.0,28.0,53.0,21.44,83.5,23.0,38.8
79.622,81,131.0,1896.0,33.0,53.0,23.05,83.5,23.0,32.2
80.73100000000001,81,112.0,2011.0,35.0,53.0,21.74,83.5,23.0,32.5
81.93,81,116.0,2103.0,36.0,52.0,22.11,83.5,23.0,29.4
83.34400000000001,81,115.0,2145.0,37.0,51.0,24.41,83.5,23.0,14.1
84.57100000000001,81,118.0,2091.0,36.0,53.0,38.47,83.5,23.0,14.1
85.98100000000001,81,118.0,1961.0,33.0,53.0,35.13,83.5,23.0,14.1
87.212,82,115.0,1655.0,28.0,51.0,28.49,83.5,23.0,14.1
88.47200000000001,82,111.0,1400.0,23.0,51.0,22.69,83.5,23.0,14.1
89.61200000000001,82,107.0,976.0,19.0,48.0,7.11,83.5,23.0,14.1
91.863,82,102.0,902.0,12.0,43.0,8.02,83.5,23.0,14.1
93.061,82,101.0,902.0,11.0,43.0,8.05,83.5,23.0,20.0
94.11,82,101.0,902.0,13.0,44.0,11.11,83.5,23.0,25.9
95.34100000000001,82,102.0,1001.0,17.0,46.0,12.33,83.5,23.0,29.4
96.45200000000001,82,107.0,1227.0,21.0,48.0,9.99,83.5,23.0,23.5
97.59200000000001,82,100.0,1292.0,22.0,47.0,10.49,83.5,23.0,25.1
98.70100000000001,82,98.0,1362.0,23.0,48.0,12.66,83.5,23.0,29.0
99.78200000000001,82,108.0,1511.0,26.0,49.0,16.33,83.5,23.0,38.8
100.89,82,124.0,1626.0,30.0,50.0,11.74,83.5,23.0,21.2
101.911,82,109.0,1155.0,30.0,50.0,13.05,83.5,23.0,34.5
103.144,83,108.0,1222.0,33.0,49.0,10.74,83.5,23.0,14.1
104.403,83,103.0,1277.0,34.0,47.0,16.38,83.5,23.0,32.5
105.51100000000001,83,105.0,1353.0,36.0,48.0,14.02,83.5,23.0,40.0
106.831,83,117.0,1468.0,40.0,49.0,19.49,83.5,23.0,40.8
108.03,83,133.0,1635.0,44.0,51.0,31.49,83.5,23.0,41.6
109.32300000000001,83,135.0,1680.0,49.0,53.0,21.72,31.0,23.0,33.3
110.34200000000001,83,107.0,1309.0,51.0,47.0,13.52,83.5,22.0,29.8
111.57000000000001,83,111.0,1361.0,53.0,46.0,12.38,83.5,22.0,25.9
112.74100000000001,83,103.0,1392.0,54.0,46.0,11.83,83.5,22.0,29.8
113.91000000000001,83,108.0,1440.0,56.0,46.0,13.24,83.5,22.0,31.0
114.965,83,114.0,1480.0,58.0,47.0,13.88,83.5,22.0,30.2
116.19000000000001,83,112.0,1522.0,59.0,47.0,13.99,83.5,22.0,29.8
117.331,83,110.0,1554.0,61.0,47.0,14.08,83.5,22.0,33.3
118.501,84,115.0,1592.0,62.0,47.0,13.58,83.5,22.0,23.9
119.73,84,107.0,1270.0,63.0,46.0,11.05,83.5,22.0,27.5
120.90100000000001,84,102.0,1278.0,63.0,46.0,9.97,83.5,22.0,23.9
122.10000000000001,84,99.0,1272.0,63.0,46.0,11.77,83.5,22.0,32.2
123.42,84,107.0,1280.0,64.0,47.0,13.58,83.5,22.0,36.1
125.671,84,117.0,1295.0,64.0,48.0,15.47,83.5,22.0,34.1
