Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C],Accelerator Pedal Position [%]
0.0,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1
2.539,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1
3.6740000000000004,33,98.0,943.0,0.0,34.0,9.72,83.1,22.0,14.1
5.050000000000001,33,99.0,860.0,0.0,34.0,8.72,83.1,22.0,14.9
7.9830000000000005,33,99.0,913.0,0.0,33.0,10.02,83.1,22.0,14.1
9.362,33,100.0,955.0,0.0,33.0,10.19,83.1,22.0,14.1
10.863000000000001,33,101.0,956.0,1.0,32.0,10.49,83.1,22.0,14.1
13.743,32,102.0,936.0,1.0,31.0,10.44,83.1,22.0,14.1
15.001000000000001,32,102.0,974.0,1.0,31.0,10.33,83.1,22.0,14.1
16.292,32,102.0,923.0,1.0,30.0,10.08,83.1,22.0,14.1
18.662000000000003,32,102.0,907.0,3.0,30.0,10.63,83.1,22.0,14.9
19.891000000000002,31,103.0,979.0,8.0,30.0,12.24,83.1,22.0,31.0
21.063000000000002,31,106.0,1376.0,12.0,32.0,19.41,83.1,22.0,38.4
23.703000000000003,31,121.0,1525.0,16.0,34.0,12.22,83.5,22.0,14.1
24.844,31,102.0,916.0,15.0,28.0,10.44,83.5,22.0,14.1
25.982000000000003,31,102.0,943.0,13.0,28.0,10.33,83.5,22.0,14.1
28.113000000000003,31,102.0,1014.0,12.0,28.0,13.05,83.5,22.0,27.5
29.402,31,104.0,996.0,17.0,30.0,18.3,83.5,22.0,39.2
30.483,31,112.0,1321.0,23.0,31.0,19.22,83.5,22.0,34.1
33.303000000000004,31,112.0,1465.0,25.0,31.0,16.19,83.5,22.0,23.5
34.505,31,98.0,1376.0,23.0,30.0,13.02,83.5,22.0,17.3
36.392,31,104.0,1247.0,21.0,29.0,14.02,83.5,22.0,25.1
38.012,32,100.0,1318.0,23.0,29.0,20.22,83.5,22.0,38.4
39.122,32,117.0,1523.0,26.0,31.0,16.61,83.5,22.0,14.1
40.984,32,108.0,1416.0,24.0,30.0,14.3,83.5,22.0,14.1
42.423,32,105.0,951.0,17.0,28.0,10.36,83.5,22.0,14.1
43.624,32,103.0,927.0,16.0,26.0,10.08,83.5,22.0,14.1
46.233000000000004,32,102.0,927.0,6.0,26.0,9.8,83.5,22.0,14.1
47.764,32,101.0,918.0,0.0,26.0,9.97,83.5,22.0,16.9
49.022000000000006,33,102.0,900.0,2.0,27.0,11.38,83.5,22.0,20.8
51.423,33,105.0,1156.0,11.0,32.0,38.88,83.5,22.0,27.1
52.683,33,94.0,1471.0,18.0,33.0,22.94,79.6,22.0,45.1
53.823,33,114.0,1202.0,21.0,30.0,26.44,83.5,22.0,42.0
55.442,33,132.0,1429.0,25.0,31.0,18.66,37.3,22.0,14.1
57.215,34,105.0,981.0,16.0,29.0,10.41,83.5,22.0,14.1
58.263000000000005,34,103.0,933.0,10.0,25.0,10.02,83.5,22.0,14.1
