Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C],Accelerator Pedal Position [%]
0.0,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1
0.918,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1
1.8,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1
2.729,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1
3.6290000000000004,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1
4.53,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1
5.549,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1
6.449000000000001,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1
7.349,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1
8.25,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1
9.179,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1
10.08,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1
10.979000000000001,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1
11.879000000000001,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1
12.81,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1
13.708,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1
14.610000000000001,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1
15.509,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1
16.439,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1
17.339000000000002,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1
18.238,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1
19.138,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1
20.038,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1
