Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C],Accelerator Pedal Position [%]
0.0,11,96.0,0.0,0.0,4.0,0.86,89.0,6.0,14.1
0.9,11,96.0,0.0,0.0,4.0,0.88,89.0,6.0,14.1
1.8900000000000001,11,96.0,0.0,0.0,4.0,1.72,89.0,6.0,14.5
2.79,11,94.0,1068.0,0.0,8.0,17.86,83.1,6.0,14.1
3.6900000000000004,11,95.0,994.0,0.0,21.0,16.86,83.1,6.0,14.5
4.591,11,95.0,949.0,0.0,20.0,15.61,83.1,6.0,14.5
5.49,11,95.0,908.0,1.0,19.0,15.44,83.1,6.0,14.5
6.421,11,95.0,905.0,2.0,18.0,15.52,83.1,6.0,14.1
7.32,11,95.0,1020.0,3.0,17.0,17.19,83.1,6.0,14.1
8.22,11,96.0,977.0,3.0,17.0,16.52,83.1,6.0,14.1
9.120000000000001,11,96.0,960.0,3.0,16.0,16.3,83.1,6.0,14.1
10.020000000000001,11,96.0,954.0,3.0,15.0,16.66,83.1,6.0,14.1
10.92,11,97.0,964.0,2.0,15.0,16.58,83.1,6.0,14.5
11.82,11,97.0,934.0,2.0,15.0,14.94,83.1,6.0,15.7
12.721,11,97.0,868.0,6.0,14.0,14.24,83.1,6.0,22.7
13.620000000000001,11,98.0,1245.0,11.0,13.0,27.52,83.1,6.0,36.5
14.520000000000001,11,113.0,1813.0,16.0,16.0,38.58,62.4,6.0,14.1
15.420000000000002,11,96.0,1224.0,16.0,17.0,24.13,74.9,6.0,22.4
16.35,11,101.0,1056.0,18.0,14.0,19.52,83.5,6.0,20.0
17.253,11,100.0,1113.0,19.0,13.0,19.72,83.5,6.0,14.1
18.121000000000002,11,96.0,1118.0,19.0,13.0,19.16,83.5,6.0,14.1
19.021,11,96.0,1060.0,18.0,13.0,18.19,83.5,6.0,14.1
20.011000000000003,11,98.0,963.0,13.0,12.0,16.97,83.5,6.0,14.1
20.881,11,98.0,980.0,7.0,12.0,17.08,83.5,6.0,14.1
21.781000000000002,11,99.0,988.0,5.0,12.0,17.3,83.5,6.0,17.6
22.651,11,99.0,1015.0,5.0,12.0,16.44,83.5,6.0,20.4
23.551000000000002,11,100.0,1024.0,9.0,11.0,19.99,83.5,6.0,25.5
24.422,11,103.0,1353.0,12.0,13.0,26.83,83.5,6.0,31.0
25.321,11,108.0,1515.0,13.0,13.0,29.41,83.5,6.0,27.1
26.221,11,101.0,1535.0,13.0,14.0,28.63,83.5,5.0,34.9
27.061,11,108.0,1600.0,14.0,13.0,33.66,83.5,5.0,37.3
27.900000000000002,11,123.0,1756.0,15.0,13.0,39.99,83.5,5.0,36.9
28.921000000000003,11,122.0,1907.0,17.0,14.0,41.99,83.5,5.0,36.9
