Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C],Accelerator Pedal Position [%]
0.0,8,97.0,0.0,0.0,2.0,0.86,88.6,4.0,14.5
0.899,8,97.0,0.0,0.0,2.0,0.86,88.6,4.0,14.1
1.7990000000000002,8,97.0,0.0,0.0,2.0,0.86,88.6,4.0,14.1
2.6990000000000003,8,196.0,198.0,0.0,3.0,2.74,88.6,4.0,14.1
3.6290000000000004,8,96.0,1117.0,0.0,9.0,18.69,83.1,4.0,14.1
4.529,8,95.0,1030.0,0.0,15.0,17.47,83.1,4.0,14.1
5.4590000000000005,8,95.0,990.0,0.0,18.0,16.74,83.1,4.0,14.1
6.359,8,95.0,972.0,0.0,16.0,16.41,83.5,4.0,14.1
7.259,8,95.0,959.0,0.0,15.0,16.13,83.1,4.0,14.1
8.159,8,95.0,968.0,0.0,14.0,16.36,83.1,4.0,14.1
9.119,8,96.0,947.0,0.0,14.0,16.08,83.5,4.0,14.1
10.019,8,96.0,1001.0,0.0,13.0,16.94,83.1,4.0,14.1
10.919,8,96.0,968.0,0.0,13.0,16.88,83.1,4.0,14.1
11.819,8,97.0,992.0,0.0,13.0,17.38,83.5,4.0,14.1
12.719000000000001,8,97.0,999.0,0.0,12.0,17.3,83.5,4.0,14.1
13.619000000000002,8,98.0,974.0,0.0,12.0,17.16,83.1,4.0,14.1
14.519,8,98.0,963.0,1.0,12.0,16.99,83.5,4.0,14.1
15.419,8,98.0,958.0,2.0,11.0,17.08,83.5,4.0,14.1
16.319000000000003,8,99.0,1013.0,2.0,11.0,17.94,83.1,4.0,14.1
17.219,8,99.0,979.0,2.0,11.0,17.19,83.1,4.0,14.1
18.119,8,99.0,965.0,2.0,10.0,17.41,83.5,4.0,14.1
19.019000000000002,8,100.0,999.0,2.0,10.0,17.77,83.1,4.0,14.1
19.950000000000003,8,100.0,983.0,2.0,10.0,17.44,83.5,4.0,14.1
20.819000000000003,8,100.0,996.0,2.0,10.0,17.86,83.1,4.0,14.1
21.719,8,100.0,950.0,1.0,9.0,17.05,83.5,4.0,14.1
22.619,8,100.0,945.0,3.0,9.0,16.91,83.5,4.0,14.1
23.489,8,101.0,927.0,5.0,9.0,16.74,83.5,4.0,14.1
