Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C],Accelerator Pedal Position [%]
0.0,16,101.0,915.0,0.0,13.0,16.08,83.5,9.0,14.1
0.888,16,101.0,914.0,0.0,13.0,16.11,83.5,9.0,14.1
1.729,16,101.0,912.0,0.0,13.0,16.02,83.5,9.0,14.1
2.567,16,101.0,913.0,0.0,13.0,15.99,83.5,9.0,14.1
3.3480000000000003,16,101.0,912.0,0.0,13.0,15.86,83.5,9.0,14.1
4.246,16,101.0,912.0,0.0,13.0,16.27,83.5,9.0,14.1
5.025,16,101.0,912.0,0.0,13.0,16.02,83.5,9.0,14.1
5.836,16,101.0,911.0,0.0,13.0,15.74,83.5,9.0,14.1
6.585000000000001,16,101.0,909.0,0.0,13.0,16.05,83.5,9.0,14.1
7.396000000000001,16,101.0,908.0,0.0,13.0,16.27,83.5,9.0,14.5
8.16,16,101.0,937.0,0.0,13.0,16.36,83.5,9.0,14.5
8.896,16,102.0,919.0,0.0,13.0,16.22,83.5,9.0,14.5
9.645000000000001,16,102.0,934.0,1.0,13.0,16.3,83.5,9.0,14.5
10.395000000000001,16,102.0,937.0,1.0,13.0,16.49,83.5,9.0,14.5
11.233,17,102.0,973.0,2.0,13.0,17.52,83.5,9.0,14.1
11.983,17,102.0,942.0,2.0,13.0,16.33,83.5,9.0,14.1
12.732000000000001,17,102.0,917.0,2.0,13.0,16.13,83.5,9.0,14.5
13.482000000000001,17,102.0,952.0,2.0,13.0,16.72,83.5,9.0,14.1
14.232000000000001,17,102.0,943.0,2.0,13.0,16.52,83.5,9.0,14.1
14.982000000000001,17,102.0,946.0,2.0,13.0,16.91,83.5,9.0,14.1
15.731000000000002,17,102.0,944.0,2.0,13.0,16.8,83.5,9.0,14.1
16.482,17,102.0,917.0,2.0,13.0,16.19,83.5,9.0,14.1
17.292,17,102.0,922.0,3.0,13.0,16.11,83.5,9.0,14.1
18.042,17,102.0,921.0,4.0,13.0,16.08,83.5,9.0,14.1
18.82,17,102.0,917.0,5.0,13.0,15.86,83.5,9.0,14.1
19.632,17,103.0,905.0,7.0,13.0,15.99,83.5,9.0,14.1
20.383000000000003,17,103.0,996.0,9.0,13.0,18.33,83.5,9.0,18.4
21.133000000000003,17,103.0,1053.0,9.0,13.0,19.19,83.5,9.0,23.9
21.881,17,102.0,1206.0,10.0,13.0,22.11,83.5,9.0,24.7
22.632,17,99.0,1310.0,11.0,14.0,23.41,83.5,9.0,25.1
23.384,17,98.0,1331.0,12.0,14.0,23.47,83.5,9.0,25.1
24.220000000000002,17,97.0,1338.0,12.0,14.0,23.61,83.5,9.0,25.5
24.970000000000002,17,97.0,1346.0,12.0,14.0,23.36,83.5,9.0,25.5
25.719,17,97.0,1357.0,12.0,14.0,23.94,83.5,9.0,25.9
26.469,18,97.0,1378.0,12.0,14.0,24.24,83.5,9.0,25.9
27.219,18,97.0,1404.0,12.0,14.0,24.86,83.5,9.0,28.2
27.969,18,97.0,1435.0,13.0,14.0,25.63,83.5,9.0,29.4
28.719,18,98.0,1467.0,13.0,14.0,26.58,83.5,9.0,32.9
29.469,18,101.0,1623.0,14.0,14.0,30.74,83.5,9.0,34.5
30.219,18,113.0,1706.0,15.0,15.0,32.61,83.5,9.0,14.1
30.969,18,111.0,1086.0,15.0,13.0,19.27,83.5,8.0,28.6
31.719,18,110.0,1040.0,18.0,13.0,20.05,83.5,8.0,31.4
32.469,18,107.0,1189.0,20.0,12.0,22.44,83.5,8.0,29.4
33.219,18,104.0,1287.0,22.0,13.0,23.47,83.5,8.0,27.1
33.97,18,101.0,1329.0,23.0,13.0,23.44,83.5,8.0,27.1
34.719,18,99.0,1352.0,23.0,13.0,24.13,83.5,8.0,26.3
35.469,18,98.0,1362.0,23.0,13.0,23.8,83.5,8.0,25.5
36.219,18,98.0,1354.0,23.0,13.0,23.74,83.5,8.0,21.2
