Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C],Accelerator Pedal Position [%]
0.0,74,98.0,772.0,0.0,30.0,6.47,83.1,1.0,14.1
0.9,73,98.0,771.0,0.0,30.0,6.33,83.1,1.0,14.1
1.8,73,98.0,772.0,0.0,29.0,6.33,83.1,1.0,14.1
2.6990000000000003,73,98.0,771.0,0.0,30.0,6.47,83.1,1.0,14.5
3.6290000000000004,73,98.0,953.0,0.0,29.0,8.13,83.1,1.0,14.9
4.529,73,100.0,942.0,0.0,31.0,7.74,83.1,1.0,14.1
5.4590000000000005,73,100.0,973.0,1.0,30.0,7.94,83.1,1.0,14.9
6.418,73,100.0,956.0,1.0,30.0,7.97,83.1,1.0,14.9
7.32,73,100.0,935.0,2.0,30.0,7.94,83.1,1.0,14.1
8.249,73,100.0,968.0,1.0,29.0,8.19,83.1,1.0,15.7
9.149000000000001,73,101.0,902.0,1.0,29.0,8.05,83.1,1.0,15.3
10.049000000000001,73,101.0,940.0,2.0,29.0,8.24,83.1,1.0,15.3
10.950000000000001,73,101.0,1001.0,2.0,29.0,8.36,83.1,1.0,14.1
11.850000000000001,73,101.0,965.0,2.0,29.0,8.02,83.1,1.0,14.1
12.779,73,101.0,902.0,1.0,28.0,7.58,83.1,1.0,14.9
13.680000000000001,73,100.0,938.0,0.0,28.0,8.16,83.1,1.0,15.3
14.58,73,100.0,919.0,0.0,28.0,7.99,83.1,1.0,15.3
15.48,73,101.0,909.0,1.0,28.0,8.19,83.1,1.0,15.3
16.379,73,101.0,927.0,2.0,28.0,8.88,83.1,1.0,14.5
17.281000000000002,73,101.0,968.0,2.0,28.0,8.22,83.1,1.0,14.9
18.178,73,102.0,916.0,3.0,28.0,8.41,83.1,1.0,14.1
19.077,73,101.0,1006.0,4.0,28.0,8.47,83.1,1.0,14.5
19.974,73,102.0,965.0,4.0,28.0,8.36,83.1,1.0,14.5
20.873,73,102.0,999.0,5.0,28.0,8.72,83.1,1.0,14.1
21.771,73,102.0,986.0,4.0,28.0,8.86,83.1,1.0,14.1
22.700000000000003,73,102.0,979.0,4.0,28.0,8.77,83.1,1.0,14.1
23.598000000000003,73,102.0,972.0,4.0,28.0,8.88,83.1,1.0,14.1
24.497,73,102.0,968.0,4.0,28.0,8.72,83.1,1.0,14.9
25.396,73,101.0,929.0,4.0,27.0,8.44,83.1,1.0,14.9
26.294,73,101.0,947.0,4.0,27.0,8.86,83.1,1.0,14.1
27.164,73,101.0,987.0,4.0,28.0,8.72,83.1,1.0,14.1
28.063000000000002,73,102.0,971.0,4.0,27.0,8.63,83.1,1.0,14.1
28.937,73,102.0,922.0,3.0,27.0,8.72,83.1,1.0,15.3
29.831000000000003,73,101.0,951.0,3.0,27.0,8.83,83.1,1.0,14.9
30.73,73,102.0,953.0,4.0,27.0,8.69,83.1,1.0,14.9
31.599,73,102.0,943.0,4.0,27.0,8.72,83.1,1.0,14.9
32.499,73,102.0,938.0,6.0,27.0,8.61,83.1,1.0,14.9
33.338,73,102.0,956.0,8.0,26.0,9.52,83.1,1.0,20.4
34.179,73,103.0,1149.0,10.0,27.0,12.8,83.1,1.0,32.2
35.077000000000005,73,107.0,1437.0,13.0,28.0,18.05,83.1,1.0,37.6
35.916000000000004,73,121.0,1789.0,16.0,30.0,16.47,83.1,1.0,14.1
36.726,73,112.0,1100.0,16.0,32.0,9.16,83.1,1.0,27.5
37.594,73,109.0,1047.0,18.0,27.0,11.13,83.1,1.0,25.9
38.434000000000005,73,106.0,1182.0,20.0,28.0,9.86,83.1,1.0,25.5
39.276,73,103.0,1250.0,21.0,27.0,12.02,83.1,1.0,28.6
40.113,73,103.0,1303.0,22.0,27.0,13.49,83.1,1.0,30.2
40.923,73,108.0,1361.0,23.0,28.0,13.11,83.1,1.0,27.1
41.793,73,108.0,1400.0,24.0,28.0,12.08,83.1,1.0,24.7
42.692,73,103.0,1411.0,24.0,28.0,11.86,83.1,1.0,23.9
43.562000000000005,73,100.0,1411.0,24.0,27.0,11.69,83.1,1.0,23.9
44.462,73,99.0,1407.0,24.0,27.0,11.61,83.1,1.0,23.5
45.361000000000004,73,99.0,1395.0,24.0,27.0,11.44,83.1,1.0,24.7
46.231,73,99.0,1381.0,24.0,27.0,11.74,83.1,0.0,25.1
47.13,73,101.0,1384.0,24.0,27.0,11.88,83.1,0.0,25.1
48.002,73,103.0,1389.0,24.0,27.0,11.52,83.1,0.0,24.7
48.901,73,103.0,1391.0,24.0,27.0,11.83,83.1,0.0,14.1
49.741,73,102.0,1327.0,23.0,27.0,10.97,83.1,0.0,14.1
50.580000000000005,73,104.0,1214.0,21.0,26.0,10.55,83.1,0.0,14.1
51.419000000000004,73,103.0,1109.0,19.0,26.0,9.3,83.1,0.0,14.1
52.262,73,102.0,1042.0,17.0,25.0,8.58,83.1,0.0,14.1
53.162000000000006,73,102.0,1005.0,17.0,24.0,8.41,83.1,0.0,14.1
53.999,73,102.0,1003.0,16.0,24.0,8.97,83.1,0.0,14.1
54.749,73,102.0,1019.0,13.0,24.0,8.74,83.1,0.0,14.1
55.564,73,102.0,1034.0,7.0,24.0,8.86,83.1,0.0,14.1
56.399,73,102.0,1035.0,4.0,24.0,9.11,83.1,0.0,14.1
57.21,73,102.0,1038.0,3.0,25.0,9.19,83.1,0.0,15.3
57.99,74,102.0,1040.0,1.0,25.0,9.02,83.1,0.0,15.7
58.859,74,102.0,1022.0,1.0,25.0,8.61,83.1,0.0,16.1
59.609,74,102.0,1016.0,1.0,24.0,8.47,83.1,0.0,16.1
60.362,74,102.0,1024.0,0.0,24.0,8.41,83.1,0.0,14.1
61.108000000000004,74,103.0,1065.0,0.0,24.0,9.02,83.1,0.0,14.1
61.86000000000001,74,103.0,1056.0,0.0,25.0,9.19,83.1,0.0,14.1
62.608000000000004,74,103.0,1050.0,0.0,25.0,9.24,83.1,0.0,14.1
63.359,74,103.0,1046.0,0.0,25.0,9.05,83.1,0.0,14.1
