Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C],Accelerator Pedal Position [%]
0.0,16,99.0,0.0,0.0,9.0,0.88,89.0,9.0,14.1
0.93,16,99.0,0.0,0.0,9.0,0.88,89.0,9.0,14.1
1.83,16,100.0,0.0,0.0,9.0,0.88,89.0,9.0,14.1
2.7600000000000002,16,99.0,189.0,0.0,10.0,15.08,82.7,9.0,14.1
3.66,16,98.0,1019.0,0.0,22.0,17.22,83.1,9.0,14.1
4.5600000000000005,16,98.0,946.0,0.0,26.0,16.3,83.5,9.0,14.1
5.46,16,98.0,924.0,0.0,25.0,15.86,83.1,9.0,14.1
6.36,16,99.0,895.0,0.0,23.0,15.52,83.1,9.0,14.5
7.260000000000001,16,99.0,938.0,0.0,23.0,15.86,83.5,9.0,14.5
8.16,16,99.0,928.0,0.0,22.0,15.8,83.5,9.0,14.5
9.18,16,99.0,923.0,1.0,21.0,15.99,83.5,9.0,14.9
10.110000000000001,16,100.0,938.0,2.0,20.0,16.83,83.5,9.0,14.1
11.010000000000002,16,100.0,972.0,3.0,20.0,16.99,83.5,9.0,14.1
11.91,16,101.0,978.0,3.0,20.0,17.36,83.5,9.0,14.1
12.828000000000001,16,101.0,964.0,3.0,19.0,17.22,83.5,9.0,14.1
13.920000000000002,16,102.0,933.0,3.0,19.0,16.58,83.5,9.0,14.1
14.88,16,101.0,927.0,2.0,18.0,16.61,83.5,9.0,14.9
15.780000000000001,16,101.0,905.0,2.0,18.0,15.94,83.5,9.0,14.9
16.68,16,102.0,919.0,4.0,17.0,15.99,83.5,9.0,14.5
17.579,16,102.0,925.0,5.0,17.0,15.63,83.1,9.0,17.3
18.568,16,102.0,1082.0,8.0,16.0,20.83,83.5,9.0,30.2
19.467000000000002,16,108.0,1488.0,13.0,18.0,32.38,83.5,9.0,38.4
20.366,16,126.0,1834.0,16.0,20.0,26.55,31.0,9.0,17.3
21.235000000000003,16,98.0,944.0,17.0,18.0,17.91,82.0,9.0,23.9
22.134,16,105.0,1071.0,18.0,16.0,20.41,83.5,9.0,23.5
22.973000000000003,16,102.0,1144.0,20.0,16.0,20.61,83.5,9.0,23.5
23.873,16,99.0,1202.0,20.0,16.0,21.13,83.5,9.0,22.0
24.712000000000003,16,98.0,1190.0,20.0,16.0,20.91,83.5,9.0,22.4
25.551000000000002,16,98.0,1201.0,20.0,15.0,20.94,83.5,9.0,22.7
26.391000000000002,16,98.0,1229.0,21.0,15.0,21.11,83.5,9.0,26.7
27.32,16,98.0,1241.0,21.0,15.0,22.16,83.5,9.0,30.2
28.159000000000002,17,99.0,1328.0,23.0,15.0,24.08,83.5,9.0,30.2
29.089000000000002,17,101.0,1387.0,24.0,15.0,25.24,83.5,9.0,29.8
29.929000000000002,17,101.0,1425.0,24.0,16.0,26.41,83.5,9.0,29.8
30.828000000000003,17,101.0,1454.0,25.0,16.0,26.74,83.5,9.0,29.4
31.667,17,102.0,1476.0,25.0,16.0,26.83,83.5,9.0,14.1
32.597,17,102.0,1390.0,24.0,16.0,25.24,83.5,9.0,19.6
33.467,17,106.0,1248.0,21.0,15.0,23.11,83.5,9.0,22.4
34.366,17,107.0,1211.0,20.0,14.0,21.47,83.5,9.0,21.6
35.236000000000004,17,100.0,1181.0,20.0,13.0,20.61,83.5,8.0,25.9
