Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C],Accelerator Pedal Position [%]
0.0,13,95.0,932.0,0.0,19.0,15.8,83.1,3.0,14.1
0.8400000000000001,13,96.0,935.0,0.0,18.0,15.63,83.1,3.0,14.1
1.6800000000000002,13,96.0,935.0,0.0,18.0,15.97,83.1,3.0,14.1
2.611,13,96.0,936.0,0.0,17.0,15.97,83.1,3.0,14.1
3.4810000000000003,13,96.0,951.0,0.0,17.0,16.05,83.1,3.0,14.5
4.321000000000001,13,96.0,964.0,0.0,16.0,16.58,83.1,3.0,14.1
5.131,13,97.0,981.0,0.0,16.0,16.91,83.1,3.0,14.1
5.970000000000001,13,97.0,982.0,0.0,16.0,16.97,83.1,3.0,14.5
6.87,13,98.0,988.0,0.0,16.0,16.91,83.1,3.0,14.5
7.74,13,98.0,985.0,0.0,15.0,17.13,83.1,3.0,14.5
8.64,13,99.0,1009.0,1.0,15.0,17.44,83.1,3.0,14.5
9.51,13,100.0,1009.0,2.0,15.0,17.77,83.1,3.0,14.5
10.440000000000001,13,100.0,1082.0,3.0,14.0,19.41,83.1,3.0,14.1
11.34,13,98.0,1060.0,3.0,14.0,18.72,83.1,3.0,14.1
12.24,13,99.0,1054.0,3.0,14.0,18.52,83.1,3.0,14.1
13.081000000000001,13,100.0,1040.0,3.0,14.0,18.49,83.1,3.0,14.1
13.920000000000002,13,101.0,1026.0,3.0,13.0,17.99,83.1,3.0,14.5
14.761000000000001,14,101.0,994.0,4.0,13.0,17.77,83.1,3.0,14.5
15.601,14,102.0,996.0,6.0,13.0,17.55,83.1,3.0,17.3
16.531000000000002,14,102.0,1071.0,9.0,13.0,21.36,83.1,3.0,31.0
17.43,14,110.0,1525.0,13.0,15.0,33.24,83.1,3.0,30.2
18.27,14,117.0,1698.0,15.0,16.0,28.19,83.1,3.0,14.1
19.11,14,100.0,1201.0,15.0,14.0,20.58,83.1,3.0,14.1
19.950000000000003,14,97.0,1090.0,15.0,13.0,18.36,83.1,3.0,14.1
20.76,14,98.0,1056.0,15.0,13.0,18.44,83.1,3.0,14.1
21.572000000000003,14,100.0,1049.0,15.0,12.0,18.52,83.1,3.0,14.1
22.351000000000003,14,101.0,1049.0,14.0,12.0,18.77,83.1,3.0,14.1
23.161,14,102.0,1046.0,14.0,12.0,18.69,83.1,3.0,14.1
23.911,14,102.0,1036.0,14.0,12.0,18.22,83.1,3.0,14.1
24.66,14,102.0,1028.0,14.0,12.0,18.3,83.1,3.0,14.1
25.411,14,103.0,1034.0,14.0,12.0,18.52,83.1,3.0,14.1
26.161,14,103.0,1040.0,14.0,12.0,18.55,83.1,3.0,14.1
26.91,14,103.0,1042.0,13.0,12.0,18.83,83.1,3.0,14.1
27.661,14,103.0,1044.0,13.0,12.0,18.66,83.1,3.0,14.1
28.411,14,103.0,1042.0,13.0,12.0,18.74,83.1,3.0,14.1
29.161,14,103.0,1044.0,12.0,12.0,18.63,83.1,3.0,14.1
29.911,14,103.0,1045.0,8.0,12.0,18.91,83.1,3.0,14.1
30.66,14,103.0,1043.0,4.0,12.0,18.61,83.1,3.0,14.1
31.410000000000004,14,103.0,1042.0,1.0,12.0,18.99,83.1,3.0,14.1
32.161,14,103.0,1042.0,0.0,12.0,18.91,83.1,3.0,14.1
32.911,14,103.0,1042.0,0.0,12.0,18.69,83.1,3.0,14.1
33.661,14,103.0,1042.0,0.0,12.0,18.66,83.1,3.0,14.1
34.413000000000004,14,103.0,1040.0,0.0,12.0,18.72,83.1,3.0,14.1
35.161,14,103.0,1040.0,0.0,11.0,18.74,83.1,3.0,14.1
35.911,14,103.0,1042.0,0.0,11.0,18.63,83.1,3.0,14.1
36.81,14,103.0,1041.0,0.0,11.0,18.69,83.1,3.0,14.1
37.561,15,103.0,1040.0,0.0,11.0,18.55,83.1,3.0,14.1
38.311,15,103.0,1041.0,0.0,11.0,18.72,83.1,2.0,14.1
39.151,15,103.0,1042.0,0.0,11.0,18.74,83.1,2.0,14.1
39.900000000000006,15,103.0,1043.0,0.0,11.0,18.86,83.1,2.0,14.1
40.651,15,103.0,1041.0,0.0,11.0,18.66,83.1,2.0,14.1
41.400000000000006,15,103.0,1040.0,0.0,11.0,18.69,83.1,2.0,15.3
42.151,15,103.0,1007.0,0.0,11.0,17.47,83.1,2.0,14.1
42.901,15,103.0,1067.0,0.0,11.0,19.22,83.1,2.0,15.7
43.651,15,103.0,1032.0,0.0,11.0,17.44,83.1,2.0,19.2
44.401,15,104.0,959.0,2.0,11.0,16.83,83.1,2.0,20.0
45.21,15,105.0,1077.0,7.0,11.0,19.47,83.1,2.0,21.2
45.963,15,109.0,1290.0,11.0,11.0,27.08,83.1,2.0,34.1
46.712,15,122.0,1565.0,14.0,13.0,36.3,83.1,2.0,29.8
47.521,15,121.0,1586.0,14.0,14.0,32.63,83.1,2.0,24.7
48.301,15,109.0,1494.0,13.0,13.0,27.22,83.1,2.0,14.1
49.051,15,102.0,1276.0,10.0,13.0,21.77,83.1,2.0,14.1
49.801,15,97.0,1130.0,7.0,12.0,18.88,83.1,2.0,15.7
50.550000000000004,15,96.0,1053.0,4.0,11.0,17.55,83.1,2.0,16.5
51.361000000000004,16,99.0,1013.0,3.0,10.0,17.38,83.1,2.0,14.1
52.114000000000004,16,101.0,996.0,3.0,10.0,17.27,83.1,2.0,14.9
52.864000000000004,16,102.0,987.0,5.0,10.0,17.24,83.5,2.0,15.3
53.61300000000001,16,104.0,986.0,9.0,10.0,18.74,83.1,2.0,18.0
54.36300000000001,16,101.0,1209.0,10.0,11.0,21.24,83.1,2.0,14.1
55.11300000000001,16,97.0,1162.0,11.0,11.0,19.49,83.1,1.0,14.1
55.861000000000004,16,96.0,1083.0,10.0,11.0,17.8,83.1,1.0,14.1
56.61300000000001,16,98.0,1045.0,6.0,11.0,17.99,83.1,1.0,14.1
57.362,16,100.0,1042.0,3.0,11.0,18.08,83.1,1.0,14.1
58.11300000000001,16,101.0,1039.0,0.0,11.0,18.19,83.1,1.0,14.1
58.864000000000004,16,102.0,1042.0,0.0,11.0,18.44,83.1,1.0,14.1
59.61300000000001,16,102.0,1041.0,0.0,11.0,18.41,83.1,1.0,14.1
