Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C],Accelerator Pedal Position [%]
0.0,89,98.0,770.0,0.0,-13.0,6.77,83.1,-1.0,14.1
0.808,89,98.0,769.0,0.0,-13.0,6.61,83.5,-1.0,14.1
1.588,89,98.0,771.0,0.0,-12.0,6.55,83.5,-1.0,14.1
2.487,89,98.0,772.0,0.0,-11.0,6.58,83.5,-1.0,14.1
3.297,89,98.0,771.0,0.0,-11.0,6.69,83.5,-1.0,14.1
4.141,89,98.0,772.0,0.0,-10.0,6.77,83.1,-1.0,14.1
4.976,89,98.0,770.0,0.0,-10.0,6.74,83.5,-1.0,14.1
5.696000000000001,89,98.0,772.0,0.0,-9.0,6.8,83.5,0.0,14.1
6.448,89,98.0,770.0,0.0,-9.0,6.83,83.5,0.0,14.1
7.195,89,98.0,770.0,0.0,-8.0,6.61,83.5,0.0,14.1
7.948,89,98.0,768.0,0.0,-8.0,6.72,83.5,0.0,14.1
8.695,89,98.0,770.0,0.0,-7.0,6.63,83.5,0.0,14.1
9.444,89,98.0,769.0,0.0,-6.0,7.02,83.5,0.0,18.0
10.285,89,99.0,893.0,0.0,-5.0,9.05,83.5,0.0,20.0
11.093,89,101.0,1038.0,0.0,-2.0,7.02,83.5,0.0,16.9
11.845,89,103.0,938.0,0.0,-4.0,8.8,83.5,0.0,17.3
12.652000000000001,88,103.0,1007.0,1.0,-1.0,8.11,83.5,0.0,15.7
13.433000000000002,88,103.0,969.0,1.0,-2.0,8.97,83.5,0.0,16.5
14.182,88,103.0,941.0,1.0,-2.0,8.66,83.5,0.0,14.1
14.932,88,103.0,999.0,2.0,-1.0,8.27,83.5,0.0,14.5
15.681000000000001,88,103.0,976.0,1.0,0.0,8.3,83.5,0.0,15.7
16.432000000000002,88,103.0,911.0,1.0,-1.0,8.36,83.5,0.0,16.1
17.211000000000002,88,102.0,927.0,2.0,0.0,8.63,83.5,0.0,14.5
17.962,88,102.0,967.0,2.0,1.0,8.44,83.5,0.0,18.4
18.831,88,103.0,934.0,2.0,1.0,8.61,83.5,0.0,18.4
19.582,88,103.0,965.0,3.0,1.0,9.19,83.5,0.0,14.1
20.331,88,102.0,981.0,2.0,2.0,8.05,83.5,0.0,14.1
21.081000000000003,88,102.0,907.0,1.0,1.0,7.99,83.5,0.0,15.3
21.830000000000002,88,101.0,942.0,0.0,2.0,8.55,83.1,0.0,15.3
22.67,88,101.0,924.0,0.0,2.0,8.44,83.1,0.0,15.3
23.481,88,101.0,941.0,1.0,2.0,8.41,83.5,0.0,15.3
24.231,88,101.0,942.0,2.0,3.0,8.3,83.5,0.0,14.1
25.131,88,101.0,986.0,2.0,3.0,8.58,83.5,0.0,15.7
25.881,88,102.0,924.0,3.0,4.0,8.24,83.5,0.0,15.7
26.631,88,102.0,898.0,4.0,4.0,8.38,83.5,0.0,16.1
27.380000000000003,88,102.0,906.0,7.0,4.0,8.97,83.5,0.0,17.6
28.135,88,102.0,997.0,9.0,5.0,10.49,83.5,0.0,25.5
28.881,88,105.0,1336.0,12.0,7.0,17.8,83.5,0.0,39.2
29.630000000000003,88,119.0,1757.0,16.0,10.0,23.63,83.5,0.0,37.6
30.381,88,130.0,2111.0,18.0,11.0,27.08,83.5,0.0,14.1
31.189000000000004,88,120.0,1465.0,19.0,11.0,9.99,83.5,0.0,14.1
31.969,88,113.0,982.0,18.0,8.0,13.66,83.5,0.0,14.1
