Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C],Accelerator Pedal Position [%]
0.0,11,102.0,1041.0,0.0,10.0,19.13,83.1,2.0,14.1
0.781,11,102.0,1042.0,0.0,9.0,19.08,83.1,2.0,14.1
1.62,11,102.0,1026.0,0.0,9.0,18.41,83.1,2.0,14.1
2.431,11,102.0,1026.0,0.0,9.0,18.52,83.1,2.0,14.5
3.181,11,102.0,1032.0,0.0,9.0,18.83,83.1,2.0,14.5
4.08,11,103.0,1011.0,0.0,9.0,17.99,83.1,2.0,15.3
4.831,11,103.0,1005.0,0.0,9.0,18.22,83.1,2.0,15.3
5.67,11,103.0,1021.0,0.0,9.0,18.55,83.1,2.0,15.7
6.481000000000001,11,104.0,1032.0,1.0,8.0,18.86,83.1,2.0,15.7
7.23,11,104.0,1071.0,1.0,8.0,20.02,83.1,2.0,14.1
7.982,11,105.0,1061.0,1.0,9.0,19.66,83.1,2.0,14.5
8.731,11,105.0,1047.0,1.0,9.0,19.33,83.1,2.0,14.9
9.48,11,105.0,1017.0,1.0,8.0,18.33,83.1,2.0,14.9
10.32,11,105.0,1013.0,2.0,8.0,18.61,83.1,2.0,15.3
11.071000000000002,11,105.0,1021.0,2.0,8.0,18.8,83.1,2.0,14.1
11.88,11,105.0,1069.0,1.0,8.0,19.8,83.1,2.0,15.3
12.631,11,105.0,1040.0,1.0,8.0,19.05,83.1,2.0,15.3
13.442,11,105.0,1033.0,1.0,8.0,19.08,83.1,2.0,14.1
14.22,11,105.0,1029.0,1.0,8.0,18.94,83.1,2.0,14.1
15.030000000000001,11,105.0,1058.0,1.0,8.0,19.36,83.1,2.0,14.1
15.869000000000002,11,105.0,1038.0,1.0,8.0,19.08,83.1,2.0,14.1
16.619,11,105.0,1033.0,1.0,8.0,19.33,83.1,2.0,14.1
17.371000000000002,11,105.0,1027.0,2.0,8.0,18.88,83.1,2.0,14.1
18.119,11,105.0,1025.0,3.0,8.0,18.97,83.1,2.0,14.1
18.869,11,105.0,1022.0,4.0,8.0,18.86,83.1,2.0,14.1
19.619,11,104.0,1096.0,3.0,8.0,19.41,83.1,2.0,14.9
20.43,11,101.0,1026.0,3.0,8.0,18.44,83.1,2.0,14.9
21.18,11,103.0,1002.0,4.0,8.0,18.24,83.1,2.0,14.1
21.93,11,103.0,1093.0,4.0,8.0,19.08,83.1,2.0,14.1
22.769000000000002,11,101.0,1057.0,1.0,8.0,18.88,83.1,2.0,14.1
23.519000000000002,11,103.0,1048.0,0.0,8.0,19.08,83.1,2.0,15.7
24.269000000000002,11,103.0,983.0,0.0,8.0,17.77,83.1,2.0,17.3
25.019000000000002,11,104.0,1011.0,2.0,7.0,18.38,83.1,2.0,14.1
25.769000000000002,11,104.0,1101.0,2.0,7.0,19.44,83.1,2.0,14.5
26.549000000000003,11,100.0,1063.0,2.0,8.0,18.86,83.1,2.0,14.1
27.269000000000002,12,102.0,1053.0,1.0,7.0,18.77,83.1,2.0,14.1
28.049000000000003,12,103.0,1048.0,1.0,7.0,18.86,83.1,2.0,14.9
28.949,12,103.0,1006.0,1.0,7.0,17.77,83.1,2.0,16.9
29.849,12,104.0,1013.0,0.0,7.0,18.91,83.1,2.0,14.5
30.749000000000002,12,104.0,1028.0,0.0,7.0,18.66,83.1,2.0,14.5
31.650000000000002,12,104.0,1037.0,1.0,7.0,19.27,83.1,2.0,14.1
32.549,12,105.0,1032.0,1.0,8.0,18.88,83.1,2.0,14.1
33.449000000000005,12,105.0,1031.0,2.0,7.0,18.47,83.1,2.0,14.1
34.349000000000004,12,105.0,1008.0,3.0,7.0,18.33,83.1,2.0,14.1
35.249,12,105.0,1003.0,5.0,7.0,18.58,83.1,2.0,14.9
36.149,12,106.0,999.0,7.0,7.0,16.61,83.1,2.0,14.1
37.079,12,106.0,1213.0,9.0,7.0,21.02,83.1,2.0,14.1
37.979,12,98.0,1097.0,6.0,8.0,18.72,83.1,2.0,14.1
38.879000000000005,12,99.0,1052.0,5.0,7.0,18.38,83.1,2.0,14.1
39.781000000000006,12,102.0,1044.0,1.0,7.0,18.66,83.1,2.0,14.1
40.681000000000004,12,103.0,1040.0,0.0,7.0,18.61,83.1,2.0,14.1
41.61,12,103.0,1043.0,0.0,7.0,18.74,83.1,2.0,14.1
42.539,13,104.0,1032.0,0.0,7.0,17.94,83.1,2.0,18.4
43.5,13,104.0,1008.0,0.0,7.0,18.02,83.1,2.0,18.4
44.399,13,105.0,1008.0,0.0,7.0,18.33,83.1,2.0,18.4
45.302,13,105.0,1027.0,2.0,7.0,18.91,83.1,2.0,14.1
46.198,13,101.0,1096.0,2.0,7.0,18.94,83.1,2.0,15.3
47.1,13,101.0,1036.0,1.0,7.0,18.63,83.1,2.0,15.3
47.999,13,103.0,1032.0,2.0,7.0,18.86,83.1,2.0,14.1
48.93,13,103.0,1060.0,1.0,7.0,19.13,83.1,2.0,14.5
49.830000000000005,13,104.0,1036.0,0.0,7.0,18.63,83.1,2.0,14.5
50.729000000000006,13,104.0,1028.0,0.0,7.0,18.69,83.1,2.0,14.5
51.629000000000005,13,104.0,1024.0,1.0,7.0,18.77,83.1,2.0,14.1
52.63,13,105.0,1034.0,1.0,7.0,18.94,83.1,2.0,14.1
53.550000000000004,13,105.0,1046.0,2.0,7.0,18.97,83.1,2.0,14.1
54.449000000000005,14,105.0,1053.0,2.0,7.0,19.05,83.1,2.0,14.9
55.35,14,105.0,1002.0,3.0,7.0,18.22,83.1,2.0,14.5
56.252,14,105.0,1017.0,4.0,7.0,18.58,83.1,2.0,14.9
57.150000000000006,14,105.0,1002.0,6.0,7.0,19.99,83.1,2.0,14.1
58.051,14,100.0,1089.0,6.0,7.0,18.63,83.1,2.0,14.5
58.978,14,100.0,1030.0,6.0,7.0,18.47,83.5,2.0,22.0
59.881,14,105.0,1100.0,9.0,8.0,20.72,83.1,2.0,25.9
60.779,14,111.0,1283.0,11.0,8.0,28.19,83.1,2.0,33.7
61.739000000000004,14,125.0,1522.0,13.0,10.0,35.72,83.5,2.0,32.5
62.67400000000001,14,126.0,1581.0,14.0,10.0,31.61,83.1,2.0,14.1
63.629000000000005,15,108.0,1071.0,11.0,10.0,19.86,83.1,2.0,14.1
64.589,15,107.0,1036.0,8.0,7.0,19.05,83.5,2.0,14.1
65.491,15,106.0,1036.0,6.0,7.0,18.66,83.1,2.0,14.1
66.38900000000001,15,105.0,1039.0,6.0,7.0,18.94,83.1,2.0,16.9
67.29,15,105.0,1009.0,5.0,7.0,18.33,83.5,2.0,14.1
68.18900000000001,15,105.0,1045.0,5.0,7.0,18.99,83.5,2.0,14.1
