Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C],Accelerator Pedal Position [%]
0.0,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.5
0.901,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.1
1.8010000000000002,4,106.0,272.0,0.0,0.0,19.08,83.1,1.0,14.1
2.701,4,94.0,1040.0,0.0,14.0,17.97,83.1,1.0,14.1
3.6010000000000004,4,95.0,1002.0,0.0,14.0,17.66,83.1,1.0,14.1
4.471,4,95.0,1001.0,0.0,13.0,17.11,83.1,1.0,14.1
5.371,4,95.0,994.0,0.0,13.0,17.16,83.1,1.0,14.5
6.2410000000000005,4,95.0,975.0,0.0,12.0,16.86,83.5,1.0,14.5
7.141,4,95.0,952.0,0.0,11.0,16.63,83.5,1.0,14.1
7.981000000000001,4,96.0,974.0,1.0,11.0,17.55,83.5,1.0,14.1
8.851,4,96.0,993.0,1.0,10.0,17.27,83.5,1.0,14.1
9.661000000000001,4,97.0,978.0,2.0,10.0,17.13,83.5,1.0,14.1
10.561,4,97.0,978.0,3.0,9.0,18.08,83.5,1.0,14.1
11.401000000000002,4,98.0,1031.0,3.0,9.0,18.22,83.5,1.0,14.1
12.241000000000001,4,98.0,1018.0,3.0,8.0,18.16,83.5,1.0,14.1
13.081000000000001,4,99.0,976.0,3.0,8.0,17.24,83.5,1.0,14.1
13.862,4,99.0,944.0,4.0,7.0,16.91,83.5,1.0,14.1
14.700000000000001,4,99.0,948.0,5.0,7.0,17.22,83.5,1.0,14.1
15.481000000000002,4,99.0,975.0,8.0,7.0,17.49,83.5,1.0,21.6
16.321,4,101.0,1187.0,10.0,7.0,24.08,83.5,1.0,27.5
17.161,4,108.0,1442.0,13.0,8.0,30.97,83.5,1.0,14.1
18.001,4,106.0,1215.0,13.0,9.0,22.41,83.5,1.0,14.5
18.810000000000002,4,100.0,1094.0,13.0,7.0,19.66,83.1,1.0,17.6
19.651,4,100.0,886.0,14.0,6.0,16.08,83.5,1.0,17.3
20.401,4,102.0,991.0,17.0,5.0,21.91,83.5,1.0,14.1
21.150000000000002,4,103.0,1210.0,17.0,6.0,22.66,83.5,1.0,14.1
21.901,4,101.0,1102.0,17.0,6.0,19.77,83.5,1.0,14.1
22.650000000000002,4,100.0,1050.0,17.0,5.0,19.33,83.1,0.0,14.5
23.401,4,102.0,1026.0,16.0,5.0,18.99,83.1,0.0,14.5
24.149,4,102.0,1026.0,16.0,5.0,18.83,83.5,0.0,14.1
24.900000000000002,4,103.0,1028.0,16.0,5.0,18.97,83.5,0.0,14.1
25.650000000000002,4,103.0,1032.0,14.0,4.0,19.24,83.1,0.0,14.1
26.400000000000002,5,103.0,1038.0,13.0,5.0,18.99,83.1,0.0,14.1
27.150000000000002,5,103.0,1036.0,11.0,4.0,19.19,83.5,0.0,14.1
27.900000000000002,5,103.0,1037.0,8.0,4.0,19.22,83.5,0.0,14.1
28.651000000000003,5,104.0,1037.0,4.0,4.0,19.38,83.5,0.0,14.5
29.463,5,104.0,1017.0,2.0,4.0,18.86,83.5,0.0,14.1
30.269000000000002,5,103.0,983.0,1.0,4.0,17.99,83.5,0.0,14.1
31.200000000000003,5,103.0,990.0,0.0,4.0,18.05,83.5,0.0,14.1
32.039,5,103.0,989.0,0.0,4.0,18.44,83.5,0.0,14.5
32.819,5,103.0,1020.0,0.0,4.0,18.77,83.5,0.0,14.1
33.6,5,103.0,1039.0,0.0,4.0,19.41,83.5,0.0,14.5
34.35,5,104.0,1038.0,0.0,4.0,19.55,83.5,0.0,14.1
35.101,6,104.0,1042.0,0.0,4.0,19.52,83.5,0.0,14.1
35.85,6,104.0,1045.0,0.0,4.0,19.66,83.5,0.0,14.1
36.601,6,104.0,1045.0,0.0,4.0,19.41,83.5,0.0,14.1
37.35,6,105.0,1044.0,0.0,4.0,19.47,83.5,0.0,14.1
38.103,6,105.0,1042.0,0.0,4.0,19.69,83.5,0.0,14.1
38.852000000000004,6,105.0,1042.0,0.0,4.0,19.38,83.5,0.0,14.1
39.6,6,104.0,1043.0,0.0,4.0,19.44,83.5,-1.0,14.1
40.352000000000004,6,105.0,1044.0,0.0,4.0,19.63,83.5,-1.0,14.1
41.190000000000005,7,105.0,1042.0,0.0,3.0,19.58,83.5,-1.0,14.5
41.941,7,105.0,1023.0,0.0,3.0,18.99,83.5,-1.0,14.9
42.689,7,105.0,997.0,0.0,3.0,18.49,83.5,-1.0,14.5
43.439,7,105.0,988.0,1.0,3.0,18.52,83.5,-1.0,14.5
44.189,7,105.0,987.0,3.0,3.0,18.38,83.5,-1.0,14.5
45.059000000000005,7,106.0,986.0,5.0,3.0,18.63,83.5,-1.0,14.5
45.93,7,107.0,1118.0,10.0,3.0,22.05,83.5,-1.0,15.7
46.650000000000006,7,106.0,1143.0,10.0,4.0,20.91,83.5,-1.0,18.0
47.400000000000006,8,103.0,1042.0,9.0,4.0,18.52,83.5,-1.0,19.6
48.151,8,105.0,990.0,8.0,3.0,18.69,83.5,-1.0,19.6
48.900000000000006,8,107.0,1009.0,9.0,3.0,19.11,83.5,-1.0,20.4
49.650000000000006,8,108.0,1039.0,9.0,3.0,19.74,83.5,-1.0,22.0
50.400000000000006,8,110.0,1091.0,9.0,4.0,21.36,83.5,-2.0,20.4
51.150000000000006,8,112.0,1088.0,9.0,4.0,23.69,83.5,-2.0,14.1
51.902,8,104.0,1134.0,5.0,4.0,20.27,83.5,-2.0,18.8
52.739000000000004,8,102.0,996.0,3.0,4.0,17.63,83.5,-2.0,19.2
53.639,8,104.0,976.0,3.0,3.0,17.91,83.5,-2.0,19.2
54.539,9,106.0,937.0,6.0,3.0,17.77,83.5,-2.0,20.8
55.439,9,109.0,1264.0,12.0,3.0,29.49,83.5,-2.0,25.9
56.339000000000006,9,122.0,1354.0,14.0,5.0,21.94,31.0,-2.0,14.1
57.239000000000004,9,102.0,1129.0,14.0,3.0,19.88,83.5,-2.0,14.5
58.139,9,100.0,1056.0,11.0,3.0,19.08,83.5,-2.0,14.1
59.069,9,103.0,1044.0,6.0,3.0,19.36,83.5,-2.0,14.1
59.969,9,104.0,1044.0,4.0,3.0,19.33,83.5,-3.0,14.1
60.86900000000001,10,105.0,1042.0,4.0,3.0,18.58,83.5,-3.0,16.5
61.77,10,105.0,939.0,7.0,3.0,17.61,83.5,-3.0,20.4
62.67,10,107.0,1212.0,10.0,2.0,25.41,83.5,-3.0,33.7
63.599000000000004,10,119.0,1587.0,14.0,4.0,39.55,83.5,-3.0,44.7
64.501,10,152.0,2036.0,18.0,6.0,60.52,83.5,-3.0,14.1
65.4,10,101.0,1350.0,20.0,5.0,21.63,31.0,-3.0,34.9
66.301,10,108.0,1254.0,21.0,3.0,26.24,83.5,-3.0,14.1
67.199,10,104.0,1151.0,22.0,3.0,20.33,83.5,-3.0,14.5
68.101,10,99.0,1054.0,19.0,2.0,18.94,83.5,-4.0,14.1
69.0,11,102.0,1045.0,13.0,2.0,19.16,83.5,-4.0,14.1
69.9,11,104.0,1043.0,7.0,2.0,19.49,83.5,-4.0,14.1
70.80000000000001,11,105.0,1045.0,4.0,2.0,19.3,83.5,-4.0,14.1
71.7,11,105.0,1043.0,2.0,2.0,19.66,83.5,-4.0,14.1
72.60000000000001,11,105.0,1040.0,1.0,2.0,19.08,83.5,-4.0,14.5
73.5,11,105.0,1038.0,1.0,2.0,19.36,83.5,-4.0,14.1
74.4,11,105.0,1041.0,0.0,2.0,19.33,83.5,-4.0,14.1
75.30000000000001,11,105.0,1039.0,0.0,2.0,19.55,83.5,-4.0,14.1
76.23,11,105.0,1042.0,0.0,2.0,19.58,83.5,-4.0,14.1
77.131,11,105.0,1041.0,0.0,2.0,19.3,83.5,-4.0,14.1
78.06,11,105.0,1041.0,0.0,2.0,19.22,83.5,-4.0,14.1
78.96000000000001,11,105.0,1042.0,0.0,2.0,19.22,83.5,-4.0,14.1
