Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C],Accelerator Pedal Position [%]
0.0,17,97.0,0.0,0.0,12.0,0.88,89.0,9.0,14.1
0.8700000000000001,17,97.0,0.0,0.0,12.0,0.88,89.0,9.0,14.1
1.77,17,97.0,0.0,0.0,12.0,0.88,89.0,9.0,14.1
2.73,17,97.0,0.0,0.0,12.0,0.88,89.0,9.0,14.1
3.6300000000000003,17,97.0,0.0,0.0,12.0,0.88,89.0,9.0,14.1
4.470000000000001,17,97.0,0.0,0.0,12.0,0.88,89.0,9.0,14.1
5.340000000000001,17,97.0,0.0,0.0,12.0,0.88,89.0,9.0,14.1
6.151000000000001,17,97.0,0.0,0.0,12.0,0.88,89.0,9.0,14.1
7.050000000000001,17,97.0,0.0,0.0,12.0,0.88,89.0,9.0,14.1
7.891000000000001,17,97.0,0.0,0.0,12.0,0.88,89.0,9.0,14.5
8.73,17,97.0,0.0,0.0,12.0,0.88,89.0,9.0,14.1
9.601,17,97.0,0.0,0.0,12.0,0.88,89.0,9.0,14.1
10.441,17,97.0,0.0,0.0,12.0,0.88,89.0,9.0,14.1
11.251000000000001,17,97.0,0.0,0.0,12.0,0.88,89.0,9.0,14.1
12.092,17,97.0,0.0,0.0,12.0,0.88,89.0,9.0,14.5
12.9,17,97.0,0.0,0.0,12.0,0.88,89.0,9.0,14.5
13.74,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.1
14.551,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.1
15.331000000000001,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.1
16.202,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.1
17.041,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.1
17.82,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.1
18.601000000000003,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.1
19.44,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.5
20.220000000000002,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.1
21.001,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.1
21.841,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.5
22.591,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.1
23.37,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.1
24.240000000000002,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.1
24.991000000000003,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.1
25.830000000000002,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.5
26.73,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.1
27.540000000000003,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.1
28.291,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.1
29.130000000000003,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.1
29.971000000000004,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.1
30.78,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.5
31.591,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.1
32.371,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.1
33.39,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.1
34.230000000000004,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.1
34.980000000000004,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.1
35.731,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.1
36.691,17,97.0,0.0,0.0,13.0,0.88,89.0,9.0,14.1
