Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C],Accelerator Pedal Position [%]
0.0,12,95.0,0.0,0.0,6.0,0.88,89.0,5.0,14.1
0.781,12,95.0,0.0,0.0,6.0,0.88,89.0,5.0,14.1
1.62,12,95.0,0.0,0.0,6.0,0.88,89.0,5.0,14.5
2.431,12,95.0,0.0,0.0,6.0,0.88,89.0,5.0,14.1
3.27,12,95.0,0.0,0.0,6.0,0.88,89.0,5.0,14.5
4.17,12,95.0,0.0,0.0,6.0,0.88,89.0,5.0,14.1
5.04,12,95.0,0.0,0.0,6.0,0.88,89.0,5.0,14.1
5.91,12,95.0,0.0,0.0,6.0,0.88,89.0,5.0,14.5
6.720000000000001,12,95.0,0.0,0.0,6.0,0.88,89.0,5.0,14.1
7.62,12,95.0,184.0,0.0,10.0,17.22,82.7,5.0,14.1
8.431000000000001,12,93.0,1023.0,0.0,23.0,17.27,83.1,5.0,14.1
9.332,12,94.0,959.0,0.0,22.0,16.08,83.1,5.0,14.1
10.290000000000001,12,94.0,947.0,0.0,21.0,15.77,83.5,5.0,14.5
11.100000000000001,12,94.0,917.0,0.0,20.0,14.99,83.1,5.0,14.1
11.91,12,94.0,918.0,0.0,19.0,15.38,83.1,5.0,14.1
12.72,12,94.0,937.0,0.0,19.0,15.91,83.5,5.0,14.1
13.530000000000001,12,95.0,937.0,0.0,18.0,15.69,83.1,5.0,14.1
14.340000000000002,12,95.0,983.0,1.0,17.0,16.61,83.5,5.0,14.1
15.24,12,95.0,969.0,0.0,17.0,16.16,83.5,5.0,14.5
16.05,12,96.0,940.0,0.0,16.0,15.88,83.5,5.0,14.1
16.771,12,96.0,941.0,1.0,16.0,15.99,83.5,5.0,14.1
17.61,12,96.0,975.0,1.0,16.0,16.61,83.5,5.0,14.1
18.51,12,97.0,961.0,0.0,15.0,16.44,83.5,5.0,14.1
19.380000000000003,12,97.0,952.0,0.0,15.0,16.33,83.5,5.0,14.1
20.19,12,97.0,951.0,0.0,15.0,16.33,83.5,5.0,14.1
21.09,12,97.0,939.0,0.0,14.0,15.83,83.5,5.0,14.1
21.990000000000002,12,97.0,935.0,0.0,14.0,15.74,83.5,5.0,14.1
22.771,12,97.0,967.0,0.0,14.0,16.72,83.5,5.0,14.1
23.611,12,97.0,962.0,0.0,14.0,16.61,83.5,5.0,14.1
24.361,12,97.0,943.0,0.0,13.0,16.41,83.5,5.0,14.1
25.17,12,97.0,934.0,0.0,13.0,15.88,83.5,5.0,14.1
25.98,12,97.0,961.0,1.0,13.0,16.49,83.5,5.0,14.1
26.76,12,98.0,955.0,1.0,13.0,16.36,83.5,5.0,14.1
27.571,12,98.0,952.0,1.0,13.0,16.8,83.5,5.0,14.1
28.35,12,98.0,955.0,1.0,13.0,16.27,83.5,5.0,14.1
29.130000000000003,13,98.0,943.0,1.0,13.0,16.19,83.5,5.0,14.1
29.909000000000002,13,98.0,972.0,1.0,12.0,16.61,83.5,5.0,14.1
30.810000000000002,13,98.0,963.0,1.0,13.0,16.74,83.5,5.0,14.1
31.650000000000002,13,98.0,931.0,1.0,12.0,15.74,83.5,5.0,14.1
32.611000000000004,13,98.0,922.0,2.0,12.0,15.83,83.5,5.0,14.1
33.509,13,98.0,922.0,3.0,12.0,15.74,83.5,5.0,14.1
34.5,13,98.0,904.0,5.0,12.0,15.33,83.5,5.0,14.5
35.49,13,99.0,997.0,9.0,12.0,18.97,83.5,5.0,31.4
36.39,13,103.0,1420.0,13.0,13.0,29.83,83.5,5.0,34.5
37.32,13,114.0,1683.0,15.0,15.0,27.16,83.5,5.0,14.1
38.279,13,107.0,1046.0,15.0,13.0,17.41,83.5,5.0,14.1
39.181000000000004,13,104.0,1072.0,16.0,11.0,19.02,83.5,5.0,14.1
40.080000000000005,13,103.0,1015.0,16.0,11.0,18.11,83.5,5.0,14.1
40.980000000000004,13,102.0,999.0,16.0,11.0,17.74,83.5,5.0,14.1
41.88,13,101.0,990.0,16.0,11.0,17.55,83.5,5.0,14.1
42.78,13,100.0,989.0,16.0,11.0,17.3,83.5,5.0,14.1
43.68,13,100.0,986.0,14.0,11.0,17.33,83.5,5.0,14.1
44.580000000000005,13,100.0,981.0,13.0,11.0,16.99,83.5,5.0,14.1
45.510000000000005,13,100.0,981.0,10.0,11.0,17.11,83.5,5.0,14.1
46.440000000000005,13,100.0,982.0,9.0,11.0,17.33,83.5,5.0,14.1
47.370000000000005,13,100.0,978.0,7.0,11.0,16.88,83.5,5.0,14.1
48.330000000000005,13,100.0,982.0,5.0,11.0,17.16,83.5,5.0,14.1
49.32,13,100.0,978.0,3.0,11.0,16.86,83.5,5.0,14.1
50.249,13,99.0,929.0,1.0,11.0,16.22,83.5,5.0,14.1
51.18,13,99.0,931.0,0.0,10.0,16.22,83.5,5.0,14.1
52.080000000000005,13,99.0,931.0,0.0,10.0,16.19,83.5,5.0,14.1
53.009,13,98.0,927.0,0.0,10.0,16.02,83.5,5.0,14.1
53.910000000000004,13,98.0,928.0,0.0,10.0,16.05,83.5,5.0,14.1
54.809000000000005,13,98.0,929.0,0.0,10.0,15.91,83.5,5.0,14.1
55.71,13,98.0,928.0,0.0,10.0,15.94,83.1,5.0,14.1
56.61000000000001,13,98.0,929.0,0.0,10.0,16.27,83.5,5.0,14.9
57.510000000000005,14,98.0,905.0,0.0,10.0,15.52,83.5,5.0,14.9
58.410000000000004,14,99.0,908.0,1.0,10.0,15.47,83.5,5.0,14.9
59.370000000000005,14,99.0,913.0,4.0,10.0,15.55,83.5,5.0,14.1
60.27,14,99.0,1052.0,5.0,10.0,18.44,83.5,5.0,14.1
61.17,14,100.0,1012.0,5.0,11.0,17.88,83.5,4.0,14.5
62.07000000000001,14,100.0,962.0,4.0,11.0,15.86,83.5,4.0,16.1
62.970000000000006,14,100.0,911.0,7.0,11.0,15.94,83.5,4.0,16.5
63.870000000000005,14,101.0,1023.0,9.0,10.0,18.19,83.5,4.0,21.6
64.77000000000001,14,102.0,1038.0,9.0,11.0,18.8,83.5,4.0,21.2
65.67,14,104.0,1022.0,9.0,11.0,18.36,83.5,4.0,21.2
66.569,14,105.0,1014.0,9.0,11.0,18.8,83.5,4.0,21.2
67.47,14,105.0,1042.0,9.0,11.0,18.02,83.5,4.0,14.1
68.369,14,105.0,1092.0,7.0,11.0,18.97,83.1,4.0,15.3
69.30000000000001,14,101.0,1007.0,3.0,11.0,17.13,83.5,4.0,20.0
70.2,14,102.0,967.0,2.0,10.0,16.83,83.5,4.0,20.0
71.10000000000001,15,102.0,949.0,3.0,10.0,16.24,83.5,4.0,18.8
72.0,15,102.0,879.0,7.0,10.0,15.58,83.5,4.0,19.6
72.9,15,102.0,1177.0,10.0,10.0,20.77,83.5,4.0,25.5
73.80000000000001,15,102.0,1444.0,13.0,11.0,27.74,83.5,4.0,14.1
74.70100000000001,15,99.0,1163.0,13.0,13.0,19.27,83.5,4.0,14.1
75.60000000000001,15,96.0,1015.0,11.0,11.0,17.05,83.5,4.0,14.1
76.5,15,98.0,977.0,6.0,10.0,17.02,83.5,4.0,14.1
77.459,15,99.0,970.0,3.0,10.0,16.61,83.5,3.0,14.1
78.35900000000001,15,99.0,915.0,2.0,10.0,15.55,83.5,3.0,14.1
79.259,15,99.0,916.0,1.0,10.0,15.63,83.5,3.0,14.1
80.22,15,99.0,916.0,1.0,10.0,15.69,83.5,3.0,14.1
81.089,15,99.0,914.0,1.0,10.0,15.63,83.5,3.0,14.1
81.989,16,99.0,919.0,0.0,10.0,15.61,83.1,3.0,14.1
82.85900000000001,16,99.0,927.0,1.0,10.0,15.49,83.5,3.0,14.5
83.759,16,99.0,923.0,2.0,10.0,15.55,83.5,3.0,15.3
84.69000000000001,16,99.0,853.0,4.0,10.0,14.22,83.5,3.0,15.7
85.619,16,100.0,1102.0,9.0,10.0,21.24,83.5,3.0,35.7
86.55000000000001,16,110.0,1579.0,14.0,10.0,37.99,83.5,3.0,43.9
87.479,16,144.0,2115.0,19.0,15.0,49.41,83.5,3.0,14.1
88.409,16,95.0,1273.0,20.0,13.0,25.22,81.2,3.0,47.5
89.30900000000001,16,118.0,1379.0,24.0,11.0,20.77,31.0,3.0,14.1
90.72,17,94.0,1101.0,23.0,10.0,18.19,83.5,3.0,14.1
92.22,17,101.0,1028.0,11.0,9.0,17.83,83.5,3.0,14.1
93.72,17,101.0,1036.0,1.0,10.0,18.52,83.5,3.0,14.1
94.92,17,102.0,1040.0,0.0,10.0,18.52,83.5,3.0,14.1
96.42,17,103.0,1044.0,0.0,10.0,17.94,83.5,3.0,16.9
97.91900000000001,17,103.0,1041.0,1.0,10.0,18.94,83.5,3.0,14.1
99.41900000000001,18,103.0,1051.0,1.0,10.0,18.58,83.5,3.0,14.1
100.88900000000001,18,103.0,1042.0,1.0,10.0,18.55,83.5,3.0,14.1
102.35900000000001,18,103.0,1037.0,1.0,10.0,18.44,83.5,3.0,14.5
103.85900000000001,18,103.0,1022.0,2.0,10.0,18.05,83.5,3.0,14.5
104.879,18,103.0,1004.0,3.0,10.0,17.86,83.5,3.0,15.3
105.74900000000001,19,103.0,989.0,5.0,10.0,17.24,83.5,3.0,16.5
106.649,19,104.0,976.0,8.0,10.0,18.88,83.5,3.0,31.4
107.491,19,109.0,1528.0,13.0,10.0,36.8,83.5,3.0,44.7
108.38900000000001,19,143.0,2176.0,19.0,12.0,58.49,83.5,3.0,14.1
109.22900000000001,19,90.0,1641.0,21.0,14.0,24.44,35.3,3.0,44.7
110.069,19,111.0,1496.0,25.0,11.0,37.38,83.5,3.0,46.7
110.909,19,151.0,1783.0,31.0,11.0,39.47,83.5,3.0,16.5
111.74900000000001,19,105.0,1810.0,31.0,13.0,34.72,83.5,3.0,14.1
112.59,19,115.0,1751.0,30.0,12.0,31.66,83.5,2.0,14.1
113.489,20,98.0,1752.0,30.0,11.0,30.66,83.5,2.0,14.1
114.38900000000001,20,100.0,1772.0,30.0,11.0,32.61,83.5,2.0,14.1
115.16900000000001,20,103.0,1788.0,31.0,11.0,33.44,83.5,2.0,14.1
115.97900000000001,20,104.0,1803.0,31.0,11.0,33.88,83.5,2.0,14.1
116.789,20,105.0,1818.0,31.0,11.0,34.13,83.5,2.0,14.1
117.54,20,105.0,1833.0,31.0,11.0,34.52,83.5,2.0,14.1
118.379,20,105.0,1838.0,32.0,11.0,34.52,83.5,2.0,14.1
119.18900000000001,20,105.0,1856.0,32.0,11.0,35.08,83.5,2.0,14.1
119.94000000000001,21,105.0,1861.0,32.0,11.0,34.69,83.5,2.0,14.1
120.77900000000001,21,103.0,1819.0,31.0,11.0,20.36,23.1,2.0,21.6
121.58900000000001,21,59.0,1715.0,29.0,10.0,19.55,26.3,2.0,25.5
122.34,21,66.0,1614.0,28.0,8.0,18.05,25.5,2.0,16.5
123.179,21,62.0,1522.0,26.0,8.0,18.27,26.3,2.0,26.7
123.989,21,74.0,1516.0,25.0,8.0,24.44,41.2,1.0,36.9
124.798,21,99.0,1567.0,27.0,9.0,30.74,55.7,1.0,36.9
125.58000000000001,21,107.0,1682.0,29.0,11.0,30.24,29.8,1.0,36.5
126.47900000000001,21,96.0,1783.0,31.0,11.0,26.69,28.6,1.0,32.5
127.319,22,81.0,1843.0,32.0,10.0,26.99,28.6,1.0,32.2
128.15900000000002,22,81.0,1863.0,32.0,10.0,27.11,29.0,1.0,31.4
129.029,22,79.0,1842.0,32.0,10.0,24.8,28.2,1.0,30.2
129.78,22,76.0,1839.0,31.0,9.0,25.24,29.0,1.0,30.2
130.619,22,77.0,1828.0,31.0,9.0,25.05,29.4,1.0,30.2
131.428,22,77.0,1817.0,31.0,9.0,25.33,29.4,1.0,28.6
132.18,22,75.0,1793.0,31.0,9.0,24.02,28.6,1.0,27.8
133.019,22,74.0,1758.0,30.0,8.0,19.16,26.3,1.0,14.1
133.829,23,62.0,1636.0,28.0,8.0,17.38,25.1,1.0,14.1
134.609,23,64.0,1130.0,26.0,8.0,12.72,22.7,1.0,14.1
135.419,23,65.0,1060.0,24.0,6.0,11.63,22.7,1.0,14.1
136.229,23,66.0,1046.0,22.0,6.0,11.97,23.1,1.0,14.1
136.98000000000002,23,67.0,1038.0,19.0,7.0,12.08,23.1,1.0,14.1
137.81900000000002,23,68.0,1036.0,18.0,7.0,11.91,23.1,1.0,14.1
138.62900000000002,23,68.0,1032.0,17.0,7.0,12.05,23.1,1.0,14.1
139.382,24,68.0,1035.0,17.0,7.0,11.91,23.1,1.0,14.1
140.21900000000002,24,67.0,1034.0,17.0,7.0,11.94,23.1,1.0,14.1
140.999,24,67.0,1033.0,17.0,7.0,11.88,23.1,1.0,14.5
141.78,24,67.0,1033.0,17.0,7.0,11.86,23.1,1.0,14.1
142.53,24,67.0,1032.0,17.0,8.0,11.77,22.7,1.0,14.1
143.28,24,66.0,1017.0,17.0,8.0,11.19,22.4,1.0,14.1
144.119,24,64.0,1030.0,17.0,8.0,11.22,22.4,1.0,14.1
144.869,25,64.0,1028.0,17.0,8.0,11.11,22.4,1.0,14.1
145.679,25,64.0,1030.0,14.0,8.0,11.19,22.4,1.0,14.1
146.43,25,64.0,1036.0,8.0,8.0,11.24,22.4,1.0,14.1
