Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C],Accelerator Pedal Position [%]
0.0,16,97.0,919.0,0.0,16.0,15.77,83.1,6.0,14.5
0.9,15,97.0,934.0,0.0,16.0,15.91,83.1,6.0,14.1
1.77,15,97.0,926.0,0.0,16.0,15.86,83.1,6.0,14.1
2.7,15,97.0,924.0,0.0,16.0,15.97,83.1,6.0,14.1
3.689,15,97.0,925.0,0.0,15.0,15.69,83.1,6.0,14.1
4.5,15,97.0,923.0,0.0,15.0,15.8,83.1,6.0,14.1
5.311,15,97.0,924.0,0.0,15.0,15.97,83.1,6.0,14.5
6.15,15,97.0,922.0,0.0,15.0,15.69,83.1,6.0,14.1
7.050000000000001,15,97.0,925.0,0.0,15.0,16.02,83.1,6.0,14.1
7.95,15,98.0,929.0,0.0,15.0,15.72,83.1,6.0,14.9
8.76,14,98.0,911.0,0.0,14.0,15.72,83.1,6.0,14.9
9.599,14,98.0,930.0,0.0,14.0,15.91,83.1,6.0,14.1
10.411000000000001,14,98.0,951.0,1.0,15.0,16.19,83.1,6.0,14.1
11.161000000000001,14,99.0,942.0,1.0,15.0,15.94,83.1,6.0,14.1
11.911000000000001,14,99.0,973.0,1.0,14.0,16.74,83.1,6.0,14.1
12.75,14,99.0,949.0,1.0,14.0,16.3,83.1,6.0,14.1
13.680000000000001,14,99.0,938.0,2.0,14.0,16.16,83.1,6.0,14.1
14.519,14,99.0,932.0,3.0,14.0,15.99,83.1,6.0,14.1
15.39,14,99.0,956.0,3.0,14.0,17.27,83.1,6.0,14.1
16.351000000000003,14,99.0,970.0,2.0,14.0,16.66,83.1,6.0,14.1
17.369,14,99.0,949.0,2.0,14.0,16.36,83.1,6.0,14.1
18.211000000000002,14,99.0,944.0,2.0,14.0,16.52,83.1,6.0,14.1
19.11,15,99.0,945.0,2.0,14.0,16.58,83.1,6.0,14.1
20.040000000000003,15,99.0,934.0,2.0,14.0,16.05,83.1,6.0,14.1
20.970000000000002,15,99.0,927.0,3.0,14.0,16.24,83.1,6.0,14.1
21.84,15,99.0,984.0,2.0,14.0,16.8,83.1,6.0,14.1
