Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C]
0.0,42.0,24.0,1659.0,43.0,30.0,,4.0,
12.013000192000002,42.0,26.0,1290.0,35.0,30.0,,4.0,
24.031000064,43.0,35.0,1002.0,12.0,31.0,,4.0,
36.043000064000005,44.0,33.0,872.0,0.0,30.0,,4.0,
48.051000064,45.0,32.0,856.0,0.0,30.0,,3.0,
60.066000128000006,46.0,31.0,861.0,0.0,30.0,,3.0,
72.07300019200001,48.0,31.0,851.0,0.0,31.0,,3.0,
84.08,48.0,31.0,831.0,0.0,31.0,,3.0,
96.101000192,50.0,31.0,841.0,0.0,31.0,,3.0,
108.12200012800001,51.0,54.0,838.0,21.0,31.0,,8.0,
120.13600000000001,51.0,57.0,1666.0,37.0,31.0,,4.0,
132.14800025600002,52.0,29.0,1474.0,33.0,31.0,,7.0,
144.156000256,52.0,85.0,1242.0,38.0,31.0,,13.0,
156.166000128,52.0,42.0,1587.0,36.0,31.0,,20.0,
168.177000192,53.0,28.0,1382.0,50.0,31.0,,4.0,
180.193000192,53.0,25.0,1618.0,33.0,31.0,,4.0,
192.207000064,53.0,74.0,859.0,28.0,32.0,,7.0,
204.22400000000002,53.0,45.0,1507.0,46.0,31.0,,10.0,
216.239000064,54.0,18.0,1936.0,45.0,31.0,,5.0,
228.249000192,54.0,24.0,1878.0,43.0,32.0,,12.0,
240.264,54.0,34.0,1715.0,42.0,32.0,,10.0,
259.308000256,54.0,60.0,1612.0,45.0,32.0,,20.0,
271.32400025600003,54.0,31.0,1411.0,13.0,33.0,,4.0,
283.33800012800003,55.0,38.0,1947.0,32.0,33.0,,6.0,
312.270000128,56.0,31.0,1217.0,1.0,33.0,,4.0,
325.930000128,59.0,94.0,1180.0,27.0,33.0,,14.0,
337.945000192,61.0,51.0,1682.0,22.0,33.0,,6.0,
349.957000192,63.0,50.0,1686.0,41.0,33.0,,28.0,
364.04200012800004,64.0,77.0,1790.0,55.0,33.0,,19.0,
376.058000128,65.0,18.0,2073.0,38.0,33.0,,4.0,
388.41000012800004,64.0,68.0,1135.0,35.0,33.0,,3.0,
404.380000256,64.0,20.0,1770.0,42.0,33.0,,4.0,
425.66400000000004,63.0,51.0,824.0,32.0,34.0,,3.0,
443.173000192,65.0,49.0,1908.0,46.0,34.0,,17.0,
472.12300006400005,66.0,30.0,846.0,0.0,34.0,,3.0,
487.700000256,69.0,62.0,1651.0,38.0,35.0,,18.0,
505.01000012800006,70.0,52.0,2076.0,56.0,36.0,,12.0,
521.540000256,69.0,28.0,1101.0,15.0,36.0,,3.0,
533.553000192,69.0,65.0,1898.0,52.0,36.0,,18.0,
546.3490001920001,70.0,60.0,1630.0,56.0,36.0,,13.0,
564.12,69.0,23.0,1867.0,36.0,36.0,,4.0,
576.130000128,69.0,30.0,788.0,0.0,36.0,,3.0,
592.292000256,70.0,31.0,776.0,0.0,36.0,,3.0,
615.250000128,73.0,73.0,2259.0,40.0,37.0,,18.0,
632.272,74.0,28.0,1350.0,23.0,37.0,,4.0,
656.193000192,73.0,28.0,1739.0,16.0,37.0,,13.0,
674.015000064,74.0,33.0,817.0,7.0,37.0,,3.0,
695.2850001920001,75.0,45.0,841.0,2.0,38.0,,4.0,
725.149000192,77.0,36.0,761.0,0.0,38.0,,3.0,
4429.855000064001,50.0,35.0,767.0,1.0,32.0,,4.0,
4441.8640000000005,47.0,46.0,864.0,2.0,32.0,,6.0,
4453.873000192,48.0,34.0,887.0,6.0,32.0,,4.0,
4465.879000064,48.0,83.0,890.0,23.0,32.0,,19.0,
4477.891000064,51.0,29.0,1129.0,25.0,31.0,,9.0,
4489.907000064,51.0,76.0,879.0,26.0,33.0,,9.0,
4501.917000192,53.0,23.0,2136.0,37.0,32.0,,13.0,
4513.933000192001,54.0,33.0,1090.0,7.0,33.0,,4.0,
4525.950000128,54.0,30.0,863.0,0.0,33.0,,3.0,
4537.9780001280005,54.0,30.0,838.0,0.0,33.0,,3.0,
4549.998000128,55.0,30.0,835.0,0.0,33.0,,3.0,
4562.007000064,56.0,48.0,829.0,35.0,33.0,,8.0,
4574.015000064001,57.0,89.0,2516.0,70.0,33.0,,36.0,
4586.033000192,57.0,29.0,2225.0,81.0,33.0,,19.0,
4598.04,57.0,45.0,2585.0,88.0,33.0,,15.0,
4610.049000192001,56.0,52.0,2705.0,83.0,33.0,,15.0,
4622.0560000000005,55.0,71.0,2591.0,78.0,33.0,,19.0,
4634.076000256,56.0,40.0,2372.0,77.0,33.0,,13.0,
4646.092000256001,55.0,31.0,2657.0,86.0,33.0,,6.0,
4658.103000064,54.0,63.0,2651.0,85.0,33.0,,13.0,
4670.122000128,54.0,21.0,2648.0,27.0,33.0,,7.0,
4682.140000256,54.0,87.0,2043.0,46.0,33.0,,11.0,
4694.151000064,56.0,93.0,2397.0,68.0,33.0,,24.0,
4706.16,57.0,62.0,2437.0,85.0,33.0,,24.0,
4718.168000000001,57.0,35.0,2902.0,96.0,33.0,,9.0,
4730.188000256,57.0,20.0,3057.0,100.0,33.0,,15.0,
4742.217000192,56.0,45.0,3092.0,91.0,33.0,,18.0,
4754.234000128,56.0,51.0,2694.0,78.0,33.0,,14.0,
4766.244000256001,57.0,73.0,2477.0,77.0,33.0,,17.0,
