Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C]
0,95.0,39,816.0,,34.0,4.73,21.20,4.0
1,95.0,37,807.0,0.0,34.0,4.73,21.60,4.0
2,94.0,37,1559.0,9.0,32.0,11.51,29.80,4.0
3,93.0,46,1692.0,10.0,32.0,10.29,29.00,4.0
4,91.0,52,863.0,11.0,32.0,7.25,25.90,4.0
5,90.0,66,955.0,8.0,32.0,9.2,27.50,4.0
6,90.0,51,777.0,9.0,32.0,9.39,29.80,4.0
7,90.0,41,1549.0,13.0,32.0,,29.40,4.0
8,89.0,43,2106.0,12.0,32.0,16.1,31.80,4.0
9,89.0,53,1080.0,15.0,32.0,9.48,28.20,4.0
10,89.0,50,1384.0,20.0,31.0,12.41,30.20,4.0
11,89.0,37,1727.0,18.0,32.0,14.34,31.00,4.0
12,89.0,54,934.0,20.0,32.0,8.45,27.10,4.0
13,89.0,49,1040.0,23.0,32.0,9.5,28.20,4.0
14,89.0,48,1204.0,28.0,31.0,10.11,28.60,4.0
15,89.0,20,1464.0,33.0,31.0,11.63,29.80,4.0
16,89.0,21,1084.0,,33.0,3.67,19.20,4.0
17,88.0,20,1098.0,34.0,33.0,3.81,19.20,4.0
18,85.0,31,1486.0,31.0,32.0,8.33,26.70,4.0
19,85.0,27,1569.0,32.0,32.0,8.52,27.10,4.0
20,84.0,28,1579.0,32.0,32.0,7.09,25.50,4.0
21,84.0,28,1572.0,32.0,32.0,7.1,25.50,4.0
22,83.0,29,1570.0,32.0,32.0,7.48,25.90,4.0
23,83.0,27,1589.0,,32.0,7.47,25.90,4.0
24,83.0,28,1628.0,35.0,32.0,7.6,26.30,4.0
25,83.0,20,1704.0,36.0,32.0,4.37,22.00,4.0
26,82.0,19,1204.0,37.0,33.0,3.26,19.20,4.0
27,82.0,21,1246.0,,33.0,3.38,20.00,4.0
28,82.0,20,1256.0,36.0,33.0,3.59,20.40,4.0
29,82.0,20,1207.0,34.0,33.0,3.51,20.00,4.0
30,81.0,35,1108.0,32.0,33.0,3.57,19.20,4.0
31,81.0,43,1064.0,,32.0,7.58,26.30,4.0
32,81.0,44,1078.0,33.0,32.0,7.71,26.70,4.0
33,81.0,33,1092.0,32.0,32.0,7.81,26.70,4.0
34,81.0,21,1058.0,28.0,33.0,3.08,18.40,4.0
35,81.0,33,924.0,24.0,34.0,3.46,18.80,4.0
36,81.0,48,1212.0,28.0,33.0,10.3,29.00,4.0
37,80.0,21,1443.0,33.0,32.0,12.06,30.20,4.0
38,80.0,40,1097.0,34.0,32.0,6.32,24.70,4.0
39,80.0,37,1146.0,,32.0,7.28,25.90,4.0
40,80.0,38,1134.0,34.0,32.0,7.18,25.90,4.0
41,80.0,39,1124.0,34.0,32.0,7.12,25.50,4.0
42,80.0,19,1115.0,33.0,33.0,6.35,,4.0
43,81.0,21,1021.0,31.0,33.0,2.77,18.40,4.0
44,81.0,57,1251.0,27.0,33.0,7.39,26.30,4.0
45,81.0,62,1380.0,29.0,32.0,14.05,31.00,4.0
46,81.0,64,1481.0,30.0,32.0,16.44,32.20,4.0
47,81.0,63,1484.0,30.0,32.0,17.29,32.50,4.0
48,81.0,65,1523.0,,32.0,17.1,32.50,4.0
49,81.0,59,1561.0,31.0,32.0,17.64,32.50,4.0
50,81.0,20,1540.0,25.0,32.0,13.69,29.80,4.0
51,82.0,53,1091.0,19.0,33.0,3.25,18.80,4.0
52,82.0,55,980.0,27.0,32.0,10.73,29.80,4.0
53,82.0,27,1414.0,31.0,33.0,8.62,25.90,4.0
54,82.0,21,1060.0,34.0,33.0,3.17,18.80,4.0
55,82.0,20,1156.0,37.0,33.0,3.58,19.60,4.0
56,82.0,20,1245.0,39.0,33.0,3.54,20.40,4.0
57,82.0,20,1321.0,39.0,33.0,3.73,20.80,4.0
58,82.0,21,1260.0,33.0,33.0,3.54,20.40,4.0
59,82.0,23,996.0,34.0,34.0,2.74,18.80,4.0
60,82.0,24,930.0,33.0,34.0,3.56,19.20,4.0
61,82.0,25,901.0,32.0,34.0,3.37,19.20,4.0
62,82.0,26,879.0,32.0,34.0,3.41,19.20,4.0
63,82.0,26,872.0,,34.0,3.55,19.20,4.0
64,82.0,24,889.0,32.0,35.0,3.5,19.20,4.0
65,82.0,75,796.0,31.0,33.0,3,19.60,4.0
66,82.0,53,1071.0,32.0,33.0,14.61,32.20,4.0
67,82.0,18,1615.0,,32.0,15.19,,4.0
68,82.0,21,1514.0,25.0,33.0,3.84,21.60,4.0
69,82.0,33,806.0,,34.0,4.8,22.00,4.0
70,82.0,35,788.0,0.0,34.0,4.36,20.80,4.0
71,82.0,34,818.0,0.0,34.0,4.38,20.40,4.0
72,82.0,32,814.0,0.0,34.0,4.07,20.40,4.0
73,82.0,32,792.0,0.0,35.0,4.1,20.40,4.0
74,82.0,33,803.0,0.0,35.0,4.26,20.40,4.0
75,83.0,35,781.0,,35.0,4.13,20.40,4.0
76,83.0,24,797.0,12.0,34.0,4.66,21.20,4.0
77,83.0,36,1062.0,16.0,33.0,4.02,22.00,4.0
78,83.0,46,1356.0,23.0,33.0,10.28,29.00,4.0
79,83.0,55,1227.0,26.0,33.0,3.51,20.00,4.0
80,83.0,33,1342.0,30.0,32.0,12.46,30.20,4.0
81,83.0,21,1401.0,25.0,33.0,3.31,20.80,4.0
82,83.0,44,1109.0,17.0,34.0,2.95,18.80,4.0
83,84.0,64,935.0,23.0,33.0,11.55,30.60,4.0
84,84.0,58,1187.0,27.0,32.0,12.86,30.60,4.0
85,84.0,55,1359.0,29.0,32.0,13.71,31.00,4.0
86,,53,1477.0,30.0,32.0,13.74,31.00,4.0
87,84.0,55,1471.0,,32.0,13.61,31.00,4.0
88,84.0,40,1477.0,30.0,32.0,13.61,31.00,4.0
89,84.0,19,1509.0,,32.0,9.63,27.10,4.0
90,84.0,24,963.0,29.0,33.0,4.04,18.40,4.0
91,84.0,26,899.0,26.0,34.0,3.16,18.80,4.0
