Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],Throttle Position [%],Accelerator Pedal Position [%]
0,78.0,101.0,0.0,0.0,43.0,17.647058,16.078432
1,78.0,96.0,0.0,0.0,43.0,17.254902,16.078432
2,78.0,21.0,1143.75,0.0,43.0,16.862745,16.078432
3,78.0,22.0,982.75,0.0,45.0,16.862745,16.078432
4,78.0,27.0,651.5,0.0,45.0,16.862745,16.078432
5,76.0,25.0,694.5,0.0,46.0,16.470589,16.078432
6,76.0,27.0,661.5,0.0,46.0,16.470589,16.078432
7,76.0,26.0,653.75,0.0,46.0,16.470589,16.078432
8,77.0,28.0,651.5,0.0,46.0,16.470589,16.078432
9,78.0,26.0,656.25,0.0,47.0,16.470589,16.078432
10,78.0,30.0,671.0,0.0,47.0,16.862745,16.078432
11,78.0,29.0,697.5,0.0,48.0,16.862745,16.078432
12,78.0,28.0,714.0,0.0,48.0,16.862745,16.078432
13,78.0,43.0,777.25,0.0,48.0,18.039215,16.078432
14,78.0,30.0,696.75,0.0,48.0,18.039215,16.078432
15,78.0,30.0,696.75,0.0,48.0,18.82353,16.078432
16,79.0,47.0,749.0,0.0,48.0,19.215687,16.078432
17,79.0,44.0,804.5,0.0,48.0,19.215687,16.078432
18,80.0,44.0,839.0,0.0,48.0,19.215687,16.078432
19,80.0,44.0,837.5,0.0,48.0,19.215687,16.078432
20,80.0,47.0,828.0,0.0,48.0,19.607843,16.078432
21,80.0,46.0,846.75,0.0,48.0,19.607843,16.078432
22,81.0,42.0,883.5,0.0,48.0,19.215687,16.078432
23,81.0,53.0,726.5,0.0,48.0,19.607843,16.078432
24,81.0,54.0,814.75,6.0,48.0,21.568628,16.078432
25,81.0,54.0,814.75,6.0,48.0,21.568628,20.784313
26,82.0,35.0,1407.0,8.0,48.0,21.568628,20.784313
27,82.0,35.0,1407.0,8.0,48.0,19.607843,20.784313
28,82.0,35.0,1407.0,8.0,48.0,19.607843,16.078432
29,82.0,49.0,833.5,11.0,48.0,19.607843,16.078432
