Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],Throttle Position [%],Accelerator Pedal Position [%]
0,29.0,100.0,0.0,0.0,28.0,17.647058,16.078432
1,29.0,41.0,1084.25,0.0,28.0,20.0,16.078432
2,29.0,23.0,1840.5,0.0,28.0,20.0,16.078432
3,29.0,24.0,1707.75,0.0,28.0,19.607843,16.078432
4,30.0,24.0,1619.5,0.0,28.0,19.607843,16.078432
5,30.0,24.0,1515.5,0.0,28.0,19.607843,16.078432
6,30.0,24.0,1515.5,0.0,28.0,19.215687,16.078432
7,30.0,25.0,1434.25,0.0,28.0,19.215687,16.078432
8,31.0,27.0,1405.25,0.0,28.0,19.607843,16.078432
9,31.0,29.0,1412.5,0.0,28.0,20.0,16.078432
10,32.0,29.0,1440.5,0.0,29.0,20.0,16.078432
11,33.0,30.0,1453.75,0.0,29.0,20.0,16.078432
12,33.0,28.0,1462.5,0.0,29.0,19.607843,16.078432
13,34.0,27.0,1429.5,0.0,29.0,19.607843,16.078432
14,35.0,26.0,1387.5,0.0,29.0,19.215687,16.078432
15,35.0,26.0,1332.75,0.0,29.0,19.215687,16.078432
16,36.0,26.0,1273.25,0.0,29.0,19.215687,16.078432
17,36.0,26.0,1273.25,0.0,29.0,18.82353,16.078432
18,36.0,26.0,1210.0,0.0,29.0,18.82353,16.078432
19,36.0,26.0,1139.0,0.0,29.0,18.431372,16.078432
20,37.0,26.0,1058.5,0.0,29.0,18.431372,16.078432
21,37.0,26.0,1058.5,0.0,29.0,18.039215,16.078432
22,38.0,27.0,987.5,0.0,29.0,17.647058,16.078432
23,38.0,28.0,946.75,0.0,30.0,18.039215,16.078432
24,38.0,30.0,957.0,0.0,30.0,18.039215,16.078432
25,38.0,31.0,966.25,0.0,30.0,18.431372,16.078432
26,39.0,29.0,972.5,0.0,30.0,18.431372,16.078432
27,40.0,28.0,978.0,0.0,30.0,18.431372,16.078432
28,40.0,28.0,978.0,0.0,30.0,18.039215,16.078432
29,40.0,28.0,969.5,0.0,30.0,18.039215,16.078432
30,40.0,29.0,945.25,0.0,30.0,18.039215,16.078432
31,41.0,30.0,945.25,0.0,30.0,18.039215,16.078432
32,41.0,30.0,927.25,0.0,30.0,18.039215,16.078432
33,41.0,30.0,933.5,0.0,30.0,18.431372,16.078432
34,41.0,30.0,949.0,0.0,30.0,18.431372,16.078432
35,41.0,30.0,956.25,0.0,30.0,18.431372,16.078432
36,42.0,29.0,941.25,0.0,30.0,18.039215,16.078432
37,42.0,29.0,951.5,0.0,30.0,18.039215,16.078432
38,43.0,29.0,951.5,0.0,30.0,18.039215,16.078432
39,43.0,29.0,938.25,0.0,30.0,18.039215,16.078432
40,43.0,29.0,921.75,0.0,30.0,18.039215,16.078432
41,43.0,28.0,935.0,0.0,30.0,18.039215,16.078432
42,44.0,28.0,935.0,0.0,30.0,18.039215,16.078432
43,44.0,28.0,929.5,0.0,30.0,18.039215,16.078432
44,44.0,30.0,921.75,0.0,30.0,18.039215,16.078432
45,44.0,28.0,927.25,0.0,30.0,18.039215,16.078432
46,45.0,29.0,910.75,0.0,30.0,18.039215,16.078432
47,45.0,28.0,925.0,0.0,30.0,18.039215,16.078432
48,45.0,28.0,925.0,0.0,30.0,17.647058,16.078432
49,45.0,29.0,910.75,0.0,30.0,17.647058,16.078432
50,46.0,28.0,916.25,0.0,30.0,17.647058,16.078432
51,46.0,29.0,900.75,0.0,30.0,17.647058,16.078432
52,46.0,29.0,902.25,0.0,30.0,17.647058,16.078432
53,46.0,28.0,907.0,0.0,30.0,17.647058,16.078432
54,47.0,29.0,907.0,0.0,30.0,17.647058,16.078432
55,47.0,29.0,908.5,0.0,30.0,17.647058,16.078432
56,47.0,29.0,901.5,0.0,30.0,17.647058,16.078432
57,47.0,27.0,905.25,0.0,30.0,17.647058,16.078432
58,48.0,27.0,905.25,0.0,30.0,17.647058,16.078432
59,48.0,27.0,902.25,0.0,30.0,17.647058,16.078432
60,48.0,29.0,889.75,0.0,30.0,17.647058,16.078432
61,48.0,27.0,892.75,0.0,30.0,17.647058,16.078432
62,48.0,28.0,883.5,0.0,30.0,17.647058,16.078432
63,49.0,27.0,885.0,0.0,30.0,17.254902,16.078432
64,49.0,28.0,878.75,0.0,30.0,17.254902,16.078432
65,50.0,28.0,878.75,0.0,30.0,17.254902,16.078432
66,50.0,28.0,889.75,0.0,30.0,17.254902,16.078432
67,50.0,28.0,884.25,0.0,30.0,17.254902,16.078432
68,50.0,27.0,885.0,0.0,30.0,17.254902,16.078432
69,50.0,27.0,880.25,0.0,30.0,17.254902,16.078432
70,50.0,27.0,875.75,0.0,30.0,17.254902,16.078432
71,51.0,26.0,876.5,0.0,30.0,17.254902,16.078432
72,51.0,27.0,873.25,0.0,30.0,17.254902,16.078432
73,51.0,27.0,869.5,0.0,30.0,17.254902,16.078432
74,51.0,27.0,869.5,0.0,31.0,17.254902,16.078432
75,51.0,26.0,866.25,0.0,31.0,17.254902,16.078432
76,51.0,27.0,855.25,0.0,31.0,17.254902,16.078432
77,51.0,27.0,866.25,0.0,31.0,17.254902,16.078432
78,52.0,26.0,858.5,0.0,31.0,16.862745,16.078432
79,52.0,26.0,853.75,0.0,31.0,16.862745,16.078432
80,52.0,25.0,847.5,0.0,31.0,16.862745,16.078432
81,53.0,26.0,860.0,0.0,31.0,16.862745,16.078432
82,53.0,25.0,850.75,0.0,31.0,16.862745,16.078432
83,53.0,26.0,850.75,0.0,31.0,16.862745,16.078432
84,53.0,26.0,845.25,0.0,31.0,16.862745,16.078432
85,53.0,25.0,850.0,0.0,31.0,16.862745,16.078432
86,53.0,26.0,847.5,0.0,31.0,16.862745,16.078432
87,53.0,26.0,833.5,0.0,31.0,16.862745,16.078432
88,53.0,26.0,848.25,0.0,31.0,16.862745,16.078432
89,54.0,26.0,837.5,0.0,31.0,16.862745,16.078432
90,54.0,25.0,842.0,0.0,31.0,16.862745,16.078432
91,54.0,25.0,835.0,0.0,31.0,16.862745,16.078432
92,55.0,26.0,828.75,0.0,31.0,16.862745,16.078432
93,55.0,25.0,833.5,0.0,31.0,16.862745,16.078432
94,55.0,25.0,823.25,0.0,31.0,16.862745,16.078432
95,55.0,25.0,828.0,0.0,31.0,16.862745,16.078432
96,55.0,26.0,826.5,0.0,31.0,16.862745,16.078432
97,55.0,25.0,819.5,0.0,31.0,16.862745,16.078432
98,55.0,26.0,821.0,0.0,31.0,16.862745,16.078432
99,55.0,25.0,810.75,0.0,31.0,16.862745,16.078432
