Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],Throttle Position [%],Accelerator Pedal Position [%]
0,21,101,0.0,0,24,17.647,16.078
1,21,100,0.0,0,24,13.333,16.078
2,21,27,1841.2,0,23,20.0,16.078
3,21,24,1817.8,0,23,20.0,16.078
4,21,24,1700.8,0,24,20.0,16.078
5,21,24,1598.2,0,24,20.0,16.078
6,22,24,1598.2,0,24,19.608,16.078
7,22,25,1510.0,0,25,19.216,16.078
8,22,26,1406.2,0,25,19.216,16.078
9,22,28,1382.8,0,25,19.216,16.078
10,23,28,1382.8,0,25,19.608,16.078
11,23,31,1450.8,0,25,20.0,16.078
12,24,29,1473.2,0,25,20.0,16.078
13,25,33,1306.2,0,25,20.0,16.078
14,25,34,1320.2,0,25,20.0,16.078
15,26,34,1320.2,0,25,20.0,16.078
16,26,32,1357.8,0,25,20.0,16.078
17,27,30,1296.8,0,25,20.0,16.078
18,27,30,1296.8,0,25,19.216,16.078
19,28,30,1226.5,0,25,20.392,16.078
20,28,38,1149.0,0,25,20.0,16.078
21,29,43,1072.5,0,25,20.0,16.078
22,29,43,1072.5,0,26,20.0,16.078
23,30,43,1072.5,0,26,20.0,16.078
24,30,44,954.5,0,26,20.0,16.078
25,30,46,1000.8,0,26,20.0,16.078
26,31,46,1000.8,0,26,20.0,16.078
27,31,49,911.5,0,26,20.392,16.078
28,32,49,911.5,0,26,20.392,16.078
29,32,58,834.25,0,26,20.392,16.078
30,32,58,834.25,0,26,20.392,16.471
31,32,50,1107.0,7,26,20.392,16.471
32,33,50,1107.0,7,26,20.392,19.608
33,33,32,1358.5,11,26,19.608,19.608
34,33,32,1358.5,11,26,19.608,16.078
35,33,50,800.75,12,26,19.608,16.078
36,33,50,800.75,12,26,20.0,16.078
37,33,44,939.0,14,26,20.0,16.078
38,34,44,939.0,14,26,20.0,17.647
39,34,43,949.0,13,26,19.608,17.647
40,35,43,949.0,13,26,19.608,18.824
41,35,49,957.0,13,26,19.608,18.824
42,35,49,957.0,13,26,20.392,18.824
43,35,41,978.0,15,26,19.608,18.824
44,36,41,978.0,15,26,19.608,18.824
45,36,41,978.0,15,26,19.608,16.078
46,36,41,989.75,11,26,19.608,16.078
47,37,41,989.75,11,26,19.608,16.078
48,37,39,992.75,11,26,19.608,16.078
49,37,38,998.25,12,26,19.608,16.078
50,37,38,1003.0,11,26,19.608,16.078
51,38,38,1003.0,11,26,19.608,16.078
52,38,53,1003.0,11,26,19.608,16.078
53,38,53,771.75,10,26,19.608,16.078
54,38,53,771.75,10,26,19.608,19.608
55,38,44,1002.2,13,26,19.216,19.608
56,38,44,1002.2,13,26,19.216,16.078
57,38,38,985.0,15,26,19.608,16.078
58,39,38,985.0,15,26,19.608,16.078
59,39,43,843.75,13,26,19.608,16.078
60,39,47,864.75,12,26,19.608,16.078
61,40,47,864.75,12,26,19.608,16.078
62,40,47,864.75,12,26,19.608,16.863
63,40,42,882.75,12,27,19.216,16.863
64,40,42,882.75,12,27,19.216,16.078
65,40,42,904.5,14,27,19.216,16.078
66,41,41,922.5,13,27,19.608,16.078
67,41,40,969.5,12,27,19.608,16.078
68,41,39,980.25,10,27,19.608,16.078
69,42,39,980.25,10,27,19.608,16.078
70,42,39,996.0,6,27,19.216,16.078
71,42,38,996.0,6,27,19.216,16.078
72,42,38,1001.5,3,27,19.216,16.078
73,42,37,1009.2,3,27,19.216,16.078
74,43,37,1009.2,3,27,19.216,16.078
75,43,38,1010.8,3,27,19.216,16.078
76,43,36,1010.8,3,27,19.216,16.078
77,43,36,992.75,0,27,19.216,16.078
78,43,37,963.25,0,27,18.824,16.078
79,43,35,947.5,0,27,18.824,16.078
80,44,35,947.5,0,27,18.824,16.078
81,44,36,879.5,0,28,18.431,16.078
82,44,29,946.0,0,28,17.647,16.078
83,44,27,933.5,0,28,17.255,16.078
84,45,27,933.5,0,28,17.255,16.078
85,45,34,889.75,0,28,19.216,16.078
86,45,39,910.0,0,28,19.216,16.078
87,45,36,916.25,0,28,18.824,16.078
88,46,36,916.25,0,28,18.824,16.078
89,46,35,902.25,0,28,18.824,16.078
90,47,35,902.25,0,28,18.824,16.078
91,47,36,893.75,0,28,18.824,16.078
92,47,36,893.75,0,28,18.431,16.078
93,47,35,878.75,0,28,18.431,16.078
94,48,35,878.75,0,28,18.431,16.078
95,48,35,854.5,0,28,18.431,16.078
96,48,74,719.5,0,28,21.569,16.078
97,48,33,1112.5,0,28,21.569,16.078
98,48,33,1112.5,4,28,19.216,16.078
99,48,50,702.25,4,28,21.961,16.078
100,48,49,867.75,12,28,21.961,16.078
101,48,49,867.75,12,28,25.098,16.078
102,49,49,867.75,12,28,25.098,26.275
103,49,52,1518.8,16,28,21.961,26.275
104,49,52,1518.8,16,28,21.961,16.078
105,49,73,1142.0,24,28,24.706,16.078
106,50,73,1142.0,24,28,24.706,16.078
107,50,73,1142.0,24,28,24.706,19.608
108,50,22,1313.2,26,28,24.706,19.608
109,50,22,1313.2,26,28,17.255,19.608
110,50,22,1313.2,26,28,17.255,16.471
111,50,22,1270.2,27,28,17.255,16.471
112,50,22,1270.2,27,28,17.255,20.392
113,50,35,1244.5,26,28,20.0,20.392
114,50,35,1244.5,26,28,20.0,19.608
115,50,30,1240.5,27,28,19.216,19.608
116,51,30,1240.5,27,28,19.216,19.608
117,51,30,1240.5,27,28,19.216,16.078
118,51,35,1019.5,25,28,19.216,16.078
119,51,36,997.5,20,28,19.216,16.078
120,52,36,997.5,20,28,19.216,16.078
121,52,37,992.75,15,29,19.216,16.078
122,52,46,796.75,5,29,18.824,16.078
123,52,37,939.0,5,29,18.824,16.078
124,52,37,939.0,4,29,19.216,16.078
125,52,38,968.75,3,29,19.216,16.078
126,53,38,968.75,3,29,19.216,16.078
127,53,36,971.75,3,29,19.216,16.078
128,53,29,971.75,3,29,19.216,16.078
129,53,29,996.0,0,29,17.647,16.078
130,53,38,643.75,0,29,17.255,16.078
131,54,31,822.5,4,29,17.255,16.078
132,54,29,846.0,3,29,17.255,16.078
133,54,28,842.0,3,29,17.255,16.078
134,55,28,842.0,3,29,17.255,16.078
135,55,41,865.5,0,30,19.216,16.078
136,55,42,878.75,0,30,19.216,16.078
137,55,37,922.5,0,30,18.824,16.078
138,55,42,760.75,0,30,18.824,16.078
139,55,42,760.75,0,30,19.216,16.078
140,56,41,823.25,0,30,18.824,16.078
141,56,39,877.25,0,30,18.824,16.078
142,57,39,877.25,0,30,18.824,16.078
143,57,39,837.5,0,30,18.431,16.078
144,57,52,635.0,0,30,18.431,16.078
145,57,52,635.0,0,30,18.824,16.078
146,57,39,889.75,6,30,19.216,16.078
147,57,45,794.5,5,30,19.216,16.078
148,57,45,794.5,5,30,19.216,21.961
149,57,42,825.0,12,30,21.961,21.961
150,57,42,825.0,12,30,21.961,20.784
151,58,42,825.0,12,30,21.961,20.784
152,58,36,1092.8,13,30,19.608,20.784
153,58,36,1092.8,13,30,19.608,21.569
154,58,22,1150.8,16,30,19.608,21.569
155,58,22,1150.8,16,30,16.863,21.569
156,58,22,1150.8,16,30,16.863,16.078
157,58,33,1044.5,16,30,19.216,16.078
158,58,35,1009.2,14,30,19.216,16.078
159,59,35,1009.2,14,30,19.216,16.078
160,59,35,996.75,11,30,19.216,16.078
161,59,35,984.25,7,30,19.216,16.078
162,60,35,984.25,7,30,19.216,16.078
163,60,36,988.25,3,30,19.216,16.078
164,60,39,890.5,3,30,19.216,16.078
165,60,39,938.25,3,30,19.216,16.078
166,60,27,904.5,3,30,16.863,16.078
167,61,27,904.5,3,30,16.863,16.078
168,61,31,653.0,3,30,16.863,16.078
169,61,31,653.0,3,31,16.863,16.078
170,61,32,725.75,5,31,16.863,16.078
171,62,32,725.75,5,31,16.863,16.078
172,62,30,736.5,4,31,16.863,16.078
173,62,44,751.5,6,31,18.824,16.078
174,62,44,751.5,6,31,18.824,18.431
175,62,44,815.5,6,31,19.216,18.431
176,62,44,815.5,6,31,19.216,16.078
177,62,42,833.5,6,31,19.216,16.078
178,62,41,860.0,8,31,19.216,16.078
179,62,40,870.25,6,31,19.216,16.078
180,62,44,772.5,4,31,19.216,16.078
181,63,40,877.25,6,31,19.216,16.078
182,63,42,850.75,4,31,19.216,16.078
183,63,29,767.0,5,31,16.863,16.078
184,63,27,814.75,4,31,16.863,16.078
185,63,33,607.75,4,31,16.863,16.078
186,63,31,721.0,4,31,16.863,16.078
187,63,48,754.5,6,31,19.216,16.078
188,63,45,810.75,6,31,19.216,16.078
189,64,45,810.75,6,31,19.216,16.078
190,64,42,853.0,5,31,19.216,16.078
191,65,42,853.0,5,31,19.216,16.078
192,65,41,861.5,4,31,19.216,16.078
