Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],Throttle Position [%],Accelerator Pedal Position [%]
0,44.0,101.0,0.0,0.0,29.0,17.647058,16.078432
1,44.0,20.0,1689.75,0.0,29.0,17.647058,16.078432
2,44.0,20.0,1689.75,0.0,29.0,18.431372,16.078432
3,44.0,21.0,1468.75,0.0,30.0,18.431372,16.078432
4,43.0,24.0,1307.75,0.0,31.0,18.431372,16.078432
5,43.0,23.0,1235.75,0.0,31.0,18.431372,16.078432
6,44.0,24.0,1164.0,0.0,31.0,18.039215,16.078432
7,44.0,25.0,1149.0,0.0,31.0,18.431372,16.078432
8,45.0,27.0,1149.0,0.0,31.0,18.431372,16.078432
9,45.0,27.0,1140.5,0.0,32.0,18.82353,16.078432
10,45.0,32.0,986.5,0.0,32.0,19.215687,16.078432
11,45.0,42.0,687.5,0.0,32.0,18.82353,16.078432
12,46.0,42.0,687.5,0.0,32.0,18.82353,16.078432
13,46.0,36.0,867.0,0.0,32.0,19.215687,16.078432
14,46.0,37.0,900.0,4.0,33.0,18.82353,16.078432
15,46.0,37.0,900.0,4.0,33.0,18.82353,18.431372
16,46.0,33.0,941.25,8.0,33.0,18.82353,18.431372
17,46.0,33.0,941.25,8.0,33.0,18.82353,16.078432
18,47.0,33.0,941.25,8.0,33.0,18.82353,16.078432
19,47.0,34.0,953.75,7.0,33.0,18.82353,16.078432
20,48.0,31.0,997.5,6.0,33.0,18.82353,16.078432
21,48.0,40.0,828.75,4.0,33.0,18.431372,16.078432
22,49.0,40.0,828.75,4.0,33.0,18.431372,16.078432
23,49.0,45.0,1098.25,6.0,33.0,20.392157,16.078432
24,49.0,45.0,1098.25,6.0,33.0,20.392157,20.784313
25,49.0,30.0,1552.25,12.0,33.0,20.392157,20.784313
26,49.0,30.0,1552.25,12.0,33.0,20.0,20.784313
27,49.0,30.0,1552.25,12.0,33.0,20.0,21.17647
28,50.0,25.0,1701.5,12.0,33.0,19.607843,21.17647
29,50.0,25.0,1701.5,12.0,33.0,19.607843,20.0
30,50.0,19.0,1603.0,14.0,33.0,17.647058,20.0
31,50.0,19.0,1603.0,14.0,33.0,17.647058,16.078432
32,50.0,23.0,1094.5,11.0,33.0,17.647058,16.078432
33,50.0,23.0,1094.5,11.0,33.0,17.647058,21.17647
34,51.0,46.0,1426.5,9.0,33.0,21.568628,21.17647
35,51.0,46.0,1426.5,9.0,33.0,21.568628,21.568628
36,51.0,36.0,1637.5,11.0,33.0,21.17647,21.568628
37,51.0,36.0,1637.5,11.0,33.0,21.17647,16.078432
38,52.0,26.0,1354.5,11.0,33.0,21.17647,16.078432
39,52.0,26.0,1354.5,11.0,33.0,20.0,16.078432
40,52.0,26.0,1354.5,11.0,33.0,20.0,19.215687
41,52.0,29.0,1185.75,11.0,33.0,19.215687,19.215687
42,52.0,29.0,1185.75,11.0,33.0,19.215687,16.078432
