Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],Throttle Position [%],Accelerator Pedal Position [%]
0,40.0,101.0,0.0,0.0,33.0,17.647058,16.078432
1,40.0,46.0,0.0,0.0,33.0,17.647058,16.078432
2,40.0,46.0,1298.25,0.0,33.0,19.215687,16.078432
3,40.0,23.0,1495.25,0.0,33.0,19.215687,16.078432
4,39.0,23.0,1380.25,0.0,33.0,19.215687,16.078432
5,39.0,26.0,1275.75,0.0,34.0,19.215687,16.078432
6,39.0,28.0,1257.75,0.0,34.0,19.215687,16.078432
7,40.0,27.0,1255.25,0.0,35.0,19.215687,16.078432
8,40.0,27.0,1253.0,0.0,35.0,19.215687,16.078432
9,41.0,28.0,1252.25,0.0,35.0,19.215687,16.078432
10,41.0,29.0,1253.0,0.0,35.0,19.215687,16.078432
11,41.0,29.0,1251.5,0.0,35.0,19.607843,16.078432
12,42.0,29.0,1252.25,0.0,35.0,19.607843,16.078432
13,42.0,29.0,1252.25,0.0,35.0,19.215687,16.078432
14,43.0,28.0,1244.5,0.0,35.0,19.215687,16.078432
15,43.0,29.0,1248.25,0.0,35.0,19.215687,16.078432
16,44.0,27.0,1221.0,0.0,35.0,19.215687,16.078432
17,44.0,27.0,1221.0,0.0,35.0,18.82353,16.078432
18,44.0,26.0,1178.0,0.0,35.0,18.82353,16.078432
19,45.0,26.0,1116.25,0.0,35.0,18.431372,16.078432
20,45.0,26.0,1044.5,0.0,35.0,18.039215,16.078432
21,46.0,27.0,973.25,0.0,35.0,17.647058,16.078432
22,46.0,27.0,907.0,0.0,35.0,17.254902,16.078432
23,46.0,27.0,874.0,0.0,35.0,17.254902,16.078432
24,46.0,28.0,875.75,0.0,35.0,17.254902,16.078432
25,46.0,28.0,875.75,0.0,35.0,17.647058,16.078432
26,47.0,28.0,874.0,0.0,35.0,17.647058,16.078432
27,48.0,28.0,874.0,0.0,35.0,17.647058,16.078432
28,48.0,29.0,884.25,0.0,35.0,17.647058,16.078432
29,48.0,29.0,893.75,0.0,35.0,17.647058,16.078432
30,48.0,28.0,885.75,0.0,35.0,17.647058,16.078432
31,48.0,28.0,893.75,0.0,35.0,17.647058,16.078432
32,49.0,28.0,893.75,0.0,35.0,17.647058,16.078432
33,49.0,28.0,872.5,0.0,36.0,17.647058,16.078432
34,50.0,28.0,869.5,0.0,36.0,17.254902,16.078432
35,50.0,29.0,839.75,0.0,36.0,17.647058,16.078432
36,50.0,35.0,714.75,0.0,36.0,18.82353,16.078432
37,50.0,32.0,833.5,0.0,36.0,18.039215,16.078432
38,51.0,34.0,830.25,0.0,36.0,18.039215,16.078432
39,51.0,32.0,882.75,0.0,36.0,18.039215,16.078432
40,51.0,40.0,695.25,0.0,36.0,18.039215,16.078432
41,51.0,30.0,887.5,4.0,36.0,18.039215,16.078432
42,52.0,33.0,853.0,3.0,36.0,18.039215,16.078432
43,52.0,31.0,852.25,3.0,36.0,18.039215,16.078432
44,53.0,36.0,716.25,0.0,36.0,17.647058,16.078432
45,53.0,30.0,862.5,4.0,36.0,17.647058,16.078432
46,53.0,32.0,862.5,4.0,36.0,17.647058,16.078432
47,53.0,32.0,887.5,4.0,36.0,17.647058,16.078432
48,53.0,29.0,884.25,5.0,36.0,17.647058,16.078432
49,54.0,30.0,907.75,4.0,36.0,17.647058,16.078432
50,54.0,28.0,925.0,3.0,36.0,17.647058,16.078432
51,54.0,29.0,947.5,3.0,36.0,17.647058,16.078432
52,55.0,33.0,857.0,6.0,36.0,17.647058,16.078432
53,55.0,33.0,857.0,6.0,36.0,17.647058,24.313726
54,55.0,38.0,1492.0,8.0,36.0,17.647058,24.313726
55,55.0,38.0,1492.0,8.0,36.0,17.647058,26.666666
56,55.0,73.0,1023.25,12.0,36.0,17.647058,26.666666
57,55.0,73.0,1023.25,12.0,36.0,22.745098,26.666666
58,55.0,73.0,1023.25,12.0,36.0,22.745098,23.529411
59,55.0,45.0,1424.0,18.0,36.0,21.568628,23.529411
60,56.0,34.0,1695.25,22.0,36.0,20.784313,23.529411
61,56.0,34.0,1695.25,22.0,36.0,20.784313,20.784313
