Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Throttle Position [%],Accelerator Pedal Position [%],Steering Wheel Angle [deg]
1,87,59,1203,0,7.1,0.0,6.4
2,87,34,1024,0,6.1,0.0,6.6
3,87,38,801,0,6.6,0.0,6.6
4,87,49,684,0,7.1,0.0,7.0
5,87,48,702,0,6.6,0.0,7.0
6,87,49,719,0,7.1,0.0,24.6
7,87,54,703,0,7.5,0.0,34.7
8,87,66,1113,0,11.8,7.4,38.6
9,87,81,1486,5,19.3,17.2,62.0
10,87,84,1906,10,21.6,13.7,102.7
11,87,68,1769,10,17.4,21.1,12.5
12,87,94,2081,11,39.9,27.0,0.8
13,87,97,2511,14,54.0,27.3,0.0
14,87,94,2641,17,38.5,28.5,0.5
15,87,99,2212,18,92.0,31.2,0.5
16,87,94,2154,19,35.2,22.3,0.5
17,87,98,2045,19,76.1,31.2,-5.2
18,87,99,2300,20,100.0,36.3,22.8
19,87,99,2347,21,100.0,36.7,9.5
20,86,86,2338,22,54.0,20.3,-5.2
21,86,32,1645,22,8.0,0.0,-0.6
22,86,57,1491,21,13.6,12.1,-10.6
23,85,57,1582,22,10.8,1.6,-28.8
24,85,39,1373,21,8.5,0.0,-42.6
25,85,38,1298,21,8.5,0.0,-25.5
26,85,38,1230,20,8.0,0.0,-43.3
27,85,37,1130,19,6.6,0.0,-43.0
28,85,34,1025,17,6.6,0.0,-44.1
29,85,37,967,14,7.1,0.0,-112.4
30,85,48,868,10,7.5,0.0,-293.4
31,85,50,841,9,7.1,0.0,-231.0
32,85,50,842,9,7.1,0.0,-34.9
33,85,50,844,10,7.1,0.0,8.0
34,85,64,1219,10,13.2,15.2,6.0
35,85,63,1540,13,11.8,5.9,0.6
36,85,70,1498,15,15.5,16.4,-0.9
37,85,80,1842,18,18.3,15.2,-5.9
38,85,76,1828,21,16.5,10.9,-11.3
39,86,46,1549,22,9.9,0.0,-4.2
40,86,44,1456,21,9.4,0.0,-1.6
41,86,53,1182,15,10.4,0.0,-1.6
42,86,62,1000,9,9.4,0.0,-1.6
43,86,59,917,7,8.5,0.0,13.9
44,86,65,1222,7,13.6,14.1,18.5
45,86,86,2078,12,22.1,18.4,18.3
46,86,69,2319,16,17.4,18.4,-0.9
