Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Throttle Position [%],Accelerator Pedal Position [%],Steering Wheel Angle [deg]
0,24,51,1592,0,0.0,0.0,-10.3
1,24,59,1495,0,0.0,0.0,-10.3
2,24,59,1477,0,0.0,0.0,-10.3
3,25,60,1471,0,0.0,0.0,-10.3
4,25,60,1475,0,0.0,0.0,-10.3
5,25,60,1468,0,0.0,0.0,-10.3
6,25,55,1518,0,0.0,0.0,-10.3
7,25,41,1579,0,0.0,0.0,-10.3
8,25,40,1528,0,0.0,0.0,-10.2
9,26,42,1532,0,0.0,0.0,-10.2
10,26,43,1540,0,0.0,0.0,-10.2
11,26,44,1534,0,0.0,0.0,-10.2
12,27,44,1516,0,0.0,0.0,-10.2
13,27,44,1501,0,0.0,0.0,-10.2
14,27,43,1502,0,0.0,0.0,-10.2
15,27,43,1488,0,0.0,0.0,-10.2
16,27,44,1484,0,0.0,0.0,-10.2
17,27,44,1483,0,0.0,0.0,-10.2
18,29,43,1445,0,0.0,0.0,-10.2
19,29,43,1432,0,0.0,0.0,-10.2
20,29,44,1426,0,0.0,0.0,-10.2
21,29,44,1401,0,0.0,0.0,-10.2
22,30,43,1370,0,0.0,0.0,-10.2
23,30,43,1348,0,0.0,0.0,-10.2
24,30,43,1313,0,0.0,0.0,-10.2
25,30,43,1272,0,0.0,0.0,-10.2
26,30,44,1241,0,0.0,0.0,-10.2
27,30,43,1209,0,0.0,0.0,-10.2
28,31,42,1176,0,0.0,0.0,-10.2
29,31,42,1165,0,0.0,0.0,-10.2
30,31,42,1142,0,0.0,0.0,-10.2
31,32,42,1114,0,0.0,0.0,-10.2
32,32,42,1100,0,0.0,0.0,-10.2
33,32,42,1098,0,0.0,0.0,-10.2
34,33,42,1069,0,0.0,0.0,-10.2
35,33,42,1051,0,0.0,0.0,-10.2
36,33,43,1045,0,0.0,0.0,-10.2
37,33,43,1044,0,0.0,0.0,-10.2
38,33,43,1025,0,0.0,0.0,-10.2
39,33,43,1018,0,0.0,0.0,-10.2
40,33,43,1020,0,0.0,0.0,-10.2
41,33,43,1006,0,0.0,0.0,-10.2
42,34,47,906,0,0.0,0.0,-67.4
43,34,60,791,0,0.0,0.0,44.9
44,34,62,797,0,0.0,0.0,83.3
45,34,56,813,2,0.0,0.0,92.6
46,35,53,809,2,0.0,0.0,-68.1
47,35,56,797,2,0.0,0.0,-229.9
48,35,57,797,2,0.0,0.0,-425.1
49,35,57,811,3,0.0,0.0,-542.2
50,36,58,1253,10,1.9,1.2,-130.2
51,36,55,1093,11,4.7,7.4,-54.5
52,36,59,1419,13,5.7,5.9,-21.0
53,37,39,1153,13,0.0,0.0,-10.2
54,37,35,1021,12,0.0,0.0,8.2
55,37,36,947,11,0.0,0.0,7.2
56,38,36,892,9,0.0,0.0,26.3
57,38,46,776,8,0.0,0.0,185.3
58,38,47,820,7,0.5,0.0,354.1
59,39,63,1220,10,6.1,9.0,434.2
60,39,61,1596,12,7.1,9.0,399.9
61,39,59,1655,14,7.1,8.6,188.2
62,39,64,1525,15,7.5,9.4,-4.2
63,39,78,1658,19,11.3,11.7,-37.2
64,40,59,1626,22,5.7,5.5,-21.0
65,40,43,1653,22,4.7,3.9,-14.3
66,41,61,1333,23,6.6,7.8,-23.4
67,41,65,1256,24,5.2,5.1,-23.4
68,41,47,1299,24,2.4,1.2,-19.1
69,42,37,1216,23,0.0,0.0,-13.1
70,42,36,1120,19,0.0,0.0,-1.6
71,42,37,996,16,0.0,0.0,-30.5
72,42,41,853,13,0.0,0.0,-134.7
73,42,45,836,12,0.0,0.0,-295.3
74,42,61,1001,12,5.2,4.7,-314.0
75,42,74,1599,16,9.4,10.9,-157.2
76,43,64,1505,18,6.1,7.4,-75.9
77,43,53,1199,20,3.8,3.9,-23.1
78,43,52,1044,20,2.8,1.6,-22.7
79,44,58,1113,21,5.2,5.5,7.7
80,44,82,1190,23,8.9,9.8,-9.3
81,45,65,1439,28,7.5,8.2,-50.9
82,45,69,1492,30,7.1,7.4,-38.6
83,45,53,1524,30,4.7,4.3,-14.7
84,46,79,1795,29,14.1,13.7,-4.4
85,46,73,1772,27,11.3,13.7,-4.8
86,46,94,2034,27,25.8,22.7,-3.0
87,47,92,2007,26,24.0,24.2,-4.8
88,47,96,2044,26,34.8,30.9,-3.8
89,48,84,1954,26,20.7,17.2,2.4
90,48,60,1498,22,5.7,7.4,8.8
91,48,48,1207,19,1.4,1.6,2.8
92,48,82,1466,20,20.2,21.1,-20.2
93,49,88,1895,25,19.7,17.2,-37.5
94,49,67,1694,27,7.5,9.4,-48.8
95,50,60,1643,28,6.1,7.4,-46.3
96,50,47,1553,28,2.4,3.1,-51.8
97,51,34,1301,25,0.0,0.0,-71.0
98,51,36,1138,20,0.0,0.0,-143.9
99,51,39,939,16,0.0,0.0,-202.5
100,51,55,961,16,5.7,0.8,-133.3
101,51,94,1734,20,24.9,21.9,-67.7
102,51,94,1514,24,21.6,17.6,-17.9
103,52,59,1382,24,1.9,2.3,-24.7
104,52,36,1108,20,0.0,0.0,-27.1
105,53,40,918,16,0.0,0.0,37.8
106,53,45,783,12,0.0,0.0,-19.9
107,53,71,1042,13,10.8,11.7,-45.0
108,53,73,1561,16,7.5,8.6,-49.3
109,54,49,857,12,0.0,0.0,-44.5
110,54,50,756,11,1.0,0.0,-7.4
111,54,87,1411,14,22.1,26.2,10.6
112,55,93,2618,35,16.5,18.4,-14.5
113,55,76,2315,38,14.6,16.0,-12.0
114,56,63,1939,39,5.7,7.4,-9.8
115,56,38,1426,34,0.0,0.0,-13.9
116,57,37,1158,24,0.0,0.0,-11.9
117,57,45,875,9,0.0,0.0,-13.0
118,57,59,705,2,0.0,0.0,-10.2
119,57,62,747,0,0.0,0.0,-8.6
120,57,61,763,0,0.0,0.0,-8.1
121,57,58,776,0,0.0,0.0,-7.6
122,57,56,782,0,0.0,0.0,-7.2
123,57,56,786,0,0.0,0.0,-7.2
124,58,55,790,0,0.0,0.0,-7.2
125,58,55,790,0,0.0,0.0,-7.2
126,58,55,791,0,0.0,0.0,-7.2
127,58,55,794,0,0.0,0.0,-7.2
128,58,55,793,0,0.0,0.0,-7.2
129,58,55,800,0,1.0,0.0,-8.1
130,58,69,1159,4,5.7,6.6,-43.8
131,59,85,1471,9,14.6,20.7,-8.8
